# FEAT_ID     Feature Postfix Expression (RPN)
0             0|7|div
1             42|8|div
2             14|1|sub:1.7976637141970e+02,0.0000000000000e+00
3             40|8|div
4             8|inv
5             1
6             41|1|mult
7             42|1|mult
8             40|1|mult
9             14|8|div
10            42|7|div
11            41|7|div
12            1|19|div
13            40|7|div
14            1|13|div
15            1|20|div
16            1|26|div
17            1|14|div
18            14|7|div
19            1|4|div
20            1|25|div
21            7|inv
22            13|7|div
23            2|3|div
24            1|0|mult
25            1|5|div
26            1|sq
27            1|8|div
28            1|7|div
29            1|cb
#-----------------------------------------------------------------------
30            1|0|div
31            3|inv
32            26|3|div
33            0|19|div
34            0|sin
35            0|20|div
36            19|3|div
37            26|0|abd
38            20|3|div
39            14|0|div
40            0|sqrt
41            22|3|div
42            13|0|div
43            24|3|div
44            23|3|div
45            25|0|abd
46            0|cbrt
47            21|3|div
48            0|3|div
49            1|3|div
50            3|log
51            0|cos
52            0|nexp
53            0|inv
54            26|0|div
55            3|nexp
56            25|0|div
57            19|0|div
58            20|0|div
59            2|0|sub:4.6271021847938e-01,0.0000000000000e+00
#-----------------------------------------------------------------------
60            9|2|mult
61            39|2|mult
62            11|2|mult
63            12|2|mult
64            8|2|sub:8.6534261557347e+01,0.0000000000000e+00
65            10|2|mult
66            33|2|mult
67            35|2|mult
68            9|3|mult
69            11|3|mult
70            33|3|mult
71            12|3|mult
72            36|2|mult
73            10|3|mult
74            35|3|mult
75            34|2|mult
76            36|3|mult
77            23|3|mult
78            22|3|mult
79            8|3|sub:1.8246183037315e+00,0.0000000000000e+00
80            42|3|mult
81            40|3|mult
82            24|3|mult
83            34|3|mult
84            21|3|mult
85            41|3|mult
86            39|3|mult
87            14|2|sub:4.0869262714451e-01,0.0000000000000e+00
88            31|7|div
89            31|8|div
#-----------------------------------------------------------------------
90            16|3|mult
91            15|2|mult
92            3|2|mult
93            0|sp
94            32|3|mult
95            17|2|mult
96            2|cb
97            18|2|mult
98            3|cb
99            2|sp
100           16|2|mult
101           3|37|div
102           2|37|div
103           29|3|mult
104           30|3|mult
105           27|3|mult
106           28|3|mult
107           22|2|mult
108           29|2|mult
109           23|2|mult
110           21|2|mult
111           27|2|mult
112           24|2|mult
113           30|2|mult
114           3|38|div
115           28|2|mult
116           2|38|div
117           42|2|mult
118           40|2|mult
119           41|2|mult
#-----------------------------------------------------------------------
120           8|7|sub
121           9|6|div
122           37|16|mult
123           11|6|div
124           12|4|div
125           32|16|sub:4.8233497379760e+00,0.0000000000000e+00
126           16|8|mult
127           18|10|mult
128           15|5|mult
129           23|5|mult
130           37|10|mult
131           37|31|sub:9.9599540663133e+01,0.0000000000000e+00
132           22|9|mult
133           37|32|sub:8.6051731165475e+01,0.0000000000000e+00
134           17|5|mult
135           12|6|div
136           24|5|mult
137           16|10|mult
138           22|11|mult
139           21|10|mult
140           24|12|mult
141           23|10|mult
142           10|6|div
143           10|4|div
144           22|5|mult
145           18|5|mult
146           22|12|mult
147           24|10|mult
148           16|5|mult
149           22|10|mult
#-----------------------------------------------------------------------
