# c0 + a0 * ((((wtd_mean_PE+2.294092e+00) / (L_avg-7.467572e+00))+1.335283e+00) * (((bulk_mod-2.769796e+01) / (mean_PE-1.063953e+00))-3.730137e+01)) + a1 * ((((wtd_mean_IP-1.299936e+00) * (wtd_std_IP-1.280477e+01))+7.481377e+01) * (((std_IP-3.123321e+00) / (L_avg-2.788676e+00))-2.958210e-01)) + a2 * ((((wtd_mean_at_rad+3.152817e+00) / (lambda4w_low-4.551683e+00))-1.376386e+01) * (((w_log-1.357921e+02) / (L_avg-4.629103e+00))+8.773411e+02)) + a3 * ((((wtd_std_IP+4.008754e+09) / (lambda-7.471911e+08))+5.365099e+00) * (((range_IP-4.185359e+09) / (wtd_mean_at_mass-1.001735e+02))-3.380780e+09))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 0.976651946980615; Max AE: 2.52969838823638
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  4.402040977665595e-03,  4.523319943020441e-02,  2.239101373543058e-04,  4.762722164003265e-02,  1.552121192322885e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; AA^-1 * GPa;                                      33|0|div|1|32|div|mult:1.3352834089826e+00,-3.7301366675316e+01,-2.7697957460366e+01,-1.0639533829880e+00,2.2940915228554e+00,-7.4675715051136e+00; ((((wtd_mean_PE+2.294092e+00) / (L_avg-7.467572e+00))+1.335283e+00) * (((bulk_mod-2.769796e+01) / (mean_PE-1.063953e+00))-3.730137e+01)); $\left(\left(\left(\frac{ wtd_{mean, PE} +2.294e+00 }{ L_{avg}-7.468e+00 } \right)+1.335e+00\right) * \left(\left(\frac{ bulk_{mod} -2.770e+01 }{ mean_{PE}-1.064e+00 } \right)-3.730e+01\right)\right)$; ((((wtd_mean_PE+2.294092e+00) ./ (L_avg-7.467572e+00))+1.335283e+00) .* (((bulk_mod-2.769796e+01) ./ (mean_PE-1.063953e+00))-3.730137e+01)); ((((newdata$wtd_mean_PE+2.294092e+00) / (newdata$L_avg-7.467572e+00))+1.335283e+00) * (((newdata$bulk_mod-2.769796e+01) / (newdata$mean_PE-1.063953e+00))-3.730137e+01)); wtd_mean_PE,L_avg,bulk_mod,mean_PE
# 1;  2; AA^-1 * eV^3;                                     21|25|mult|24|0|div|mult:7.4813773589987e+01,-2.9582103386926e-01,-3.1233208353207e+00,-2.7886759542488e+00,-1.2999361151035e+00,-1.2804769080750e+01; ((((wtd_mean_IP-1.299936e+00) * (wtd_std_IP-1.280477e+01))+7.481377e+01) * (((std_IP-3.123321e+00) / (L_avg-2.788676e+00))-2.958210e-01)); $\left(\left(\left(\left(wtd_{mean, IP}-1.300e+00\right) * \left(wtd_{std, IP}-1.280e+01\right)\right)+7.481e+01\right) * \left(\left(\frac{ std_{IP} -3.123e+00 }{ L_{avg}-2.789e+00 } \right)-2.958e-01\right)\right)$; ((((wtd_mean_IP-1.299936e+00) .* (wtd_std_IP-1.280477e+01))+7.481377e+01) .* (((std_IP-3.123321e+00) ./ (L_avg-2.788676e+00))-2.958210e-01)); ((((newdata$wtd_mean_IP-1.299936e+00) * (newdata$wtd_std_IP-1.280477e+01))+7.481377e+01) * (((newdata$std_IP-3.123321e+00) / (newdata$L_avg-2.788676e+00))-2.958210e-01)); wtd_mean_IP,wtd_std_IP,std_IP,L_avg
# 2;  2; Unitless;                                         15|6|div|4|0|div|mult:-1.3763863642904e+01,8.7734113807121e+02,-1.3579212991990e+02,-4.6291028689480e+00,3.1528167105495e+00,-4.5516832788807e+00; ((((wtd_mean_at_rad+3.152817e+00) / (lambda4w_low-4.551683e+00))-1.376386e+01) * (((w_log-1.357921e+02) / (L_avg-4.629103e+00))+8.773411e+02)); $\left(\left(\left(\frac{ wtd_{mean, at, rad} +3.153e+00 }{ lambda4w_{low}-4.552e+00 } \right)-1.376e+01\right) * \left(\left(\frac{ w_{log} -1.358e+02 }{ L_{avg}-4.629e+00 } \right)+8.773e+02\right)\right)$; ((((wtd_mean_at_rad+3.152817e+00) ./ (lambda4w_low-4.551683e+00))-1.376386e+01) .* (((w_log-1.357921e+02) ./ (L_avg-4.629103e+00))+8.773411e+02)); ((((newdata$wtd_mean_at_rad+3.152817e+00) / (newdata$lambda4w_low-4.551683e+00))-1.376386e+01) * (((newdata$w_log-1.357921e+02) / (newdata$L_avg-4.629103e+00))+8.773411e+02)); wtd_mean_at_rad,lambda4w_low,w_log,L_avg
# 3;  2; eV^2 * g^-1 * mol;                                25|5|div|22|9|div|mult:5.3650990078952e+00,-3.3807798608631e+09,-4.1853586229005e+09,-1.0017350637408e+02,4.0087540548168e+09,-7.4719107618763e+08; ((((wtd_std_IP+4.008754e+09) / (lambda-7.471911e+08))+5.365099e+00) * (((range_IP-4.185359e+09) / (wtd_mean_at_mass-1.001735e+02))-3.380780e+09)); $\left(\left(\left(\frac{ wtd_{std, IP} +4.009e+09 }{ lambda-7.472e+08 } \right)+5.365e+00\right) * \left(\left(\frac{ range_{IP} -4.185e+09 }{ wtd_{mean, at, mass}-1.002e+02 } \right)-3.381e+09\right)\right)$; ((((wtd_std_IP+4.008754e+09) ./ (lambda-7.471911e+08))+5.365099e+00) .* (((range_IP-4.185359e+09) ./ (wtd_mean_at_mass-1.001735e+02))-3.380780e+09)); ((((newdata$wtd_std_IP+4.008754e+09) / (newdata$lambda-7.471911e+08))+5.365099e+00) * (((newdata$range_IP-4.185359e+09) / (newdata$wtd_mean_at_mass-1.001735e+02))-3.380780e+09)); wtd_std_IP,lambda,range_IP,wtd_mean_at_mass
# Number of Samples Per Task
# Task, n_samples               
# all , 51                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
Rh1V3       ,  1.900000000000000e-01, -8.076352512876379e-01, -2.983077772527733e+01, -7.474585510717919e+00, -2.997647943359285e+04, -1.920623019598250e+02
B1Mo1       ,  2.500000000000000e-01,  1.269625031006178e+00, -8.887137424890692e+01,  4.768812688235709e+00, -2.224383374599834e+04, -1.909718840162584e+02
Cr3Ir1      ,  2.560000000000000e-01,  1.283035748776597e+00, -2.423207002204099e+01, -4.000902083028797e+00, -2.953391374682956e+04, -1.540629302127678e+02
Al1Os1      ,  3.900000000000000e-01,  6.344973118618386e-01,  8.209405079162138e+01, -4.875911605958451e+01, -1.139463803956159e+04, -2.202771825944914e+02
Al1Mo3      ,  5.800000000000000e-01, -6.998232550984461e-01, -7.629307764305439e+01, -9.800855125460872e+00, -2.861406365321768e+04, -1.897000634465483e+02
Nb3Os1      ,  6.633333330000000e-01,  2.101073334222179e+00, -8.674216703649617e+01, -3.909258286099696e+00, -1.320280128210664e+04, -2.079740611759161e+02
Ti1O1       ,  7.200000000000000e-01, -1.769192659643441e-03,  3.542076768311267e+01, -9.949319643235727e+01, -9.588381157830123e+03, -1.896304915017343e+02
Ga1Mo3      ,  7.600000000000000e-01,  2.792103473800373e+00, -7.295754870571770e+01, -9.717266196685522e+00, -1.586329043348209e+04, -1.767151528250855e+02
La1Se1      ,  1.020000000000000e+00,  1.981072219922634e+00,  4.182888608109732e+01, -4.018819974861224e+00, -1.359764125528059e+04, -2.204167701963954e+02
Al1Nb1Ni2   ,  1.075000000000000e+00,  2.495645878008261e+00, -2.762223734707138e+02, -5.598244392278326e+00, -1.218160680496182e+04, -1.853732335476688e+02
Co1Si2      ,  1.306666667000000e+00,  8.448087596442377e-01, -8.272778567447835e+01,  1.626057344367685e+01, -2.488604514362347e+04, -1.989516018335740e+02
Cr1         ,  1.550000000000000e+00,  8.975376305573796e-01,  1.625371265576164e+02, -8.426296187193074e+01, -9.911247246389883e+03, -1.954440543120318e+02
Hg2Na1      ,  1.620000000000000e+00,  2.380197922913054e+00, -4.699413448874077e-01,  1.589587894989904e+00, -1.819539352481601e+04, -1.918380721685312e+02
Ga2Y1       ,  1.680000000000000e+00,  2.300243215872422e+00,  1.208119079785082e+01, -3.524619336154225e+01, -1.529491302253949e+04, -1.733287424893916e+02
Be2Nb1      ,  2.150000000000000e+00,  1.163126691345936e+00, -6.009516260127538e+02,  7.120008425065014e+00, -1.303977417636182e+04, -1.913820367605879e+02
Ge1Mo3      ,  2.179200000000000e+00,  3.009671906643071e+00, -6.885841849354726e+01,  3.794521880216129e-02, -1.739370673758464e+04, -1.745957725291037e+02
B1Hf1       ,  3.100000000000000e+00,  2.622833955947455e+00, -3.539359802717728e+01,  1.098125520556994e+00, -2.437500736663596e+04, -1.539966877985785e+02
B1Zr1       ,  3.100000000000000e+00,  5.703016117636230e-01, -3.874209378518182e+01, -1.360705046213943e+00, -2.486588190808081e+04, -1.921399912854671e+02
C1In1Ti2    ,  3.100000000000000e+00,  3.185468555488468e+00,  2.905382663657813e+01, -1.548888666507836e+01, -1.203841014728366e+04, -1.903849357958748e+02
Pt0.25V0.75 ,  3.102500000000000e+00,  3.231976567209443e+00, -3.450043918895591e+01, -4.160894821715843e+00, -1.714841969984309e+04, -1.702691682200900e+02
Sn1         ,  3.740729412000000e+00,  2.756596706489687e+00,  9.354321349144776e+01,  2.893217558306767e+00, -1.283653164722107e+04, -2.190561582006986e+02
Sn1V3       ,  4.462500000000000e+00,  5.477580716017494e+00, -3.712042193449641e+01, -7.217468625005261e+00, -8.471860269027695e+03, -1.607656447490736e+02
B2Nb1       ,  4.597500000000000e+00,  5.845987881214127e+00,  9.054729040429234e+01,  2.421820011140694e+01, -9.959975630538680e+03, -1.876898080755921e+02
Al1Si1Sr1   ,  4.750000000000000e+00,  3.307961020198368e+00,  2.902927029420165e+00, -1.936163215389415e+01, -1.099779967987156e+04, -1.866101358696962e+02
Fe1Li1P1    ,  4.965000000000000e+00,  6.098158842126352e+00,  2.631332281602174e+00, -3.543552299665180e+00, -1.845252373421893e+02, -1.938604167237519e+02
Ga1Si1Sr1   ,  5.000000000000000e+00,  4.712370644518291e+00,  1.338812420567272e+00, -1.987503887291613e+01, -1.778560079292173e+04, -1.245788997980609e+02
Os0.5V0.5   ,  5.150000000000000e+00,  4.475092173142759e+00,  5.961500130867886e+01,  1.107493059598607e+01, -1.166212979255874e+04, -1.931297390991905e+02
Ir1Ti3      ,  5.185000000000000e+00,  6.260136594194534e+00, -4.096472331590051e+01, -2.663735943749945e+00, -9.189264604689781e+03, -1.449315727785976e+02
Ir1Mo1      ,  5.325000000000000e+00,  4.358817496875999e+00,  8.738027420636653e+00,  1.093741230255785e+01, -9.385492985999857e+03, -2.014412426140159e+02
La1         ,  5.343000000000000e+00,  5.938590459101536e+00,  9.802502395524129e+01, -2.259015322083432e+01, -1.129336776202430e+04, -1.357124556347747e+02
N1Ti1       ,  5.387500000000000e+00,  6.305794080167683e+00, -1.473358631678156e+01, -1.896325470985912e+00, -3.469187256383383e+03, -1.740180645364797e+02
B6Y1        ,  5.692857143000000e+00,  4.584563255734079e+00,  1.927439002959908e+01,  1.215185796956232e+01, -1.132781703583490e+04, -1.896971806811629e+02
Nb1S2       ,  5.821818182000000e+00,  6.182214862503203e+00,  1.553837059483057e+00,  1.572920606253425e+01, -4.128148373238881e+03, -1.917597719555401e+02
Ge1V3       ,  6.680000000000000e+00,  6.091477696001772e+00, -2.337755254101103e+01, -6.403146792120232e+00, -7.663195204297253e+03, -1.537214039425351e+02
Sn1Ta3      ,  6.692500000000000e+00,  6.326052199727696e+00, -9.031303464610819e+01,  9.200015322818357e+00, -9.904797265826905e+03, -1.468899384609784e+02
