# c0 + a0 * ((((ThermalCond_wtd_range-2.052016e+01) / (PE_wtd_mean-1.696427e+00))-1.110889e+02) * (((at_mass_mean-5.723943e+01) / (w_log-6.692331e-03))+3.160455e+03)) + a1 * ((((PE_range+2.155803e+01) / (L_avg+7.981201e-01))-4.442930e+00) * (((at_mass_wtd_range+5.387751e+01) / (V_molar+2.181790e+01))-1.710360e+00)) + a2 * ((((ThermalCond_mean-1.101430e+02) / (at_rad_mean-3.387038e+00))+4.084268e-02) * (((at_mass_wtd_range-8.237003e+01) / (IP_mean-9.255794e+00))+4.290394e+01)) + a3 * ((((IP_std+9.898054e+01) * (lambda-1.430746e-02))-5.988336e+01) * (((EA_std-6.327728e+00) / (w_log-6.069771e-02))-1.003798e+02))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.21616631715622; Max AE: 3.61549981840712
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  8.064795155108945e-08,  1.481655396425044e+00, -4.083937819204411e-04,  2.234934396973082e-03,  3.148111560136603e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; W * eV^-1 * g * mK^-1 * mol^-1;                   40|26|div|7|1|div|mult:-1.1108889543881e+02,3.1604554767257e+03,-5.7239427722702e+01,-6.6923312158912e-03,-2.0520159602265e+01,-1.6964271349467e+00; ((((ThermalCond_wtd_range-2.052016e+01) / (PE_wtd_mean-1.696427e+00))-1.110889e+02) * (((at_mass_mean-5.723943e+01) / (w_log-6.692331e-03))+3.160455e+03)); $\left(\left(\left(\frac{ ThermalCond_{wtd, range} -2.052e+01 }{ PE_{wtd, mean}-1.696e+00 } \right)-1.111e+02\right) * \left(\left(\frac{ at_{mass, mean} -5.724e+01 }{ w_{log}-6.692e-03 } \right)+3.160e+03\right)\right)$; ((((ThermalCond_wtd_range-2.052016e+01) ./ (PE_wtd_mean-1.696427e+00))-1.110889e+02) .* (((at_mass_mean-5.723943e+01) ./ (w_log-6.692331e-03))+3.160455e+03)); ((((newdata$ThermalCond_wtd_range-2.052016e+01) / (newdata$PE_wtd_mean-1.696427e+00))-1.110889e+02) * (((newdata$at_mass_mean-5.723943e+01) / (newdata$w_log-6.692331e-03))+3.160455e+03)); ThermalCond_wtd_range,PE_wtd_mean,at_mass_mean,w_log
# 1;  2; AA^-1 * cm^-3 * g;                                27|4|div|10|6|div|mult:-4.4429303306313e+00,-1.7103604291062e+00,5.3877510542727e+01,2.1817903425131e+01,2.1558031501062e+01,7.9812005599305e-01; ((((PE_range+2.155803e+01) / (L_avg+7.981201e-01))-4.442930e+00) * (((at_mass_wtd_range+5.387751e+01) / (V_molar+2.181790e+01))-1.710360e+00)); $\left(\left(\left(\frac{ PE_{range} +2.156e+01 }{ L_{avg}+7.981e-01 } \right)-4.443e+00\right) * \left(\left(\frac{ at_{mass, wtd, range} +5.388e+01 }{ V_{molar}+2.182e+01 } \right)-1.710e+00\right)\right)$; ((((PE_range+2.155803e+01) ./ (L_avg+7.981201e-01))-4.442930e+00) .* (((at_mass_wtd_range+5.387751e+01) ./ (V_molar+2.181790e+01))-1.710360e+00)); ((((newdata$PE_range+2.155803e+01) / (newdata$L_avg+7.981201e-01))-4.442930e+00) * (((newdata$at_mass_wtd_range+5.387751e+01) / (newdata$V_molar+2.181790e+01))-1.710360e+00)); PE_range,L_avg,at_mass_wtd_range,V_molar
# 2;  2; AA^-1 * W * eV^-1 * g * mK^-1 * mol^-1;           37|13|div|10|19|div|mult:4.0842676954575e-02,4.2903942764271e+01,-8.2370034972581e+01,-9.2557935408466e+00,-1.1014303180417e+02,-3.3870377727293e+00; ((((ThermalCond_mean-1.101430e+02) / (at_rad_mean-3.387038e+00))+4.084268e-02) * (((at_mass_wtd_range-8.237003e+01) / (IP_mean-9.255794e+00))+4.290394e+01)); $\left(\left(\left(\frac{ ThermalCond_{mean} -1.101e+02 }{ at_{rad, mean}-3.387e+00 } \right)+4.084e-02\right) * \left(\left(\frac{ at_{mass, wtd, range} -8.237e+01 }{ IP_{mean}-9.256e+00 } \right)+4.290e+01\right)\right)$; ((((ThermalCond_mean-1.101430e+02) ./ (at_rad_mean-3.387038e+00))+4.084268e-02) .* (((at_mass_wtd_range-8.237003e+01) ./ (IP_mean-9.255794e+00))+4.290394e+01)); ((((newdata$ThermalCond_mean-1.101430e+02) / (newdata$at_rad_mean-3.387038e+00))+4.084268e-02) * (((newdata$at_mass_wtd_range-8.237003e+01) / (newdata$IP_mean-9.255794e+00))+4.290394e+01)); ThermalCond_mean,at_rad_mean,at_mass_wtd_range,IP_mean
# 3;  2; eV;                                               23|0|mult|35|1|div|mult:-5.9883363515597e+01,-1.0037983257063e+02,-6.3277280684678e+00,-6.0697707970161e-02,9.8980539142630e+01,-1.4307462505156e-02; ((((IP_std+9.898054e+01) * (lambda-1.430746e-02))-5.988336e+01) * (((EA_std-6.327728e+00) / (w_log-6.069771e-02))-1.003798e+02)); $\left(\left(\left(\left(IP_{std}+9.898e+01\right) * \left(lambda-1.431e-02\right)\right)-5.988e+01\right) * \left(\left(\frac{ EA_{std} -6.328e+00 }{ w_{log}-6.070e-02 } \right)-1.004e+02\right)\right)$; ((((IP_std+9.898054e+01) .* (lambda-1.430746e-02))-5.988336e+01) .* (((EA_std-6.327728e+00) ./ (w_log-6.069771e-02))-1.003798e+02)); ((((newdata$IP_std+9.898054e+01) * (newdata$lambda-1.430746e-02))-5.988336e+01) * (((newdata$EA_std-6.327728e+00) / (newdata$w_log-6.069771e-02))-1.003798e+02)); IP_std,lambda,EA_std,w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
C8Cs1       ,  6.750000000000000e-02,  1.074435281524200e+00, -4.377070948555717e+05,  5.500077968135265e-01,  9.584786593560019e+02, -1.101536312210042e+03
Se2Ta1      ,  1.250000000000000e-01, -1.039112810849387e+00,  3.256580975930921e+06,  9.892918433465346e-02,  5.387657029816729e+03, -1.072136295694674e+03
Ti1         ,  1.620000000000000e-01,  7.799251558158027e-02,  4.955739011088305e+04, -1.285940513318028e-03,  3.797058007490518e+03, -6.807875649777397e+02
B1Mo1       ,  2.500000000000000e-01,  2.177972978113887e+00, -6.925116626082611e+04,  5.276324168620053e-02,  8.478842423081121e+02, -3.116243177852552e+02
Al1Hf1Ni2   ,  3.700000000000000e-01,  4.905836068674719e-01, -3.244359619252766e+07, -9.989062313488051e-03, -1.741190397295470e+02, -4.354810798042526e+01
Pt1Te1      ,  5.900000000000000e-01, -1.913620842428746e-01, -9.165513952565009e+06, -5.765604640718906e-02,  8.007324947935877e+03,  3.379402960014903e+02
Sb1V3       ,  6.500000000000000e-01,  6.402095043079047e-01, -3.032804622763978e+06,  1.642481512154126e-01,  3.380930292019464e+03, -5.037824950508435e+02
Al1Ni2Zr1   ,  6.899999999999999e-01,  1.998987086030639e+00, -2.712469353630170e+07,  3.739947837003162e-02, -2.097575436695321e+02,  4.015105238736325e+02
Rh1Te2      ,  7.550000000000000e-01,  2.389713137464291e+00, -2.005559585708286e+05,  9.643169748952749e-01,  1.914623855112125e+03, -6.215345604314232e+02
Zr1         ,  9.966666670000000e-01,  1.915073846408780e+00, -4.831403235653757e+05, -4.048552446757347e-02,  3.972941942784899e+03,  2.185464349690645e+02
Be2Ta3      ,  1.000000000000000e+00,  4.159511696139538e-01, -2.691778885247299e+06, -4.253174879097088e-01, -2.752552258775567e+02, -8.936783610463949e+02
C1Si1       ,  1.075000000000000e+00,  2.556519309431103e+00, -2.874848010802648e+05,  3.954263250506831e-01,  1.721637808807225e+03, -2.018791082061473e+02
Nb3Sb1      ,  1.100000000000000e+00,  2.718842133027874e+00, -5.162968180014304e+06,  5.687448904978099e-01,  3.381279434126336e+03,  2.350507204514694e+02
Nb1O1       ,  1.380000000000000e+00,  2.116983728248425e+00, -3.105800977789963e+05,  1.997838747193104e-01, -1.555435321951875e+02, -6.110309334011479e+02
Sb1         ,  1.416666667000000e+00,  1.501698360821579e+00, -4.817673290957332e+06, -3.798597520191503e-01,  7.627790568959991e+03,  1.082844210433764e+03
Sb1Sn1      ,  1.430000000000000e+00,  2.406182292865877e+00, -6.354434748647427e+06,  1.419492330013567e-01,  3.474524118154327e+03,  4.381323575720683e+02
S2Ta1       ,  1.488116666500000e+00,  1.818481867336096e+00, -1.875782967626067e+06, -5.387598921003744e-01,  6.765220350010355e+03,  1.066151556884115e+03
Re2Y1       ,  1.830000000000000e+00,  1.484464730273752e+00,  2.703718948403285e+06, -9.630390489655116e-02,  2.797525639678337e+03, -2.669049029067364e+02
S1Y1        ,  1.900000000000000e+00,  1.370788925617735e+00, -6.101601893864503e+05,  3.222073462115700e-02,  5.239269421371618e+03,  1.627925023355463e+02
Ga2Pt1      ,  1.900000000000000e+00,  1.940993710945859e+00, -7.488185631040007e+06, -7.443572279762606e-03,  1.649253713018524e+03,  3.640498492487504e+01
Mo0.5Rh0.5  ,  1.940000000000000e+00,  3.576536569687974e+00, -9.745668965490221e+05, -2.719300963706661e-02, -1.487301513923371e+03, -2.688767389646896e+01
Pd2Sc1Sn1   ,  2.122500000000000e+00,  1.932341967814112e+00, -7.006777102239506e+06,  1.252366587893608e-01,  2.476615050085081e+03,  7.838674975216448e+01
Be2Nb1      ,  2.150000000000000e+00,  1.088278246720416e+00, -1.280210049185803e+06, -1.913687409872681e-01, -4.513234009198159e+02, -8.310589074514966e+02
In1Te1      ,  2.206000000000000e+00,  2.244992056514758e+00,  1.689626983279735e+06,  1.252053574394741e-01,  2.856202301364372e+03, -2.614859412223134e+01
C2Cl2Y2     ,  2.300000000000000e+00,  2.267553547797645e+00,  1.516752451193154e+06,  2.494436418424531e-01, -4.511464498110609e+02, -6.965376323905741e+02
Be2Nb3      ,  2.300000000000000e+00,  2.018889880166239e+00, -1.396441115778229e+06,  2.211963401168590e-01, -4.374735171458735e+02, -6.814516711294453e+02
Pb1Pd2Sc1   ,  2.400000000000000e+00,  2.747282855113853e+00,  1.989780279336361e+06,  7.215420382574333e-02,  2.582887747599937e+03,  1.729926489031602e+02
As1Pt1Sr1   ,  2.425000000000000e+00,  1.827027972869691e+00, -7.747674363173962e+06,  6.535748469449211e-02,  2.202967895172503e+03,  4.769339082917795e+01
Bi1Nb3      ,  2.516666667000000e+00,  2.170332164187416e+00, -7.647359894605997e+06,  2.119750996296534e-01,  2.614865059474237e+03,  1.757479304238220e+02
Re1         ,  2.581333333000000e+00,  2.639535020201251e+00, -4.363640956702953e+06,  4.138069621992652e-02,  3.406762060487162e+03,  5.249955776060555e+02
Hf1In1Pd2   ,  2.630000000000000e+00,  1.539692453031267e+00, -1.711070662506013e+07,  1.256150321094712e-01,  1.857622017604651e+03,  1.539407256045299e+02
Nb3Rh1      ,  2.742333333000000e+00,  3.690898380113040e+00,  6.953255440939178e+05,  5.260904170141845e-01,  3.519668879082990e+02, -6.668355810831014e+01
Ga1Ni2Zr1   ,  2.870000000000000e+00,  3.253058277129647e+00, -1.214003856334025e+06,  3.749928447487295e-02,  2.258929936950889e+03,  4.786832067513230e+02
N1Ni3Zn1    ,  3.000000000000000e+00,  6.615499818407124e+00, -2.681307009970059e+04, -2.611346619558060e-01, -1.840614929292652e+02,  1.691903214003621e+03
B1Hf1       ,  3.100000000000000e+00,  2.289481312128148e+00,  3.012886480199914e+06,  1.664723561738796e+00,  1.712597854806174e+03, -1.283592801986028e+03
