# c0 + a0 * (w_log^2)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 3.94233542865413; Max AE: 14.1433330492289
# Coefficients
# Task   a0                      c0
# all ,  5.811376423151208e+03,  2.745824576768927e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; eV^2;                                             1|sq; (w_log^2); $\left(w_{log}^2\right)$; (w_log)^2; (newdata$w_log)^2; w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
C8Cs1       ,  6.750000000000000e-02,  6.728897810735948e+00,  6.853923999999999e-04
Se2Ta1      ,  1.250000000000000e-01,  2.869864919695235e+00,  2.134440000000000e-05
Ti1         ,  1.620000000000000e-01,  5.117098612471545e+00,  4.080400000000000e-04
B1Mo1       ,  2.500000000000000e-01,  7.666956245657601e+00,  8.468100000000000e-04
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.443896410920127e+00,  1.201216000000000e-04
Pt1Te1      ,  5.900000000000000e-01,  3.086810575223178e+00,  5.867560000000000e-05
Sb1V3       ,  6.500000000000000e-01,  5.221526722245003e+00,  4.260096000000000e-04
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.172640537029625e+00,  7.344489999999999e-05
Rh1Te2      ,  7.550000000000000e-01,  3.595262426925735e+00,  1.461681000000000e-04
Zr1         ,  9.966666670000000e-01,  3.690536456557445e+00,  1.625625000000000e-04
Be2Ta3      ,  1.000000000000000e+00,  4.194740773232320e+00,  2.493241000000000e-04
C1Si1       ,  1.075000000000000e+00,  1.208591583620658e+01,  1.607208100000000e-03
Nb3Sb1      ,  1.100000000000000e+00,  4.675017909760157e+00,  3.319684000000000e-04
Nb1O1       ,  1.380000000000000e+00,  6.383748542212152e+00,  6.260004000000001e-04
Sb1         ,  1.416666667000000e+00,  3.241985948474161e+00,  8.537759999999999e-05
Sb1Sn1      ,  1.430000000000000e+00,  3.102113672758262e+00,  6.130890000000000e-05
S2Ta1       ,  1.488116666500000e+00,  3.318854767836109e+00,  9.860489999999999e-05
B2C2Y1      ,  1.800000000000000e+00,  1.024810755974468e+01,  1.290964900000000e-03
Re2Y1       ,  1.830000000000000e+00,  3.831790096449128e+00,  1.868689000000000e-04
S1Y1        ,  1.900000000000000e+00,  3.937519373403729e+00,  2.050624000000000e-04
Ga2Pt1      ,  1.900000000000000e+00,  3.110351298838078e+00,  6.272640000000000e-05
Mo0.5Rh0.5  ,  1.940000000000000e+00,  4.578834980855865e+00,  3.154176000000001e-04
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.094870373184446e+00,  6.006250000000000e-05
Be2Nb1      ,  2.150000000000000e+00,  6.415807000250465e+00,  6.315169000000000e-04
In1Te1      ,  2.206000000000000e+00,  2.922258546113440e+00,  3.036010000000000e-05
C2Cl2Y2     ,  2.300000000000000e+00,  3.033845690502578e+00,  4.956160000000000e-05
Be2Nb3      ,  2.300000000000000e+00,  4.928486903832320e+00,  3.755844000000001e-04
Pb1Pd2Sc1   ,  2.400000000000000e+00,  2.793027481765972e+00,  8.122500000000001e-06
As1Pt1Sr1   ,  2.425000000000000e+00,  3.141361384569656e+00,  6.806250000000001e-05
Bi1Nb3      ,  2.516666667000000e+00,  3.929212010806834e+00,  2.036329000000000e-04
Re1         ,  2.581333333000000e+00,  3.899546096441932e+00,  1.985281000000000e-04
Hf1In1Pd2   ,  2.630000000000000e+00,  3.048762331505522e+00,  5.212840000000000e-05
Nb3Rh1      ,  2.742333333000000e+00,  4.481092278519601e+00,  2.985984000000000e-04
Ga1Ni2Zr1   ,  2.870000000000000e+00,  2.901156276045693e+00,  2.672890000000000e-05
N1Ni3Zn1    ,  3.000000000000000e+00,  3.403728177083306e+00,  1.132096000000000e-04
B1Hf1       ,  3.100000000000000e+00,  6.641144283333438e+00,  6.702921000000000e-04
C2Y1        ,  3.150000000000000e+00,  5.711417037652015e+00,  5.103080999999999e-04
Pb1Pd2Y1    ,  3.215000000000000e+00,  2.987592364413075e+00,  4.160250000000000e-05
In1Sb1      ,  3.320000000000000e+00,  2.966340741971253e+00,  3.794560000000000e-05
Bi2K1       ,  3.575000000000000e+00,  2.895205426588386e+00,  2.570490000000000e-05
Al1Hf1Pd2   ,  3.621666666500000e+00,  2.843990928446439e+00,  1.689210000000000e-05
Hg0.5In0.5  ,  3.810000000000000e+00,  2.778466497000124e+00,  5.616900000000000e-06
C1W2        ,  3.835000000000000e+00,  4.852574055891980e+00,  3.625216000000001e-04
C1Ga1Mo2    ,  3.900000000000000e+00,  4.580899762899011e+00,  3.157729000000001e-04
Ba1Ge3      ,  4.000000000000000e+00,  3.313098599488978e+00,  9.761439999999999e-05
Bi2Rb1      ,  4.250000000000000e+00,  2.957131453753485e+00,  3.636090000000000e-05
Ba1Sn3      ,  4.300000000000000e+00,  3.189741674430032e+00,  7.638759999999999e-05
Rh1Se2      ,  4.350000000000000e+00,  3.914331981475355e+00,  2.010724000000000e-04
Al1Au2Sc1   ,  4.400000000000000e+00,  2.888217827577189e+00,  2.450250000000000e-05
B2Nb1       ,  4.597500000000000e+00,  8.183809023117465e+00,  9.357481000000000e-04
Pb3Y1       ,  4.720000000000000e+00,  2.964198087484037e+00,  3.757690000000000e-05
Bi2Cs1      ,  4.750000000000000e+00,  2.952253965521535e+00,  3.552160000000000e-05
Al1Si1Sr1   ,  4.750000000000000e+00,  3.521076720058355e+00,  1.334025000000000e-04
Pd2Sn1Y1    ,  4.814444444333330e+00,  2.883086963333189e+00,  2.361960000000000e-05
Br2C2Y2     ,  5.050000000000000e+00,  3.989673571113300e+00,  2.140369000000000e-04
Ir1Mo1      ,  5.325000000000000e+00,  4.812928845933242e+00,  3.556995999999999e-04
N1Ti1       ,  5.387500000000000e+00,  9.318357068557567e+00,  1.130976900000000e-03
Ga1         ,  5.527454545000000e+00,  2.970657432378370e+00,  3.868840000000000e-05
B6Y1        ,  5.692857143000000e+00,  2.899358817318012e+00,  2.641960000000000e-05
Bi3Sr1      ,  5.700000000000000e+00,  2.923541698027671e+00,  3.058090000000000e-05
Ba1Bi3      ,  5.745000000000000e+00,  2.837417099436570e+00,  1.576090000000000e-05
Nb1S2       ,  5.821818182000000e+00,  3.815959907072464e+00,  1.841449000000000e-04
C1Mo2       ,  6.021666667000000e+00,  6.560321403453178e+00,  6.563844000000000e-04
Rh2Sr1      ,  6.200000000000000e+00,  3.013752856519532e+00,  4.610410000000000e-05
Pb1         ,  6.470100000000000e+00,  2.899956807951955e+00,  2.652250000000000e-05
Sn1Ta3      ,  6.692500000000000e+00,  3.094870373184446e+00,  6.006250000000000e-05
Ag1B2       ,  6.700000000000000e+00,  4.778004798180673e+00,  3.496900000000000e-04
Nb1Se2      ,  6.814619048000000e+00,  3.262600644060005e+00,  8.892489999999999e-05
Li1Pb1      ,  7.200000000000000e+00,  2.965625361533563e+00,  3.782250000000000e-05
Tc1         ,  7.794166667000000e+00,  3.904464264308845e+00,  1.993744000000000e-04
P1Ru1Zr1    ,  8.496153846000000e+00,  3.753801424850438e+00,  1.734489000000000e-04
C1Ta1       ,  8.637499999999999e+00,  5.873739822765832e+00,  5.382399999999999e-04
Hf1N1       ,  8.830000000000000e+00,  6.214198729378504e+00,  5.968249000000000e-04
N1Zr1       ,  9.850000000000000e+00,  8.035507345899784e+00,  9.102288999999999e-04
C2I2Y2      ,  9.917500000000000e+00,  2.989846597327615e+00,  4.199040000000000e-05
C1Mo1       ,  1.015200000000000e+01,  4.213151213740864e+00,  2.524921000000000e-04
Mo3Os1      ,  1.102250000000000e+01,  3.929212010806834e+00,  2.036329000000000e-04
C6Ca        ,  1.130300000000000e+01,  8.074150093425530e+00,  9.168784000000001e-04
Nb3Sn1      ,  1.670900000000000e+01,  3.370761982047696e+00,  1.075369000000000e-04
B2Mg0.98    ,  3.840000000000000e+01,  2.425666695077109e+01,  3.701505600000000e-03
