# c0 + a0 * ((|EA_std - (-1.008027e+01*IP_mean+5.656943e+01)|-3.241484e+01) * (((at_mass_wtd_mean-5.476436e+02) / (lambda4w_low+8.450157e-02))+4.676883e+03)) + a1 * ((((L_avg-3.298518e+00) * (at_mass_wtd_mean+1.309640e+02))-2.080315e+02) * (((at_mass_std+4.991455e+00) / (V_molar-4.681758e+00))-1.817841e+00)) + a2 * ((((at_mass_wtd_std-1.046917e+02) / (IP_mean-9.310525e+00))+3.068189e+01) * (((PE_wtd_std+1.534240e+00) * (ThermalCond_mean+1.355939e+02))-4.101522e+02)) + a3 * ((((lambda+1.848282e-03) * (density+8.382290e+01))-5.511225e+01) * (((EA_std-4.558558e+00) / (w_log-6.017279e-02))-6.884166e+01))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.25324572914803; Max AE: 3.2354125455816
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all , -5.897843312978721e-05, -2.002977664637969e-03,  1.211796310892764e-04,  2.799671404638397e-03,  2.960928448971573e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; g * mol^-1;                                       35|19|abd|8|2|div|mult:-3.2414840518182e+01,4.6768828059006e+03,-5.4764364026257e+02,8.4501573270940e-02,-1.0080273799267e+01,5.6569433179708e+01; ((|EA_std - (-1.008027e+01*IP_mean+5.656943e+01)|-3.241484e+01) * (((at_mass_wtd_mean-5.476436e+02) / (lambda4w_low+8.450157e-02))+4.676883e+03)); $\left(\left(\left(\left|EA_{std} - \left(-1.008e+01IP_{mean}+5.657e+01\right)\right|\right)-3.241e+01\right) * \left(\left(\frac{ at_{mass, wtd, mean} -5.476e+02 }{ lambda4w_{low}+8.450e-02 } \right)+4.677e+03\right)\right)$; ((abs(EA_std - (-1.008027e+01.*IP_mean+5.656943e+01))-3.241484e+01) .* (((at_mass_wtd_mean-5.476436e+02) ./ (lambda4w_low+8.450157e-02))+4.676883e+03)); ((abs(newdata$EA_std - (-1.008027e+01*newdata$IP_mean+5.656943e+01))-3.241484e+01) * (((newdata$at_mass_wtd_mean-5.476436e+02) / (newdata$lambda4w_low+8.450157e-02))+4.676883e+03)); EA_std,IP_mean,at_mass_wtd_mean,lambda4w_low
# 1;  2; AA * cm^-3 * g^2 * mol^-1;                        4|8|mult|11|6|div|mult:-2.0803145228412e+02,-1.8178412301737e+00,4.9914546260195e+00,-4.6817576887181e+00,-3.2985178840552e+00,1.3096401385975e+02; ((((L_avg-3.298518e+00) * (at_mass_wtd_mean+1.309640e+02))-2.080315e+02) * (((at_mass_std+4.991455e+00) / (V_molar-4.681758e+00))-1.817841e+00)); $\left(\left(\left(\left(L_{avg}-3.299e+00\right) * \left(at_{mass, wtd, mean}+1.310e+02\right)\right)-2.080e+02\right) * \left(\left(\frac{ at_{mass, std} +4.991e+00 }{ V_{molar}-4.682e+00 } \right)-1.818e+00\right)\right)$; ((((L_avg-3.298518e+00) .* (at_mass_wtd_mean+1.309640e+02))-2.080315e+02) .* (((at_mass_std+4.991455e+00) ./ (V_molar-4.681758e+00))-1.817841e+00)); ((((newdata$L_avg-3.298518e+00) * (newdata$at_mass_wtd_mean+1.309640e+02))-2.080315e+02) * (((newdata$at_mass_std+4.991455e+00) / (newdata$V_molar-4.681758e+00))-1.817841e+00)); L_avg,at_mass_wtd_mean,at_mass_std,V_molar
# 2;  2; W * eV^-1 * g * mK^-1 * mol^-1;                   12|19|div|30|37|mult|mult:3.0681888256179e+01,-4.1015224266896e+02,1.5342399108347e+00,1.3559392834668e+02,-1.0469174417406e+02,-9.3105253923927e+00; ((((at_mass_wtd_std-1.046917e+02) / (IP_mean-9.310525e+00))+3.068189e+01) * (((PE_wtd_std+1.534240e+00) * (ThermalCond_mean+1.355939e+02))-4.101522e+02)); $\left(\left(\left(\frac{ at_{mass, wtd, std} -1.047e+02 }{ IP_{mean}-9.311e+00 } \right)+3.068e+01\right) * \left(\left(\left(PE_{wtd, std}+1.534e+00\right) * \left(ThermalCond_{mean}+1.356e+02\right)\right)-4.102e+02\right)\right)$; ((((at_mass_wtd_std-1.046917e+02) ./ (IP_mean-9.310525e+00))+3.068189e+01) .* (((PE_wtd_std+1.534240e+00) .* (ThermalCond_mean+1.355939e+02))-4.101522e+02)); ((((newdata$at_mass_wtd_std-1.046917e+02) / (newdata$IP_mean-9.310525e+00))+3.068189e+01) * (((newdata$PE_wtd_std+1.534240e+00) * (newdata$ThermalCond_mean+1.355939e+02))-4.101522e+02)); at_mass_wtd_std,IP_mean,PE_wtd_std,ThermalCond_mean
# 3;  2; cm^-3 * g;                                        0|5|mult|35|1|div|mult:-5.5112248650654e+01,-6.8841655524975e+01,-4.5585583936134e+00,-6.0172793356816e-02,1.8482815055979e-03,8.3822896616175e+01; ((((lambda+1.848282e-03) * (density+8.382290e+01))-5.511225e+01) * (((EA_std-4.558558e+00) / (w_log-6.017279e-02))-6.884166e+01)); $\left(\left(\left(\left(lambda+1.848e-03\right) * \left(density+8.382e+01\right)\right)-5.511e+01\right) * \left(\left(\frac{ EA_{std} -4.559e+00 }{ w_{log}-6.017e-02 } \right)-6.884e+01\right)\right)$; ((((lambda+1.848282e-03) .* (density+8.382290e+01))-5.511225e+01) .* (((EA_std-4.558558e+00) ./ (w_log-6.017279e-02))-6.884166e+01)); ((((newdata$lambda+1.848282e-03) * (newdata$density+8.382290e+01))-5.511225e+01) * (((newdata$EA_std-4.558558e+00) / (newdata$w_log-6.017279e-02))-6.884166e+01)); lambda,density,EA_std,w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
C8Cs1       ,  6.750000000000000e-02,  1.730897980699855e-01,  1.742491933943812e+04, -9.041714372441335e+01,  3.911834755577391e+03, -8.627021081082889e+02
Se2Ta1      ,  1.250000000000000e-01, -5.530110867863168e-01,  3.505752651635602e+03, -1.043047604772680e+02, -1.121558195014297e+04, -7.704460445721234e+02
Ti1         ,  1.620000000000000e-01, -1.445407022962066e+00,  2.324709119123232e+04,  8.026672486181501e+01, -1.227715841212380e+04, -4.953240126803246e+02
B1Mo1       ,  2.500000000000000e-01,  2.258645465249029e+00,  1.062871428550098e+04, -3.279256176583203e+02, -4.262948758493390e+03, -7.703161111968906e+01
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.327626238170899e+00,  1.510410788414712e+04, -3.138165108018413e+00,  1.976477644276283e+03,  4.186169705938637e+00
Pt1Te1      ,  5.900000000000000e-01,  1.355864334677626e-01,  4.657638824207603e+02,  9.679257488934220e-02, -3.202390751169683e+04,  3.868193882916856e+02
Sb1V3       ,  6.500000000000000e-01,  4.010890359638204e-01,  1.001032161515944e+04, -5.052453086790748e+01, -9.977701115102996e+03, -3.077331483225163e+02
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.241280064811082e+00,  1.554876997911510e+04,  1.568088498823798e+01,  2.318338984035867e+03,  3.385635558161013e+02
Rh1Te2      ,  7.550000000000000e-01,  2.218198582842540e+00,  2.133201664028906e+03, -7.738789046646534e+02, -7.819427066330746e+03, -4.355596325928782e+02
Zr1         ,  9.966666670000000e-01,  1.177071121755442e+00,  1.208260508501971e+04,  1.134591162952213e+02, -1.167638360593691e+04,  2.039352623638614e+02
Be2Ta3      ,  1.000000000000000e+00,  8.972986644639422e-01,  9.474505957873005e+02,  1.989656215458577e+02, -2.242257601670516e+02, -5.650860809572863e+02
C1Si1       ,  1.075000000000000e+00,  1.159850628270209e-01, -1.074176701287209e+04, -1.864094879904043e+02, -2.383804330492015e+04, -3.440277738859657e+02
Nb3Sb1      ,  1.100000000000000e+00,  2.895539738607797e+00,  4.576679662174720e+03, -3.146102346261255e+02, -9.516810554287931e+03,  2.598958588265949e+02
Nb1O1       ,  1.380000000000000e+00,  2.881311595871079e+00, -1.459760275638322e+04, -1.051720540357504e+02,  4.957486895570387e+02, -4.326552421857194e+02
Sb1Sn1      ,  1.430000000000000e+00,  2.490938282448692e+00,  1.156385551540138e+03, -7.020001380733807e+01, -1.355880798465924e+04,  3.931368265058979e+02
S2Ta1       ,  1.488116666500000e+00,  1.286400992869667e+00,  1.193116277326211e+04,  3.697871159002843e+02, -1.617398325146784e+04,  6.178533967564410e+02
B2C2Y1      ,  1.800000000000000e+00, -1.435412545581598e+00,  2.633273137071440e+03, -2.887522032616253e+00, -1.603583263494141e+03, -1.447490115467918e+03
Re2Y1       ,  1.830000000000000e+00,  2.016475766539787e+00, -1.341635808720786e+03,  6.496604407113769e+01, -5.565467972264173e+03, -7.823538467604997e+01
S1Y1        ,  1.900000000000000e+00,  1.778975494060280e+00,  3.915666039207019e+03,  1.306658001658123e+01, -9.545861600243032e+03,  8.283934587093798e+01
Ga2Pt1      ,  1.900000000000000e+00,  2.200470351741200e+00,  3.999554481528755e+03,  4.774532999488518e+00, -4.635070038535261e+03,  1.666935610007889e+01
Mo0.5Rh0.5  ,  1.940000000000000e+00,  3.083042238014754e+00,  7.346699175220470e+03,  6.361993060388276e+01,  2.925977455948489e+03,  1.172534126211144e+02
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.941828736063807e+00,  7.746288714786533e+03, -1.530981027356151e+02, -8.837744474152179e+02,  8.508414197918438e+01
Be2Nb1      ,  2.150000000000000e+00,  6.756906952717749e-01,  9.497204152988908e+03,  8.386227415652044e+00, -9.273077094679010e+02, -5.700452198265199e+02
In1Te1      ,  2.206000000000000e+00,  1.868526567711330e+00,  2.061603318753340e+03, -8.212757177520039e+01, -8.899013583995293e+03, -2.033533522553626e+01
C2Cl2Y2     ,  2.300000000000000e+00,  1.058895020900599e+00,  3.446421168478455e+03, -1.491099025058020e+02, -1.707306425996862e+03, -6.395543227391234e+02
Be2Nb3      ,  2.300000000000000e+00,  1.345222270960400e+00,  7.842378920226378e+03, -1.069283621931693e+02, -9.010025135197025e+02, -4.493980701421142e+02
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.460059219415015e+00,  2.077627847748875e+03, -9.033145997814566e+01, -1.486010108127997e+03,  2.217432604588781e+02
As1Pt1Sr1   ,  2.425000000000000e+00,  3.070772308542651e+00,  1.458072462177672e+03, -9.541720620195919e+01, -6.100593940154549e+02,  2.809148534873375e+01
Bi1Nb3      ,  2.516666667000000e+00,  2.774241886018004e+00,  3.581759183794875e+03, -7.578915754285401e+01, -6.770173593966051e+03,  2.475873165520684e+02
Re1         ,  2.581333333000000e+00,  3.642641222472533e+00, -6.069109760092316e+03,  1.205218810844866e+02, -1.334419707588023e+04,  7.794535103272297e+02
Hf1In1Pd2   ,  2.630000000000000e+00,  3.192956679184461e+00,  3.514478110910647e+03, -1.019310394719399e+02, -2.468918859806564e+03,  1.908522988816379e+02
Nb3Rh1      ,  2.742333333000000e+00,  3.376307638481395e+00,  9.212037143122479e+03, -3.082797558224153e+02,  1.854984673180072e+03,  4.158590976324127e+01
Ga1Ni2Zr1   ,  2.870000000000000e+00,  3.487175375058670e+00,  1.762456288206356e+03,  1.648880055481139e+01, -5.661268249522553e+03,  4.819318907898947e+02
N1Ni3Zn1    ,  3.000000000000000e+00,  4.327723905961110e+00,  3.186467533025833e+04,  1.000512849694055e+02, -1.491037249853885e+02,  1.237499835844077e+03
