# c0 + a0 * ((((wtd_range_ThermalCond-1.103255e+01) * (wtd_std_at_mass+4.851219e+00))+1.455058e+02) * (|wtd_range_EA - (3.353969e+00*std_IP-5.180938e+00)|-1.189888e-02)) + a1 * ((((std_PE+2.270020e-02) * (wtd_std_PE-1.615053e-01))+9.633309e-02) * (((std_EA-4.183801e-01) / (wtd_mean_EA-1.031947e+00))-1.242197e-01)) + a2 * (((wtd_std_ThermalCond-4.256397e+01) / (mean_IP-7.034393e+00)) + 1.752440e+00*((std_EA+3.492478e-01) / (lambda3-4.748189e-02))) + a3 * ((((lambda-7.201936e+00) / (wtd_mean_IP-3.983981e+00))+1.639838e+00) * (((wtd_std_at_mass-3.385007e+01) / (density-2.692148e+00))+1.102547e+01))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.16220316491623; Max AE: 3.2632292161548
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all , -4.525793454274792e-04,  4.287764071615921e+00, -5.103401178022871e-03,  5.220253409045397e-01,  4.786289861385754e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; W * eV * g * mK^-1 * mol^-1;                      41|13|mult|29|24|abd|mult:1.4550578672498e+02,-1.1898875173072e-02,3.3539686627755e+00,-5.1809384470595e+00,-1.1032549578233e+01,4.8512189760680e+00; ((((wtd_range_ThermalCond-1.103255e+01) * (wtd_std_at_mass+4.851219e+00))+1.455058e+02) * (|wtd_range_EA - (3.353969e+00*std_IP-5.180938e+00)|-1.189888e-02)); $\left(\left(\left(\left(wtd_{range, ThermalCond}-1.103e+01\right) * \left(wtd_{std, at, mass}+4.851e+00\right)\right)+1.455e+02\right) * \left(\left(\left|wtd_{range, EA} - \left(3.354e+00std_{IP}-5.181e+00\right)\right|\right)-1.190e-02\right)\right)$; ((((wtd_range_ThermalCond-1.103255e+01) .* (wtd_std_at_mass+4.851219e+00))+1.455058e+02) .* (abs(wtd_range_EA - (3.353969e+00.*std_IP-5.180938e+00))-1.189888e-02)); ((((newdata$wtd_range_ThermalCond-1.103255e+01) * (newdata$wtd_std_at_mass+4.851219e+00))+1.455058e+02) * (abs(newdata$wtd_range_EA - (3.353969e+00*newdata$std_IP-5.180938e+00))-1.189888e-02)); wtd_range_ThermalCond,wtd_std_at_mass,wtd_range_EA,std_IP
# 1;  2; Unitless;                                         36|37|mult|30|27|div|mult:9.6333085348731e-02,-1.2421967745209e-01,-4.1838013392922e-01,-1.0319471446659e+00,2.2700196119719e-02,-1.6150530879249e-01; ((((std_PE+2.270020e-02) * (wtd_std_PE-1.615053e-01))+9.633309e-02) * (((std_EA-4.183801e-01) / (wtd_mean_EA-1.031947e+00))-1.242197e-01)); $\left(\left(\left(\left(std_{PE}+2.270e-02\right) * \left(wtd_{std, PE}-1.615e-01\right)\right)+9.633e-02\right) * \left(\left(\frac{ std_{EA} -4.184e-01 }{ wtd_{mean, EA}-1.032e+00 } \right)-1.242e-01\right)\right)$; ((((std_PE+2.270020e-02) .* (wtd_std_PE-1.615053e-01))+9.633309e-02) .* (((std_EA-4.183801e-01) ./ (wtd_mean_EA-1.031947e+00))-1.242197e-01)); ((((newdata$std_PE+2.270020e-02) * (newdata$wtd_std_PE-1.615053e-01))+9.633309e-02) * (((newdata$std_EA-4.183801e-01) / (newdata$wtd_mean_EA-1.031947e+00))-1.242197e-01)); std_PE,wtd_std_PE,std_EA,wtd_mean_EA
# 2;  2; W * eV^-1 * mK^-1;                                43|20|div|30|7|div|add:1.7524402151680e+00,0.0000000000000e+00,3.4924783923461e-01,-4.7481888581451e-02,-4.2563974800086e+01,-7.0343927043535e+00; (((wtd_std_ThermalCond-4.256397e+01) / (mean_IP-7.034393e+00)) + 1.752440e+00*((std_EA+3.492478e-01) / (lambda3-4.748189e-02))); $\left(\left(\frac{ wtd_{std, ThermalCond} -4.256e+01 }{ mean_{IP}-7.034e+00 } \right) + 1.75\left(\frac{ std_{EA} +3.492e-01 }{ lambda3-4.748e-02 } \right)\right)$; (((wtd_std_ThermalCond-4.256397e+01) ./ (mean_IP-7.034393e+00)) + (1.752440e+00.*((std_EA+3.492478e-01) ./ (lambda3-4.748189e-02)))); (((newdata$wtd_std_ThermalCond-4.256397e+01) / (newdata$mean_IP-7.034393e+00)) + (1.752440e+00*((newdata$std_EA+3.492478e-01) / (newdata$lambda3-4.748189e-02)))); wtd_std_ThermalCond,mean_IP,std_EA,lambda3
# 3;  2; cm^3 * eV^-1 * mol^-1;                            5|21|div|13|2|div|mult:1.6398378744987e+00,1.1025471867919e+01,-3.3850074919868e+01,-2.6921483173263e+00,-7.2019362225722e+00,-3.9839807996943e+00; ((((lambda-7.201936e+00) / (wtd_mean_IP-3.983981e+00))+1.639838e+00) * (((wtd_std_at_mass-3.385007e+01) / (density-2.692148e+00))+1.102547e+01)); $\left(\left(\left(\frac{ lambda -7.202e+00 }{ wtd_{mean, IP}-3.984e+00 } \right)+1.640e+00\right) * \left(\left(\frac{ wtd_{std, at, mass} -3.385e+01 }{ density-2.692e+00 } \right)+1.103e+01\right)\right)$; ((((lambda-7.201936e+00) ./ (wtd_mean_IP-3.983981e+00))+1.639838e+00) .* (((wtd_std_at_mass-3.385007e+01) ./ (density-2.692148e+00))+1.102547e+01)); ((((newdata$lambda-7.201936e+00) / (newdata$wtd_mean_IP-3.983981e+00))+1.639838e+00) * (((newdata$wtd_std_at_mass-3.385007e+01) / (newdata$density-2.692148e+00))+1.102547e+01)); lambda,wtd_mean_IP,wtd_std_at_mass,density
# Number of Samples Per Task
# Task, n_samples               
# all , 52                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
Rh1V3       ,  1.900000000000000e-01,  1.156735308620684e+00,  9.276345074849685e+02,  2.503085789646044e-02,  8.638707881308648e+01, -5.509665149544994e+00
B1Mo1       ,  2.500000000000000e-01,  1.770887495613618e-01,  7.702161540214850e+03,  2.014603790056416e-02,  3.139601195039891e+01, -2.010471167704742e+00
Cr3Ir1      ,  2.560000000000000e-01,  3.519229216154795e+00,  2.006002797880563e+03, -3.845171568288738e-02, -2.232704296724618e+01, -5.905023382391470e-01
Al1Os1      ,  3.900000000000000e-01, -8.133890991608042e-01,  5.295479424836168e+03,  2.993199341623375e-02,  1.120725803723131e+02, -5.286035216631320e+00
Al1Mo3      ,  5.800000000000000e-01, -6.270742752379576e-01,  4.713426380547085e+03,  6.890868485626683e-02, -9.434673391198889e+01, -7.771879655694847e+00
Sb1V3       ,  6.500000000000000e-01,  3.150726517362494e+00,  7.410945244164660e+02,  2.623025734047378e-02, -5.827484549419192e+01, -3.275757334802555e+00
Ti1O1       ,  7.200000000000000e-01,  1.588481280377027e+00,  7.954576340455153e+02, -1.005715328245397e+00, -4.998443218479075e+01,  2.335860846983727e+00
Ga1Mo3      ,  7.600000000000000e-01, -8.765059751296683e-01,  5.554328035695111e+03,  3.370432439499859e-02,  4.699902980847185e+01, -5.849683411246354e+00
B2Ru1       ,  8.000000000000000e-01,  1.840692365703190e+00,  2.350841026175838e+03, -5.218589816953321e-03,  2.821760393204965e+02, -8.030678907766233e-01
La1Se1      ,  1.020000000000000e+00,  3.066472051102840e+00, -2.239019038502123e+01,  7.105771472378932e-01,  7.146643482563398e+02, -2.163725292128177e+00
Al1Nb1Ni2   ,  1.075000000000000e+00,  1.656936799406989e+00,  3.738812500621052e+03,  8.207763519309982e-02, -1.030845058030297e+02, -4.435138852407266e+00
Co1Si2      ,  1.306666667000000e+00,  2.270373187960599e+00,  6.251421868672920e+03, -5.742355571579704e-02, -1.212890615627145e+02, -1.138265368592861e-01
Nb1O1       ,  1.380000000000000e+00,  2.252968745480226e+00,  5.039784955740923e+03, -8.524549984829168e-01,  1.702822602876386e+01,  6.684750664309941e+00
Cr1         ,  1.550000000000000e+00,  3.121521414345032e+00,  4.754713801950996e+02,  9.443316470694088e-02,  1.732454479069364e+02, -1.858810201062667e+00
Hg2Na1      ,  1.620000000000000e+00,  2.715577541965135e+00,  9.100229553221297e+03,  1.204651617473830e-02,  2.459914741010265e+01,  4.064458460902505e+00
Ga2Y1       ,  1.680000000000000e+00,  2.182280191017925e+00,  8.823530328980657e+02,  5.585326048598013e-02,  4.077159619196485e+01, -4.283483058478991e+00
Be2Nb1      ,  2.150000000000000e+00,  3.177287017221810e+00,  4.830432781345698e+03, -1.474529133579236e-02,  4.191296676237378e+01,  1.636461316290387e+00
B1Hf1       ,  3.100000000000000e+00,  3.587362712342460e+00, -1.860166991608127e+03,  3.368846210928304e-02, -2.520965563781218e+01, -4.432550090808665e+00
B1Zr1       ,  3.100000000000000e+00,  3.655940110111745e+00, -6.414542397720128e+02,  6.457362651570873e-02, -7.364860767380318e+01, -3.971825495193903e+00
C1In1Ti2    ,  3.100000000000000e+00,  2.528843461807305e+00,  1.713112428348583e+03, -5.583406410880305e-02, -5.013212877996814e+01, -2.870680887886745e+00
Pt0.25V0.75 ,  3.102500000000000e+00,  9.235581981189813e-01, -3.002345010782090e+02, -4.835012929454471e-01, -2.767807386431519e+01, -3.959050026099487e+00
Sn1         ,  3.740729412000000e+00,  4.507149120944171e+00,  4.754713801950996e+02, -2.422121765525279e-01, -1.569181899559846e+02,  3.328956753914101e-01
B1Ta1       ,  4.000000000000000e+00,  3.756762509175103e+00,  2.263884611952392e+03,  5.331981957296745e-02, -4.437390540695240e+01, -8.812227073308808e-01
B2Nb1       ,  4.597500000000000e+00,  5.063723789494579e+00, -8.044054274164369e+02,  7.895873042392006e-03, -5.873052742042788e+01, -8.049502664564753e-01
Al1Si1Sr1   ,  4.750000000000000e+00,  3.277944688993509e+00,  3.892161834844947e+03, -9.787464930336853e-02, -8.528419863990044e+01,  4.551327100469865e-01
Fe1Li1P1    ,  4.965000000000000e+00,  4.754168575726178e+00,  9.106489520117850e+02,  5.518857233745750e-02, -3.036637348781378e+01, -2.219766359637153e-02
Ga1Si1Sr1   ,  5.000000000000000e+00,  3.924305332103597e+00,  1.998664181513439e+03, -1.082054886550802e-01, -3.124500176338936e+01,  6.648593436392206e-01
Os0.5V0.5   ,  5.150000000000000e+00,  3.690632459333704e+00,  3.072314817378747e+03,  6.343026491525040e-02, -2.008159540845468e+01, -1.525780751148870e-01
Ir1Ti3      ,  5.185000000000000e+00,  4.845132138034170e+00,  1.289497034783702e+03, -8.967552705518131e-02,  8.853946514336021e+00,  2.053798275014005e+00
Ir1Mo1      ,  5.325000000000000e+00,  4.884599333501379e+00, -3.264434266354800e+02, -1.770537527071442e-02, -6.329364253651431e+00, -1.114293273207531e-02
La1         ,  5.343000000000000e+00,  4.172929947145527e+00,  4.754713801950996e+02,  6.137209863358788e-02,  2.922268671581112e+01, -9.811504036276125e-01
N1Ti1       ,  5.387500000000000e+00,  6.582536286186499e+00,  1.111399597525519e+03,  1.419229053479116e-01, -6.306174083738043e+00,  3.177102578096121e+00
B6Y1        ,  5.692857143000000e+00,  5.561994857764376e+00,  8.255844359120563e+02,  5.907145562409052e-02, -1.731753000814903e+02,  2.352369414512605e-02
Nb1S2       ,  5.821818182000000e+00,  6.420954524655984e+00,  7.765645029469948e+01,  3.279303066298144e-02, -1.128081477055798e+02,  1.826532701445661e+00
Ge1V3       ,  6.680000000000000e+00,  5.053785805139588e+00,  3.558307051269060e+02, -9.830684424936830e-03, -1.076186559925142e+02, -1.504370435227369e-01
