# c0 + a0 * (((std_PE-5.934997e+02) / (wtd_mean_ThermalCond-1.069552e+02)) + 7.323449e+01*|wtd_range_EA - (1.377856e+00*mean_EA-4.596341e-01)|) + a1 * (((wtd_range_at_mass-1.437248e+01) / (density-7.933280e+00)) + 6.326084e+00*((mean_EA+1.271921e+03) / (wtd_mean_at_mass+1.814296e+02))) + a2 * (((w_log-1.001269e+03) / (lambda+1.685775e+13)) + 3.756507e+00*((mean_at_rad-1.000000e+02) / (wtd_mean_at_rad-1.142362e+00))) + a3 * (((wtd_mean_PE-1.194452e+03) / (wtd_mean_at_mass-1.001656e+02)) + 2.012112e+00*((wtd_std_PE-9.925209e-01) / (lambda3-4.836360e-02))) + a4 * ((wtd_mean_IP + 7.513365e-01*lambda) + 3.788359e-05*((wtd_range_IP+1.926483e+04) / (density-2.631249e+00)))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.06951611530833; Max AE: 2.63301615903228
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all ,  1.119705963620297e-02, -4.166527703778041e-02,  1.582608587558626e-04,  8.317444968623654e-03,  1.754352996835255e+00, -9.769265375300126e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; W^-1 * mK;                                        36|39|div|29|26|abd|add:7.3234490052751e+01,0.0000000000000e+00,1.3778561587542e+00,-4.5963407191148e-01,-5.9349966122068e+02,-1.0695522729905e+02; (((std_PE-5.934997e+02) / (wtd_mean_ThermalCond-1.069552e+02)) + 7.323449e+01*|wtd_range_EA - (1.377856e+00*mean_EA-4.596341e-01)|); $\left(\left(\frac{ std_{PE} -5.935e+02 }{ wtd_{mean, ThermalCond}-1.070e+02 } \right) + 73.2\left(\left|wtd_{range, EA} - \left(1.378e+00mean_{EA}-4.596e-01\right)\right|\right)\right)$; (((std_PE-5.934997e+02) ./ (wtd_mean_ThermalCond-1.069552e+02)) + (7.323449e+01.*abs(wtd_range_EA - (1.377856e+00.*mean_EA-4.596341e-01)))); (((newdata$std_PE-5.934997e+02) / (newdata$wtd_mean_ThermalCond-1.069552e+02)) + (7.323449e+01*abs(newdata$wtd_range_EA - (1.377856e+00*newdata$mean_EA-4.596341e-01)))); std_PE,wtd_mean_ThermalCond,wtd_range_EA,mean_EA
# 1;  2; cm^3 * mol^-1;                                    11|2|div|26|9|div|add:6.3260843057081e+00,0.0000000000000e+00,1.2719210454202e+03,1.8142958788396e+02,-1.4372480284184e+01,-7.9332799837315e+00; (((wtd_range_at_mass-1.437248e+01) / (density-7.933280e+00)) + 6.326084e+00*((mean_EA+1.271921e+03) / (wtd_mean_at_mass+1.814296e+02))); $\left(\left(\frac{ wtd_{range, at, mass} -1.437e+01 }{ density-7.933e+00 } \right) + 6.33\left(\frac{ mean_{EA} +1.272e+03 }{ wtd_{mean, at, mass}+1.814e+02 } \right)\right)$; (((wtd_range_at_mass-1.437248e+01) ./ (density-7.933280e+00)) + (6.326084e+00.*((mean_EA+1.271921e+03) ./ (wtd_mean_at_mass+1.814296e+02)))); (((newdata$wtd_range_at_mass-1.437248e+01) / (newdata$density-7.933280e+00)) + (6.326084e+00*((newdata$mean_EA+1.271921e+03) / (newdata$wtd_mean_at_mass+1.814296e+02)))); wtd_range_at_mass,density,mean_EA,wtd_mean_at_mass
# 2;  2; K;                                                4|5|div|14|15|div|add:3.7565066676779e+00,0.0000000000000e+00,-1.0000000000000e+02,-1.1423617818416e+00,-1.0012688541786e+03,1.6857746637093e+13; (((w_log-1.001269e+03) / (lambda+1.685775e+13)) + 3.756507e+00*((mean_at_rad-1.000000e+02) / (wtd_mean_at_rad-1.142362e+00))); $\left(\left(\frac{ w_{log} -1.001e+03 }{ lambda+1.686e+13 } \right) + 3.76\left(\frac{ mean_{at, rad} -1.000e+02 }{ wtd_{mean, at, rad}-1.142e+00 } \right)\right)$; (((w_log-1.001269e+03) ./ (lambda+1.685775e+13)) + (3.756507e+00.*((mean_at_rad-1.000000e+02) ./ (wtd_mean_at_rad-1.142362e+00)))); (((newdata$w_log-1.001269e+03) / (newdata$lambda+1.685775e+13)) + (3.756507e+00*((newdata$mean_at_rad-1.000000e+02) / (newdata$wtd_mean_at_rad-1.142362e+00)))); w_log,lambda,mean_at_rad,wtd_mean_at_rad
# 3;  2; g^-1 * mol;                                       33|9|div|37|7|div|add:2.0121115578703e+00,0.0000000000000e+00,-9.9252087439359e-01,-4.8363600374153e-02,-1.1944522788619e+03,-1.0016560562410e+02; (((wtd_mean_PE-1.194452e+03) / (wtd_mean_at_mass-1.001656e+02)) + 2.012112e+00*((wtd_std_PE-9.925209e-01) / (lambda3-4.836360e-02))); $\left(\left(\frac{ wtd_{mean, PE} -1.194e+03 }{ wtd_{mean, at, mass}-1.002e+02 } \right) + 2.01\left(\frac{ wtd_{std, PE} -9.925e-01 }{ lambda3-4.836e-02 } \right)\right)$; (((wtd_mean_PE-1.194452e+03) ./ (wtd_mean_at_mass-1.001656e+02)) + (2.012112e+00.*((wtd_std_PE-9.925209e-01) ./ (lambda3-4.836360e-02)))); (((newdata$wtd_mean_PE-1.194452e+03) / (newdata$wtd_mean_at_mass-1.001656e+02)) + (2.012112e+00*((newdata$wtd_std_PE-9.925209e-01) / (newdata$lambda3-4.836360e-02)))); wtd_mean_PE,wtd_mean_at_mass,wtd_std_PE,lambda3
# 4;  2; eV;                                               21|5|add|23|2|div|add:3.7883593618216e-05,0.0000000000000e+00,1.9264830379831e+04,-2.6312493796021e+00,7.5133647954407e-01,0.0000000000000e+00; ((wtd_mean_IP + 7.513365e-01*lambda) + 3.788359e-05*((wtd_range_IP+1.926483e+04) / (density-2.631249e+00))); $\left(\left(wtd_{mean, IP} + 0.751lambda\right) + 3.79e-05\left(\frac{ wtd_{range, IP} +1.926e+04 }{ density-2.631e+00 } \right)\right)$; ((wtd_mean_IP + (7.513365e-01.*lambda)) + (3.788359e-05.*((wtd_range_IP+1.926483e+04) ./ (density-2.631249e+00)))); ((newdata$wtd_mean_IP + (7.513365e-01*newdata$lambda)) + (3.788359e-05*((newdata$wtd_range_IP+1.926483e+04) / (newdata$density-2.631249e+00)))); wtd_mean_IP,lambda,wtd_range_IP,density
# Number of Samples Per Task
# Task, n_samples               
# all , 52                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
Rh1V3       ,  1.900000000000000e-01, -1.014101157260073e+00,  5.501096122714780e+01,  1.141156740843187e+02, -1.027688261816600e+03,  5.825363053757936e+00,  7.414730725973214e+00
B1Mo1       ,  2.500000000000000e-01,  5.077183945127504e-01,  2.555203467066051e+01,  7.722126884282102e+01, -7.791652126843335e+03,  5.008480833385232e+00,  8.208027399453597e+00
Cr3Ir1      ,  2.560000000000000e-01, -9.474042650792844e-01, -4.968384481968663e+02,  2.861056874581695e+01, -1.466094718894667e+03,  9.050263239572368e+01,  8.582271007696862e+00
Al1Os1      ,  3.900000000000000e-01,  7.867309498411400e-01,  8.980527787878584e+00,  4.008378117750610e+01, -2.029549451208270e+03, -1.534309105772974e+02,  7.822196608334711e+00
Al1Mo3      ,  5.800000000000000e-01,  4.599398235339991e-02, -3.907574601819180e+00,  1.060792149010123e+02, -1.175628498075323e+03,  2.221342008315932e+02,  7.191995902581779e+00
Sb1V3       ,  6.500000000000000e-01,  2.283835514460780e+00,  4.519755699703059e+01,  6.178342716939792e+01, -1.049705187844040e+03,  3.455158084629937e+01,  7.980144905538806e+00
Nb3Os1      ,  6.633333330000000e-01,  2.411970599134511e+00,  5.124851075297403e+01,  2.929132359887031e+01, -8.262602063362466e+02, -8.008920110039963e+01,  7.766245819934509e+00
B2Ru1       ,  8.000000000000000e-01,  1.739292854598430e+00,  3.330647774136357e+01,  3.759064564893087e+00,  3.881703611950053e+03, -4.909458404615297e+02,  8.414121541693646e+00
La1Se1      ,  1.020000000000000e+00,  2.685452725754213e-01,  4.375306069759873e+01,  1.776246964147864e+01, -7.500611295393202e+02, -4.648919911807519e+02,  8.135992091496920e+00
Al1Nb1Ni2   ,  1.075000000000000e+00,  2.496781679902955e+00, -3.913465103165869e+01,  1.676192623230627e+01, -1.948737212415596e+03,  2.396299340729711e+01,  7.701829875147403e+00
Co1Si2      ,  1.306666667000000e+00,  1.613152029916459e+00, -4.416825069587375e+00,  4.138493915487057e+01, -2.104516471177250e+04,  1.674435410307175e+02,  8.603805074178839e+00
Nb1O1       ,  1.380000000000000e+00,  2.043484059650295e+00,  7.172002475399098e+01,  6.248159891084480e+00, -4.861483089345261e+04,  2.313463995622216e+01,  1.069991682297404e+01
Cr1         ,  1.550000000000000e+00,  1.599473406706017e+00,  7.935432187872507e+01,  4.526825340468338e+01, -1.495847956161268e+03, -2.207699062711283e+01,  7.288542491991453e+00
Hg2Na1      ,  1.620000000000000e+00,  2.223962278879171e+00,  3.022197250469403e+01,  9.761249207857701e+01, -1.271931457390845e+03, -3.473143213210617e+01,  9.241045399605273e+00
Ga2Y1       ,  1.680000000000000e+00,  1.955945828285502e+00,  1.742908080397968e+01,  2.992865893555067e+01, -1.215064340600526e+03,  4.863962874017547e+01,  7.162060500737702e+00
Be2Nb1      ,  2.150000000000000e+00,  3.280894978571118e+00, -5.329328821818899e+00,  3.292269186012513e+01, -8.362248721292184e+03, -1.854779395902152e+01,  9.096945250919589e+00
Ge1Mo3      ,  2.179200000000000e+00,  2.264918559211780e+00,  7.564566108500905e+00,  4.940403956658699e+01, -1.185089445607425e+03,  7.566006761450089e+01,  7.732862702734999e+00
B1Hf1       ,  3.100000000000000e+00,  3.209245700848649e+00,  3.706572073446184e+01,  5.108512112538713e+01, -2.429181859606518e+03,  1.359924167691628e+02,  7.948967342677490e+00
B1Zr1       ,  3.100000000000000e+00,  3.004566154971003e+00,  1.088579205638653e+01,  2.295266422547083e+01, -2.429181859606515e+03, -1.172876039675202e+01,  8.031604547591895e+00
C1In1Ti2    ,  3.100000000000000e+00,  3.688962158414555e+00,  1.599030403099707e+01,  2.763751648236309e+01, -1.900986064820997e+03,  6.711674122191953e+01,  8.078944110925848e+00
Sn1         ,  3.740729412000000e+00,  3.403220538971199e+00,  1.022809629206815e+02,  3.288970780199213e+01, -1.495847956161283e+03, -2.597667432850869e+00,  7.784031390903723e+00
B1Ta1       ,  4.000000000000000e+00,  5.504035623832570e+00,  1.422021925768002e+01,  4.041329398340333e+01, -2.905712008917682e+03,  3.180777610139254e+02,  8.329095499653707e+00
Sn1V3       ,  4.462500000000000e+00,  3.804194181426728e+00,  5.536313757176509e+01,  4.547893956280442e+01, -1.049705187844045e+03,  3.663844417162316e+01,  8.384764552987948e+00
B2Nb1       ,  4.597500000000000e+00,  5.977778233692714e+00,  2.545511698032603e+01,  2.851306537580663e+01,  1.040308642311121e+04,  1.375175121009400e+01,  8.487029187461713e+00
Al1Si1Sr1   ,  4.750000000000000e+00,  3.429300189114699e+00, -1.189685357049134e+01,  3.392850965782758e+01, -1.318097741400398e+03,  1.694017057608026e+01,  8.443637322918299e+00
Fe1Li1P1    ,  4.965000000000000e+00,  3.572763014969268e+00,  1.482877453572518e+01,  3.736067848647622e+01, -4.584426746766935e+03,  4.091182025385097e+01,  8.617357090910627e+00
Ga1Si1Sr1   ,  5.000000000000000e+00,  5.872900883114989e+00,  2.744325351701261e+01,  3.158815891359505e+01, -1.302291549490857e+03,  3.106628223124140e+01,  9.461449104313655e+00
Os0.5V0.5   ,  5.150000000000000e+00,  3.563331583389628e+00,  3.964080141775136e+01,  3.496213304796203e+01, -1.080067064191810e+03, -5.976398557784469e+01,  8.557832733656799e+00
Ir1Ti3      ,  5.185000000000000e+00,  5.856035430516768e+00,  3.617164494227284e+01,  2.809063153516703e+01, -9.021278872626772e+02,  7.341188903128769e+01,  9.076201255475308e+00
Ir1Mo1      ,  5.325000000000000e+00,  3.584121553295104e+00,  3.713972643355213e+01,  2.884005850335426e+01, -1.112649717407656e+03, -7.002625881629710e+01,  8.491842123497150e+00
La1         ,  5.343000000000000e+00,  3.281906271413094e+00,  2.310906463423407e+01,  3.314282842326683e+01, -3.965713041621508e+02, -3.086009624980138e+01,  8.261029618053323e+00
N1Ti1       ,  5.387500000000000e+00,  4.726696806122106e+00,  3.874620602367440e+01,  3.688418945798299e+01, -2.938008324524678e+04,  1.552999922932589e+01,  1.146830535304608e+01
B6Y1        ,  5.692857143000000e+00,  5.273843306912966e+00,  2.566210062131679e+01,  4.217069891122289e+01,  2.454291729425421e+03,  8.653776222124357e+00,  9.150055244812133e+00
Nb1S2       ,  5.821818182000000e+00,  6.727423673469282e+00,  4.325597698215042e+01,  3.573565565251702e+01, -3.551892794805015e+03,  9.107612933759823e+01,  9.864542785391269e+00
