# c0 + a0 * (w_log / at_mass_wtd_mean)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 3.94163802674194; Max AE: 14.5868516270368
# Coefficients
# Task   a0                      c0
# all ,  5.246038359377827e+03,  2.964694928287070e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; eV * g^-1 * mol;                                  1|8|div; (w_log / at_mass_wtd_mean); $\left(\frac{ w_{log} }{ at_{mass, wtd, mean} } \right)$; (w_log ./ at_mass_wtd_mean); (newdata$w_log / newdata$at_mass_wtd_mean); w_log,at_mass_wtd_mean
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
C8Cs1       ,  6.750000000000000e-02,  8.362587680797986e+00,  1.028946489280170e-03
Se2Ta1      ,  1.250000000000000e-01,  3.179248656978827e+00,  4.089823863148474e-05
Ti1         ,  1.620000000000000e-01,  5.178536925057958e+00,  4.220026322936470e-04
B1Mo1       ,  2.500000000000000e-01,  5.824535436672993e+00,  5.451428892573131e-04
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.677047994174120e+00,  1.357887642231297e-04
Pt1Te1      ,  5.900000000000000e-01,  3.213759981607558e+00,  4.747678843698479e-05
Sb1V3       ,  6.500000000000000e-01,  4.542034817043436e+00,  3.006725800883079e-04
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.728029066517965e+00,  1.455067778653120e-04
Rh1Te2      ,  7.550000000000000e-01,  3.496029440866837e+00,  1.012830017969565e-04
Zr1         ,  9.966666670000000e-01,  3.697928019888518e+00,  1.397689153932165e-04
Be2Ta3      ,  1.000000000000000e+00,  3.703148055355969e+00,  1.407639587211251e-04
C1Si1       ,  1.075000000000000e+00,  1.345514927695139e+01,  1.999690743761254e-03
Nb3Sb1      ,  1.100000000000000e+00,  3.919379405362174e+00,  1.819819855812736e-04
Nb1O1       ,  1.380000000000000e+00,  5.375142852119102e+00,  4.594796604037618e-04
Sb1         ,  1.416666667000000e+00,  3.362800993009895e+00,  7.588699080157686e-05
Sb1Sn1      ,  1.430000000000000e+00,  3.306329896091190e+00,  6.512246849918909e-05
S2Ta1       ,  1.488116666500000e+00,  3.602362410303610e+00,  1.215521958349094e-04
B2C2Y1      ,  1.800000000000000e+00,  9.969212176740990e+00,  1.335201302127849e-03
Re2Y1       ,  1.830000000000000e+00,  3.431052510342569e+00,  8.889709722038871e-05
S1Y1        ,  1.900000000000000e+00,  4.206691315978921e+00,  2.367493911804238e-04
Ga2Pt1      ,  1.900000000000000e+00,  3.337294908614147e+00,  7.102502017756255e-05
Mo0.5Rh0.5  ,  1.940000000000000e+00,  3.901753188276230e+00,  1.786220755161032e-04
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.314840753077885e+00,  6.674480833044106e-05
Be2Nb1      ,  2.150000000000000e+00,  6.529973358094998e+00,  6.796134884211494e-04
In1Te1      ,  2.206000000000000e+00,  3.203172857815173e+00,  4.545867056076694e-05
Be2Nb3      ,  2.300000000000000e+00,  4.677760646739914e+00,  3.265446420898857e-04
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.072851747505646e+00,  2.061685634174501e-05
As1Pt1Sr1   ,  2.425000000000000e+00,  3.327754747552198e+00,  6.920647437053567e-05
Bi1Nb3      ,  2.516666667000000e+00,  3.578687372720665e+00,  1.170392594129665e-04
Re1         ,  2.581333333000000e+00,  3.361654658499326e+00,  7.566847648047603e-05
Hf1In1Pd2   ,  2.630000000000000e+00,  3.264027900363854e+00,  5.705886071947904e-05
Nb3Rh1      ,  2.742333333000000e+00,  3.914858993620862e+00,  1.811203045504380e-04
Ga1Ni2Zr1   ,  2.870000000000000e+00,  3.354474304255099e+00,  7.429975712458503e-05
N1Ni3Zn1    ,  3.000000000000000e+00,  4.057161825063955e+00,  2.082460748354973e-04
B1Hf1       ,  3.100000000000000e+00,  4.399687908886783e+00,  2.735384078986988e-04
Pt0.25V0.75 ,  3.102500000000000e+00,  4.262074182254115e+00,  2.473064749227096e-04
C2Y1        ,  3.150000000000000e+00,  6.112953448953794e+00,  6.001211399910739e-04
Pb1Pd2Y1    ,  3.215000000000000e+00,  3.230632355188840e+00,  5.069300082916458e-05
In1Sb1      ,  3.320000000000000e+00,  3.237886825198595e+00,  5.207584813465326e-05
Bi2K1       ,  3.575000000000000e+00,  3.139272484896034e+00,  3.327797942935157e-05
Al1Hf1Pd2   ,  3.621666666500000e+00,  3.170870648326992e+00,  3.930122235407628e-05
Hg0.5In0.5  ,  3.810000000000000e+00,  3.043532700784616e+00,  1.502805871722520e-05
C1W2        ,  3.835000000000000e+00,  3.753899489176250e+00,  1.504381986605944e-04
C1Ga1Mo2    ,  3.900000000000000e+00,  4.327423798515638e+00,  2.597634208664433e-04
Ba1Ge3      ,  4.000000000000000e+00,  3.548347510320293e+00,  1.112558738709725e-04
Bi2Rb1      ,  4.250000000000000e+00,  3.153203989496646e+00,  3.593360328229331e-05
Ba1Sn3      ,  4.300000000000000e+00,  3.336361409278428e+00,  7.084707650430473e-05
Rh1Se2      ,  4.350000000000000e+00,  3.820238440314525e+00,  1.630837316502050e-04
Al1Au2Sc1   ,  4.400000000000000e+00,  3.152249656385877e+00,  3.575168827416850e-05
B2Nb1       ,  4.597500000000000e+00,  7.168275530113022e+00,  8.012866688844591e-04
Pb3Y1       ,  4.720000000000000e+00,  3.145738945609857e+00,  3.451061637762383e-05
Bi2Cs1      ,  4.750000000000000e+00,  3.134970666457431e+00,  3.245796666087579e-05
Al1Si1Sr1   ,  4.750000000000000e+00,  4.238639692329471e+00,  2.428393917030926e-04
Pd2Sn1Y1    ,  4.814444444333330e+00,  3.207248217350147e+00,  4.623551572578343e-05
Br2C2Y2     ,  5.050000000000000e+00,  4.238049573325066e+00,  2.427269031995819e-04
Ir1Mo1      ,  5.325000000000000e+00,  3.651382046922207e+00,  1.308963205363557e-04
N1Ti1       ,  5.387500000000000e+00,  8.667408193865597e+00,  1.087051385238986e-03
Ga1         ,  5.527454545000000e+00,  3.432694850770757e+00,  8.921016020538416e-05
B6Y1        ,  5.692857143000000e+00,  4.192179162525170e+00,  2.339830840245090e-04
Bi3Sr1      ,  5.700000000000000e+00,  3.127091611047676e+00,  3.095606086644503e-05
Ba1Bi3      ,  5.745000000000000e+00,  3.073697327374773e+00,  2.077804080346642e-05
Nb1S2       ,  5.821818182000000e+00,  4.324657571860461e+00,  2.592361226528815e-04
C1Mo2       ,  6.021666667000000e+00,  4.942083589307045e+00,  3.769298898634990e-04
Rh2Sr1      ,  6.200000000000000e+00,  3.328875392514002e+00,  6.942009174902848e-05
Pb1         ,  6.470100000000000e+00,  3.095086325732996e+00,  2.485521235521236e-05
Sn1Ta3      ,  6.692500000000000e+00,  3.210521100407836e+00,  4.685939279901130e-05
Ag1B2       ,  6.700000000000000e+00,  5.237475045709825e+00,  4.332374187390242e-04
Nb1Se2      ,  6.814619048000000e+00,  3.556329095976461e+00,  1.127773239842566e-04
Li1Pb1      ,  7.200000000000000e+00,  3.266021025673125e+00,  5.743879032973602e-05
Tc1         ,  7.794166667000000e+00,  3.720552700066814e+00,  1.440816326530612e-04
P1Ru1Zr1    ,  8.496153846000000e+00,  3.893055064120823e+00,  1.769640388111564e-04
C1Ta1       ,  8.637499999999999e+00,  4.226189258548231e+00,  2.404660896171510e-04
Hf1N1       ,  8.830000000000000e+00,  4.296284651327104e+00,  2.538276756325432e-04
N1Zr1       ,  9.850000000000000e+00,  5.972863363210380e+00,  5.734171633621214e-04
C2I2Y2      ,  9.917500000000000e+00,  3.412340362513276e+00,  8.533018700215828e-05
C1Mo1       ,  1.015200000000000e+01,  4.508950797649166e+00,  2.943661032522916e-04
Mo3Os1      ,  1.102250000000000e+01,  3.591041710317873e+00,  1.193942436412316e-04
C6Ca        ,  1.130300000000000e+01,  1.288024217284308e+01,  1.890101933172288e-03
Nb3Sn1      ,  1.670900000000000e+01,  3.512228101861111e+00,  1.043707910742341e-04
B2Mg0.98    ,  3.840000000000000e+01,  2.381314837296321e+01,  3.974132863021752e-03
