# c0 + a0 * ((IP_mean * lambda4w_low) * (w_log^3))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.81991919777549; Max AE: 8.9361621098536
# Coefficients
# Task   a0                      c0
# all ,  2.142699288328019e+06,  3.043083768846174e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^5;                                             19|2|mult|1|cb|mult; ((IP_mean * lambda4w_low) * (w_log^3)); $\left(\left(IP_{mean} lambda4w_{low}\right) \left(w_{log}^3\right)\right)$; ((IP_mean .* lambda4w_low) .* (w_log).^3); ((newdata$IP_mean * newdata$lambda4w_low) * (newdata$w_log)^3); IP_mean,lambda4w_low,w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
C8Cs1       ,  6.750000000000000e-02,  3.348967753048533e+00,  1.427563755066371e-07
Se2Ta1      ,  1.250000000000000e-01,  6.908543577394481e+00,  1.804014137496906e-06
Ti1         ,  1.620000000000000e-01,  3.190202739231512e+00,  6.866057742527999e-08
B1Mo1       ,  2.500000000000000e-01,  4.396068981379984e+00,  6.314396144638500e-07
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.068660075052083e+00,  1.193648886954496e-08
Pt1Te1      ,  5.900000000000000e-01,  3.072242358511048e+00,  1.360834430837309e-08
Sb1V3       ,  6.500000000000000e-01,  3.251796301809002e+00,  9.740635753218047e-08
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.092813072336139e+00,  2.320871797589927e-08
Rh1Te2      ,  7.550000000000000e-01,  3.047137180521957e+00,  1.891731470609565e-09
Zr1         ,  9.966666670000000e-01,  3.127935309966129e+00,  3.960030302999999e-08
Be2Ta3      ,  1.000000000000000e+00,  3.064863646869928e+00,  1.016469186432105e-08
C1Si1       ,  1.075000000000000e+00,  1.001116210985360e+01,  3.252009453199905e-06
Nb3Sb1      ,  1.100000000000000e+00,  3.397323459259403e+00,  1.653240341950398e-07
Nb1O1       ,  1.380000000000000e+00,  3.634617472512682e+00,  2.760693984866589e-07
Sb1         ,  1.416666667000000e+00,  3.243167348498643e+00,  9.337921599283200e-08
Sb1Sn1      ,  1.430000000000000e+00,  3.078103401477177e+00,  1.634369919370704e-08
S2Ta1       ,  1.488116666500000e+00,  7.005975337177235e+00,  1.849485641740874e-06
B2C2Y1      ,  1.800000000000000e+00,  4.400800298757473e+00,  6.336477252348119e-07
Re2Y1       ,  1.830000000000000e+00,  3.085136089866829e+00,  1.962586222421749e-08
S1Y1        ,  1.900000000000000e+00,  3.224049230839876e+00,  8.445677047613695e-08
Ga2Pt1      ,  1.900000000000000e+00,  3.065852589151380e+00,  1.062623226191155e-08
Mo0.5Rh0.5  ,  1.940000000000000e+00,  3.260530208837765e+00,  1.014824810817331e-07
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.053106072798971e+00,  4.677419742187499e-09
Be2Nb1      ,  2.150000000000000e+00,  3.420419419847581e+00,  1.761029431693363e-07
In1Te1      ,  2.206000000000000e+00,  3.053186884500950e+00,  4.715134648063380e-09
C2Cl2Y2     ,  2.300000000000000e+00,  3.259617953386495e+00,  1.010567305080341e-07
Be2Nb3      ,  2.300000000000000e+00,  3.142157768714926e+00,  4.623793941055609e-08
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.043528821358431e+00,  2.077064731766250e-10
As1Pt1Sr1   ,  2.425000000000000e+00,  3.067617085877701e+00,  1.144972473046875e-08
Bi1Nb3      ,  2.516666667000000e+00,  3.167287884700817e+00,  5.796619083752127e-08
