# c0 + a0 * (w_log / at_mass_wtd_mean)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 3.94134474036027; Max AE: 14.5763898980614
# Coefficients
# Task   a0                      c0
# all ,  5.259020126437657e+03,  2.923565390169848e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; eV * g^-1 * mol;                                  1|8|div; (w_log / at_mass_wtd_mean); $\left(\frac{ w_{log} }{ at_{mass, wtd, mean} } \right)$; (w_log ./ at_mass_wtd_mean); (newdata$w_log / newdata$at_mass_wtd_mean); w_log,at_mass_wtd_mean
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
C8Cs1       ,  6.750000000000000e-02,  8.334815686321630e+00,  1.028946489280170e-03
Se2Ta1      ,  1.250000000000000e-01,  3.138650050268676e+00,  4.089823863148474e-05
Ti1         ,  1.620000000000000e-01,  5.142885726811807e+00,  4.220026322936470e-04
B1Mo1       ,  2.500000000000000e-01,  5.790482816558431e+00,  5.451428892573131e-04
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.637681234163384e+00,  1.357887642231297e-04
Pt1Te1      ,  5.900000000000000e-01,  3.173246776098573e+00,  4.747678843698479e-05
Sb1V3       ,  6.500000000000000e-01,  4.504808540322197e+00,  3.006725800883079e-04
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.688788463496617e+00,  1.455067778653120e-04
Rh1Te2      ,  7.550000000000000e-01,  3.456214735086063e+00,  1.012830017969565e-04
Zr1         ,  9.966666670000000e-01,  3.658612929273136e+00,  1.397689153932165e-04
Be2Ta3      ,  1.000000000000000e+00,  3.663845882161284e+00,  1.407639587211251e-04
C1Si1       ,  1.075000000000000e+00,  1.343997925826137e+01,  1.999690743761254e-03
Nb3Sb1      ,  1.100000000000000e+00,  3.880612314990853e+00,  1.819819855812736e-04
Nb1O1       ,  1.380000000000000e+00,  5.339978171921970e+00,  4.594796604037618e-04
Sb1         ,  1.416666667000000e+00,  3.322656602130130e+00,  7.588699080157686e-05
Sb1Sn1      ,  1.430000000000000e+00,  3.266045762690385e+00,  6.512246849918909e-05
S2Ta1       ,  1.488116666500000e+00,  3.562810834478328e+00,  1.215521958349094e-04
B2C2Y1      ,  1.800000000000000e+00,  9.945415910905973e+00,  1.335201302127849e-03
Re2Y1       ,  1.830000000000000e+00,  3.391077013633757e+00,  8.889709722038871e-05
S1Y1        ,  1.900000000000000e+00,  4.168635203309559e+00,  2.367493911804238e-04
Ga2Pt1      ,  1.900000000000000e+00,  3.297087400764290e+00,  7.102502017756255e-05
Mo0.5Rh0.5  ,  1.940000000000000e+00,  3.862942480335101e+00,  1.786220755161032e-04
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.274577680514861e+00,  6.674480833044106e-05
Be2Nb1      ,  2.150000000000000e+00,  6.497666403975177e+00,  6.796134884211494e-04
In1Te1      ,  2.206000000000000e+00,  3.162633453570020e+00,  4.545867056076694e-05
C2Cl2Y2     ,  2.300000000000000e+00,  3.738049196413217e+00,  1.548736811538089e-04
Be2Nb3      ,  2.300000000000000e+00,  4.640870235100938e+00,  3.265446420898857e-04
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.031989852614958e+00,  2.061685634174501e-05
As1Pt1Sr1   ,  2.425000000000000e+00,  3.287523631764286e+00,  6.920647437053567e-05
Bi1Nb3      ,  2.516666667000000e+00,  3.539077211005996e+00,  1.170392594129665e-04
Re1         ,  2.581333333000000e+00,  3.321507430917546e+00,  7.566847648047603e-05
Hf1In1Pd2   ,  2.630000000000000e+00,  3.223639087085191e+00,  5.705886071947904e-05
Nb3Rh1      ,  2.742333333000000e+00,  3.876080717107119e+00,  1.811203045504380e-04
Ga1Ni2Zr1   ,  2.870000000000000e+00,  3.314309308277470e+00,  7.429975712458503e-05
N1Ni3Zn1    ,  3.000000000000000e+00,  4.018735688981371e+00,  2.082460748354973e-04
B1Hf1       ,  3.100000000000000e+00,  4.362109382662818e+00,  2.735384078986988e-04
Pt0.25V0.75 ,  3.102500000000000e+00,  4.224155119186727e+00,  2.473064749227096e-04
C2Y1        ,  3.150000000000000e+00,  6.079614543683616e+00,  6.001211399910739e-04
Pb1Pd2Y1    ,  3.215000000000000e+00,  3.190160901799945e+00,  5.069300082916458e-05
In1Sb1      ,  3.320000000000000e+00,  3.197433323611300e+00,  5.207584813465326e-05
Bi2K1       ,  3.575000000000000e+00,  3.098574953755986e+00,  3.327797942935157e-05
Al1Hf1Pd2   ,  3.621666666500000e+00,  3.130251309523536e+00,  3.930122235407628e-05
Hg0.5In0.5  ,  3.810000000000000e+00,  3.002598253425022e+00,  1.502805871722520e-05
C1W2        ,  3.835000000000000e+00,  3.714722904710940e+00,  1.504381986605944e-04
C1Ga1Mo2    ,  3.900000000000000e+00,  4.289666448618768e+00,  2.597634208664433e-04
Ba1Ge3      ,  4.000000000000000e+00,  3.508662270041701e+00,  1.112558738709725e-04
Bi2Rb1      ,  4.250000000000000e+00,  3.112540933046854e+00,  3.593360328229331e-05
Ba1Sn3      ,  4.300000000000000e+00,  3.296151591405255e+00,  7.084707650430473e-05
Rh1Se2      ,  4.350000000000000e+00,  3.781226017212833e+00,  1.630837316502050e-04
Al1Au2Sc1   ,  4.400000000000000e+00,  3.111584238357825e+00,  3.575168827416850e-05
B2Nb1       ,  4.597500000000000e+00,  7.137548108879405e+00,  8.012866688844591e-04
Pb3Y1       ,  4.720000000000000e+00,  3.105057416275540e+00,  3.451061637762383e-05
Bi2Cs1      ,  4.750000000000000e+00,  3.094262490102636e+00,  3.245796666087579e-05
Al1Si1Sr1   ,  4.750000000000000e+00,  4.200662638628289e+00,  2.428393917030926e-04
Pd2Sn1Y1    ,  4.814444444333330e+00,  3.166718897927967e+00,  4.623551572578343e-05
Br2C2Y2     ,  5.050000000000000e+00,  4.200071059324334e+00,  2.427269031995819e-04
Ir1Mo1      ,  5.325000000000000e+00,  3.611951774347177e+00,  1.308963205363557e-04
N1Ti1       ,  5.387500000000000e+00,  8.640390503613613e+00,  1.087051385238986e-03
Ga1         ,  5.527454545000000e+00,  3.392723418172690e+00,  8.921016020538416e-05
Bi3Sr1      ,  5.700000000000000e+00,  3.086363937301711e+00,  3.095606086644503e-05
Ba1Bi3      ,  5.745000000000000e+00,  3.032837524943220e+00,  2.077804080346642e-05
Nb1S2       ,  5.821818182000000e+00,  4.286893376701013e+00,  2.592361226528815e-04
C1Mo2       ,  6.021666667000000e+00,  4.905847267217919e+00,  3.769298898634990e-04
Rh2Sr1      ,  6.200000000000000e+00,  3.288647049857137e+00,  6.942009174902848e-05
Pb1         ,  6.470100000000000e+00,  3.054279452192791e+00,  2.485521235521236e-05
Sn1Ta3      ,  6.692500000000000e+00,  3.169999880012496e+00,  4.685939279901130e-05
Ag1B2       ,  6.700000000000000e+00,  5.201969694844276e+00,  4.332374187390242e-04
Nb1Se2      ,  6.814619048000000e+00,  3.516663606808833e+00,  1.127773239842566e-04
Li1Pb1      ,  7.200000000000000e+00,  3.225637144552162e+00,  5.743879032973602e-05
Tc1         ,  7.794166667000000e+00,  3.681293596142294e+00,  1.440816326530612e-04
P1Ru1Zr1    ,  8.496153846000000e+00,  3.854222831933414e+00,  1.769640388111564e-04
C1Ta1       ,  8.637499999999999e+00,  4.188181395192206e+00,  2.404660896171510e-04
Hf1N1       ,  8.830000000000000e+00,  4.258450244968281e+00,  2.538276756325432e-04
N1Zr1       ,  9.850000000000000e+00,  5.939177793136034e+00,  5.734171633621214e-04
C2I2Y2      ,  9.917500000000000e+00,  3.372318561006887e+00,  8.533018700215828e-05
C1Mo1       ,  1.015200000000000e+01,  4.471642651714674e+00,  2.943661032522916e-04
Mo3Os1      ,  1.102250000000000e+01,  3.551462120459886e+00,  1.193942436412316e-04
C6Ca        ,  1.130300000000000e+01,  1.286364949774163e+01,  1.890101933172288e-03
Nb3Sn1      ,  1.670900000000000e+01,  3.472453481041465e+00,  1.043707910742341e-04
B2Mg0.98    ,  3.840000000000000e+01,  2.382361010193855e+01,  3.974132863021752e-03
