# c0 + a0 * (((sin(-4.987778e+01*PE_std-2.830049e+00))+2.999225e-01) * (((at_mass_mean-1.064000e+02) / (V_molar-8.370342e+00))+3.030112e+00)) + a1 * ((((L_avg+5.496996e+00) * (lambda3+9.318361e+01))-9.576879e+02) * (((at_mass_wtd_range-7.416311e+00) / (at_rad_wtd_mean-8.766745e-01))-6.708292e+01)) + a2 * ((((at_mass_std-3.626636e+01) * (at_mass_mean+1.257764e+02))-1.298841e+04) * (((ThermalCond_wtd_mean-1.081779e+02) / (IP_mean-9.253537e+00))+5.066361e+01)) + a3 * ((|PE_range - (-5.703140e+01*lambda+1.136903e+01)|-2.299345e+01) * (((EA_wtd_range-3.752575e+00) / (w_log-6.156933e-02))-5.439651e+01))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.2518091763592; Max AE: 3.15368031409092
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  2.360702821518602e-01, -1.249296405690481e-04,  7.483040709919707e-07,  5.385091020713361e-03,  3.418688022317240e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; cm^-3 * g;                                        29|sin|7|6|div|mult:2.9992246011770e-01,3.0301118291422e+00,-1.0639996286389e+02,-8.3703422287395e+00,-4.9877781727424e+01,-2.8300493339943e+00; (((sin(-4.987778e+01*PE_std-2.830049e+00))+2.999225e-01) * (((at_mass_mean-1.064000e+02) / (V_molar-8.370342e+00))+3.030112e+00)); $\left(\left(\left(\sin{ \left(-4.988e+01PE_{std}-2.830e+00 \right)}\right)+2.999e-01\right) * \left(\left(\frac{ at_{mass, mean} -1.064e+02 }{ V_{molar}-8.370e+00 } \right)+3.030e+00\right)\right)$; ((sin(-4.987778e+01.*PE_std-2.830049e+00)+2.999225e-01) .* (((at_mass_mean-1.064000e+02) ./ (V_molar-8.370342e+00))+3.030112e+00)); ((sin(-4.987778e+01*newdata$PE_std-2.830049e+00)+2.999225e-01) * (((newdata$at_mass_mean-1.064000e+02) / (newdata$V_molar-8.370342e+00))+3.030112e+00)); PE_std,at_mass_mean,V_molar
# 1;  2; g * mol^-1;                                       4|3|mult|10|14|div|mult:-9.5768793922177e+02,-6.7082924319796e+01,-7.4163107343310e+00,-8.7667454670001e-01,5.4969963763299e+00,9.3183608656341e+01; ((((L_avg+5.496996e+00) * (lambda3+9.318361e+01))-9.576879e+02) * (((at_mass_wtd_range-7.416311e+00) / (at_rad_wtd_mean-8.766745e-01))-6.708292e+01)); $\left(\left(\left(\left(L_{avg}+5.497e+00\right) * \left(lambda3+9.318e+01\right)\right)-9.577e+02\right) * \left(\left(\frac{ at_{mass, wtd, range} -7.416e+00 }{ at_{rad, wtd, mean}-8.767e-01 } \right)-6.708e+01\right)\right)$; ((((L_avg+5.496996e+00) .* (lambda3+9.318361e+01))-9.576879e+02) .* (((at_mass_wtd_range-7.416311e+00) ./ (at_rad_wtd_mean-8.766745e-01))-6.708292e+01)); ((((newdata$L_avg+5.496996e+00) * (newdata$lambda3+9.318361e+01))-9.576879e+02) * (((newdata$at_mass_wtd_range-7.416311e+00) / (newdata$at_rad_wtd_mean-8.766745e-01))-6.708292e+01)); L_avg,lambda3,at_mass_wtd_range,at_rad_wtd_mean
# 2;  2; W * eV^-1 * g^2 * mK^-1 * mol^-2;                 11|7|mult|38|19|div|mult:-1.2988411412918e+04,5.0663609185758e+01,-1.0817793364274e+02,-9.2535369940901e+00,-3.6266361719800e+01,1.2577636405841e+02; ((((at_mass_std-3.626636e+01) * (at_mass_mean+1.257764e+02))-1.298841e+04) * (((ThermalCond_wtd_mean-1.081779e+02) / (IP_mean-9.253537e+00))+5.066361e+01)); $\left(\left(\left(\left(at_{mass, std}-3.627e+01\right) * \left(at_{mass, mean}+1.258e+02\right)\right)-1.299e+04\right) * \left(\left(\frac{ ThermalCond_{wtd, mean} -1.082e+02 }{ IP_{mean}-9.254e+00 } \right)+5.066e+01\right)\right)$; ((((at_mass_std-3.626636e+01) .* (at_mass_mean+1.257764e+02))-1.298841e+04) .* (((ThermalCond_wtd_mean-1.081779e+02) ./ (IP_mean-9.253537e+00))+5.066361e+01)); ((((newdata$at_mass_std-3.626636e+01) * (newdata$at_mass_mean+1.257764e+02))-1.298841e+04) * (((newdata$ThermalCond_wtd_mean-1.081779e+02) / (newdata$IP_mean-9.253537e+00))+5.066361e+01)); at_mass_std,at_mass_mean,ThermalCond_wtd_mean,IP_mean
# 3;  2; Unitless;                                         27|0|abd|34|1|div|mult:-2.2993449089722e+01,-5.4396510450549e+01,-3.7525753990764e+00,-6.1569326391142e-02,-5.7031403843717e+01,1.1369025313075e+01; ((|PE_range - (-5.703140e+01*lambda+1.136903e+01)|-2.299345e+01) * (((EA_wtd_range-3.752575e+00) / (w_log-6.156933e-02))-5.439651e+01)); $\left(\left(\left(\left|PE_{range} - \left(-5.703e+01lambda+1.137e+01\right)\right|\right)-2.299e+01\right) * \left(\left(\frac{ EA_{wtd, range} -3.753e+00 }{ w_{log}-6.157e-02 } \right)-5.440e+01\right)\right)$; ((abs(PE_range - (-5.703140e+01.*lambda+1.136903e+01))-2.299345e+01) .* (((EA_wtd_range-3.752575e+00) ./ (w_log-6.156933e-02))-5.439651e+01)); ((abs(newdata$PE_range - (-5.703140e+01*newdata$lambda+1.136903e+01))-2.299345e+01) * (((newdata$EA_wtd_range-3.752575e+00) / (newdata$w_log-6.156933e-02))-5.439651e+01)); PE_range,lambda,EA_wtd_range,w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
C8Cs1       ,  6.750000000000000e-02, -5.071070364563923e-01, -2.292961216850969e-01,  1.468259954746293e+04, -3.161207337264934e+05, -3.344082273907852e+02
Se2Ta1      ,  1.250000000000000e-01, -1.394563861144253e+00,  3.714144855574771e+00,  1.398843274776698e+04, -2.361539372026487e+06, -4.039544917448156e+02
Ti1         ,  1.620000000000000e-01,  2.991075293117832e-01,  2.312379153515388e-01,  5.955105902192526e+03, -1.663098834458702e+06, -2.201812411651040e+02
B1Mo1       ,  2.500000000000000e-01,  1.021384741136597e+00, -7.961235879247496e+00, -3.069883641288696e+03, -7.924108776160155e+05, -5.727800216920502e+01
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.190872086151364e+00, -3.253140718474967e-01, -8.716656320773951e+02, -3.390481772513608e+05, -1.152198584057585e+00
Pt1Te1      ,  5.900000000000000e-01,  2.930325837003463e-01, -3.446074376789019e+00,  6.109681753497376e+01, -4.295977545510856e+06,  1.690204674308065e+02
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.354349674331160e+00, -6.542154951302482e-01,  1.936774311886975e+03, -7.416352352335755e+05,  1.647199034314020e+02
Rh1Te2      ,  7.550000000000000e-01,  1.476586858785192e+00, -1.852923950098479e+00, -9.387427719857687e+03, -1.983982331630888e+06, -2.215054108858034e+02
Zr1         ,  9.966666670000000e-01,  1.907006627455775e+00, -5.650437568145516e-04,  6.480893546946205e+03, -1.737370249771612e+06,  1.110824171750172e+02
Be2Ta3      ,  1.000000000000000e+00,  1.914106529963688e+00,  3.464994376454288e+00,  4.395169182611521e+03, -9.586149340643302e+04, -3.160101164345923e+02
C1Si1       ,  1.075000000000000e+00, -5.067087409152725e-01, -5.881299375949146e+00,  9.371639238256115e+03, -2.258614401469931e+06,  6.015295036250247e+01
Nb3Sb1      ,  1.100000000000000e+00,  2.702131745046826e+00, -2.129133945927677e+00, -2.832049518206139e+03, -1.633520162247328e+06,  1.215637452811372e+02
Nb1O1       ,  1.380000000000000e+00,  1.798734414293861e+00, -6.583649662816674e+00, -2.487902205338845e+03,  4.552424512536351e+05, -1.331866220310645e+02
Sb1         ,  1.416666667000000e+00,  1.474030915158214e+00, -3.139195708445804e-02,  1.211751510257753e+04, -4.126570735253954e+06,  4.947957383710332e+02
Sb1Sn1      ,  1.430000000000000e+00,  3.589237897016123e+00,  4.411594051222576e+00,  3.015843463110006e+03, -2.164413449347408e+06,  2.090050573469214e+02
S2Ta1       ,  1.488116666500000e+00,  1.010031829992610e+00,  3.934411578880502e+00,  2.045954446643337e+04, -3.063596805393964e+06,  2.805990925849966e+02
B2C2Y1      ,  1.800000000000000e+00, -3.661579205191096e-01, -2.171805364733889e-01, -2.983088484573295e+02, -1.397838233423037e+06, -5.059962103500126e+02
Re2Y1       ,  1.830000000000000e+00,  2.301594674503270e+00, -2.184073135332928e+00, -3.238057287121395e+03, -8.035742656679647e+05, -7.515379473388317e+01
S1Y1        ,  1.900000000000000e+00,  1.711344860406563e+00,  1.995413446433405e-01,  2.641777236852053e+03, -2.221572810506274e+06,  4.419596890995910e+01
Ga2Pt1      ,  1.900000000000000e+00,  2.795370997100830e+00, -2.567078293212846e+00, -2.902377987161447e+03, -5.379406459937292e+05,  4.204944410173526e+00
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.728488234698916e+00,  1.663441073558636e+00,  5.476456701503839e+03, -6.580516530784043e+05,  1.740095138144530e+01
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.153613429851231e+00, -1.860032654653609e+00,  9.564855384880279e+02, -1.337094529070602e+06,  5.460827197461414e+01
Be2Nb1      ,  2.150000000000000e+00,  1.666881611750375e+00, -1.124206347081874e+00, -5.120376294399221e+02, -2.465279500388325e+05, -2.536457608862826e+02
In1Te1      ,  2.206000000000000e+00,  2.682474846848280e+00,  4.599710510428833e+00,  2.259393417007760e+03, -1.752785106440999e+06, -4.237378614220645e+01
C2Cl2Y2     ,  2.300000000000000e+00,  1.529873235855028e+00,  8.271276816807525e-01, -4.715646587232753e+02,  1.597589085807898e+05, -4.201480881079123e+02
Be2Nb3      ,  2.300000000000000e+00,  2.059534783937635e+00,  9.890235486335288e-01, -1.297883955728661e+01, -6.049792406340850e+05, -2.119825487254093e+02
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.832899234047729e+00,  1.656068845141740e+00,  1.884049656810524e+02, -8.159581894617202e+05,  1.220749601527239e+02
As1Pt1Sr1   ,  2.425000000000000e+00,  2.250102190454318e+00, -2.389679626999350e+00,  2.143028927962582e+02, -8.803131052283297e+05,  1.505288868534564e+01
Bi1Nb3      ,  2.516666667000000e+00,  3.286048132507313e+00, -1.583852524351007e+00, -8.944133161578683e+02, -5.579712612565618e+05,  1.015867796075099e+02
Re1         ,  2.581333333000000e+00,  1.330232010295846e+00, -1.380604580951605e+00,  1.045165114182481e+04, -2.296041898233863e+06,  2.342248656912585e+02
Hf1In1Pd2   ,  2.630000000000000e+00,  2.685716261507591e+00, -1.659887701021975e+00,  4.828152124188991e+02, -9.958367764817955e+05,  8.623531898688415e+01
Nb3Rh1      ,  2.742333333000000e+00,  2.507349948139427e+00, -1.400347099237466e+00, -2.348703341916254e+03, -1.293562011160782e+06,  1.741796285562959e+01
Ga1Ni2Zr1   ,  2.870000000000000e+00,  3.471895030938570e+00,  9.035735521049502e-02,  1.520511525400703e+03, -1.236682975718159e+06,  2.130415589031373e+02
N1Ni3Zn1    ,  3.000000000000000e+00,  5.686074775835142e+00, -2.312086367194871e-01,  2.067500936501187e+03, -4.090316733810605e+05,  5.359873112174129e+02
