# c0 + a0 * ((exp(3.518196e-01*std_EA)) / (mean_IP * mean_at_rad)) + a1 * ((wtd_range_at_rad - range_at_rad) / (wtd_range_PE + lambda3)) + a2 * ((|range_EA - wtd_mean_EA|) * cos(range_PE)) + a3 * ((mean_EA * lambda) + (|wtd_range_IP - range_IP|)) + a4 * ((w_log^2) * (wtd_range_EA * lambda4w_low))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.90857090956202; Max AE: 4.16079110640288
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all , -1.053974716292532e+02, -3.281789710118970e+00,  6.806669903547175e+00,  1.628743534793184e+00,  1.413439730807414e-06,  7.920460188038176e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; AA^-1 * eV^-1;                                    30|exp:3.5181963494382e-01,0.0000000000000e+00|20|14|mult|div; ((exp(3.518196e-01*std_EA)) / (mean_IP * mean_at_rad)); $\left(\frac{ \left(\exp{ \left(3.518e-01std_{EA} \right)}\right) }{ \left(mean_{IP} mean_{at, rad}\right) } \right)$; (exp(3.518196e-01.*std_EA) ./ (mean_IP .* mean_at_rad)); (exp(3.518196e-01*newdata$std_EA) / (newdata$mean_IP * newdata$mean_at_rad)); std_EA,mean_IP,mean_at_rad
# 1;  2; AA;                                               17|16|sub|35|7|add|div; ((wtd_range_at_rad - range_at_rad) / (wtd_range_PE + lambda3)); $\left(\frac{ \left(wtd_{range, at, rad} - range_{at, rad}\right) }{ \left(wtd_{range, PE} + lambda3\right) } \right)$; ((wtd_range_at_rad - range_at_rad) ./ (wtd_range_PE + lambda3)); ((newdata$wtd_range_at_rad - newdata$range_at_rad) / (newdata$wtd_range_PE + newdata$lambda3)); wtd_range_at_rad,range_at_rad,wtd_range_PE,lambda3
# 2;  2; eV;                                               28|27|abd|34|cos|mult; ((|range_EA - wtd_mean_EA|) * cos(range_PE)); $\left(\left(\left|range_{EA} - wtd_{mean, EA}\right|\right) \left(\cos{ range_{PE} }\right)\right)$; (abs(range_EA - wtd_mean_EA) .* cos(range_PE)); (abs(newdata$range_EA - newdata$wtd_mean_EA) * cos(newdata$range_PE)); range_EA,wtd_mean_EA,range_PE
# 3;  2; eV;                                               26|5|mult|23|22|abd|add; ((mean_EA * lambda) + (|wtd_range_IP - range_IP|)); $\left(\left(mean_{EA} lambda\right) + \left(\left|wtd_{range, IP} - range_{IP}\right|\right)\right)$; ((mean_EA .* lambda) + abs(wtd_range_IP - range_IP)); ((newdata$mean_EA * newdata$lambda) + abs(newdata$wtd_range_IP - newdata$range_IP)); mean_EA,lambda,wtd_range_IP,range_IP
# 4;  2; K^3 * eV;                                         4|sq|29|6|mult|mult; ((w_log^2) * (wtd_range_EA * lambda4w_low)); $\left(\left(w_{log}^2\right) \left(wtd_{range, EA} lambda4w_{low}\right)\right)$; ((w_log)^2 .* (wtd_range_EA .* lambda4w_low)); ((newdata$w_log)^2 * (newdata$wtd_range_EA * newdata$lambda4w_low)); w_log,wtd_range_EA,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 51                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
Rh1V3       ,  1.900000000000000e-01, -1.008052062370384e+00,  1.063044622901134e-01,  9.033752481800132e-01,  5.254153070423773e-02,  2.871289700000000e+00,  1.458636658587153e+05
B1Mo1       ,  2.500000000000000e-01,  3.925637738811451e+00,  1.185972037294336e-01, -1.750000000000000e+00,  4.219436702378930e-02,  8.688777000000000e-01,  7.495960993827175e+05
Cr3Ir1      ,  2.560000000000000e-01,  1.063372951191088e+00,  1.054599930368812e-01,  1.557777261102069e-01,  7.033211187183345e-03,  2.177807700000000e+00,  8.308781350806389e+05
Al1Os1      ,  3.900000000000000e-01,  3.360845980378795e-01,  1.154133360153676e-01, -2.505446623093682e-01,  9.264988571966819e-02,  1.778848750000000e+00,  1.625380474206297e+05
Al1Mo3      ,  5.800000000000000e-01,  1.272991533305880e+00,  1.173510410535929e-01,  4.158376442499005e-01,  3.110009456473076e-01,  2.917459100000000e+00,  1.535634231618515e+05
Sb1V3       ,  6.500000000000000e-01, -4.707953658332434e-01,  9.799131666711579e-02,  5.221518987341772e-01,  1.061922437583214e-01,  1.660327250000000e+00,  1.579914334678200e+05
Nb3Os1      ,  6.633333330000000e-01,  3.227712472002518e+00,  8.712483866541515e-02,  7.910271546635183e-01,  6.089326166803607e-01,  1.533362650000000e+00,  3.139270422406823e+05
Ti1O1       ,  7.200000000000000e-01,  2.282526904374205e+00,  1.103883861319568e-01, -4.936974789915966e-01, -1.978532149204640e-01,  3.490557000000000e+00,  2.689296283759246e+04
Ga1Mo3      ,  7.600000000000000e-01,  2.642245395813331e-01,  1.197432380852248e-01,  4.289761230271145e-01,  1.770717563717309e-01,  2.939840900000000e+00,  2.679226107412903e+05
B2Ru1       ,  8.000000000000000e-01,  2.875970699956527e+00,  1.272397337669237e-01, -8.055105348460290e-01,  2.352562616284120e-01,  2.388851850000000e+00,  1.631493937390606e+05
La1Se1      ,  1.020000000000000e+00,  3.171176888534220e+00,  1.042792115750997e-01, -5.612903225806452e-01,  3.139097142019900e-02,  2.550985850000000e+00,  2.184419140813472e+04
Al1Nb1Ni2   ,  1.075000000000000e+00, -2.742835152107673e-01,  1.197674970018599e-01, -1.204496788008565e-01,  1.871335464825427e-01,  1.270171000000000e+00,  4.886080739519004e+05
Co1Si2      ,  1.306666667000000e+00,  2.487685497115502e+00,  1.195660925959346e-01,  2.518518518518518e-01,  4.196160627979627e-01,  2.872244000000000e+00,  3.264214922385834e+05
Nb1O1       ,  1.380000000000000e+00,  5.537811782491810e+00,  9.431596540144244e-02, -4.813359528487230e-01, -1.619720002458691e-01,  3.973038600000000e+00,  4.314308545560212e+05
Hg2Na1      ,  1.620000000000000e+00, -4.835694094590182e-01,  9.489105577376065e-02, -1.058664331767892e-02,  1.753893808641235e-01,  2.220018000000001e-01,  5.025334604724734e+03
Ga2Y1       ,  1.680000000000000e+00,  2.564990580612065e+00,  1.050778431783501e-01, -2.089427496865859e-01,  2.453767825382783e-01,  2.063457650000000e+00,  1.925200171522658e+03
Ge1Mo3      ,  2.179200000000000e+00,  2.254821400567054e+00,  1.082912681178399e-01,  4.257957833815625e-01,  2.897099258352604e-01,  3.008648000000000e+00,  1.932048992440824e+05
