# c0 + a0 * ((((ThermalCond_range-9.453394e+01) / (at_mass_wtd_mean-5.231849e+01))+4.134162e+00) * (((PE_wtd_range-9.505361e-02) * (EA_wtd_mean+5.855628e-01))-7.839236e-01)) + a1 * ((((PE_range+8.971509e-01) / (lambda4w_low-4.907428e-02))-7.917994e+01) * (((at_mass_std-5.869571e+00) / (L_avg-2.890266e+00))+3.231081e+01)) + a2 * ((((lambda4w_low-5.099943e-03) * (EA_wtd_range-7.328535e-01))+2.177097e-02) * (((at_mass_wtd_mean-4.614756e+01) / (density-2.711940e+00))-4.894491e+01))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.37070737929363; Max AE: 4.09993784753787
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  1.405849342959695e-01, -1.338386092354740e-04,  1.637533964188869e+00,  4.090802423803831e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; W * eV * g^-1 * mK^-1 * mol;                      39|8|div|28|32|mult|mult:4.1341618019899e+00,-7.8392364670229e-01,-9.5053609001894e-02,5.8556283292885e-01,-9.4533938073521e+01,-5.2318488156126e+01; ((((ThermalCond_range-9.453394e+01) / (at_mass_wtd_mean-5.231849e+01))+4.134162e+00) * (((PE_wtd_range-9.505361e-02) * (EA_wtd_mean+5.855628e-01))-7.839236e-01)); $\left(\left(\left(\frac{ ThermalCond_{range} -9.453e+01 }{ at_{mass, wtd, mean}-5.232e+01 } \right)+4.134e+00\right) * \left(\left(\left(PE_{wtd, range}-9.505e-02\right) * \left(EA_{wtd, mean}+5.856e-01\right)\right)-7.839e-01\right)\right)$; ((((ThermalCond_range-9.453394e+01) ./ (at_mass_wtd_mean-5.231849e+01))+4.134162e+00) .* (((PE_wtd_range-9.505361e-02) .* (EA_wtd_mean+5.855628e-01))-7.839236e-01)); ((((newdata$ThermalCond_range-9.453394e+01) / (newdata$at_mass_wtd_mean-5.231849e+01))+4.134162e+00) * (((newdata$PE_wtd_range-9.505361e-02) * (newdata$EA_wtd_mean+5.855628e-01))-7.839236e-01)); ThermalCond_range,at_mass_wtd_mean,PE_wtd_range,EA_wtd_mean
# 1;  2; AA^-1 * eV^-1 * g * mol^-1;                       27|2|div|11|4|div|mult:-7.9179942815354e+01,3.2310805056207e+01,-5.8695711640761e+00,-2.8902662811595e+00,8.9715088311760e-01,-4.9074277971675e-02; ((((PE_range+8.971509e-01) / (lambda4w_low-4.907428e-02))-7.917994e+01) * (((at_mass_std-5.869571e+00) / (L_avg-2.890266e+00))+3.231081e+01)); $\left(\left(\left(\frac{ PE_{range} +8.972e-01 }{ lambda4w_{low}-4.907e-02 } \right)-7.918e+01\right) * \left(\left(\frac{ at_{mass, std} -5.870e+00 }{ L_{avg}-2.890e+00 } \right)+3.231e+01\right)\right)$; ((((PE_range+8.971509e-01) ./ (lambda4w_low-4.907428e-02))-7.917994e+01) .* (((at_mass_std-5.869571e+00) ./ (L_avg-2.890266e+00))+3.231081e+01)); ((((newdata$PE_range+8.971509e-01) / (newdata$lambda4w_low-4.907428e-02))-7.917994e+01) * (((newdata$at_mass_std-5.869571e+00) / (newdata$L_avg-2.890266e+00))+3.231081e+01)); PE_range,lambda4w_low,at_mass_std,L_avg
# 2;  2; cm^3 * eV^2 * mol^-1;                             2|34|mult|8|5|div|mult:2.1770971274055e-02,-4.8944913925282e+01,-4.6147561150767e+01,-2.7119395106189e+00,-5.0999426473711e-03,-7.3285352759819e-01; ((((lambda4w_low-5.099943e-03) * (EA_wtd_range-7.328535e-01))+2.177097e-02) * (((at_mass_wtd_mean-4.614756e+01) / (density-2.711940e+00))-4.894491e+01)); $\left(\left(\left(\left(lambda4w_{low}-5.100e-03\right) * \left(EA_{wtd, range}-7.329e-01\right)\right)+2.177e-02\right) * \left(\left(\frac{ at_{mass, wtd, mean} -4.615e+01 }{ density-2.712e+00 } \right)-4.894e+01\right)\right)$; ((((lambda4w_low-5.099943e-03) .* (EA_wtd_range-7.328535e-01))+2.177097e-02) .* (((at_mass_wtd_mean-4.614756e+01) ./ (density-2.711940e+00))-4.894491e+01)); ((((newdata$lambda4w_low-5.099943e-03) * (newdata$EA_wtd_range-7.328535e-01))+2.177097e-02) * (((newdata$at_mass_wtd_mean-4.614756e+01) / (newdata$density-2.711940e+00))-4.894491e+01)); lambda4w_low,EA_wtd_range,at_mass_wtd_mean,density
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
C8Cs1       ,  6.750000000000000e-02,  3.666759302262190e-01, -1.282448990998351e+00, -7.426335992057706e+03, -2.771096091176495e+00
Se2Ta1      ,  1.250000000000000e-01,  3.329525470886440e-01, -9.000692758466329e-02, -3.462451897696379e+03, -2.570087764458433e+00
Ti1         ,  1.620000000000000e-01, -5.203406934690396e-01, -2.149128632605901e+01, -2.617441494693806e+03, -1.184773453877058e+00
B1Mo1       ,  2.500000000000000e-01,  8.160385681669113e-01, -1.692487302794178e+01, -6.542442254210445e+03, -1.081512264217538e+00
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.853732791333906e+00, -5.088363183387467e+00, -8.381629401157221e+03, -1.003648221520400e+00
Pt1Te1      ,  5.900000000000000e-01,  2.922374087256452e+00, -3.109201801829455e+00, -4.925749124461008e+03, -8.491896035107857e-01
Sb1V3       ,  6.500000000000000e-01,  3.158364443315008e+00,  8.792659815572156e-01, -5.044633330642791e+03, -1.057209363390768e+00
Al1Ni2Zr1   ,  6.899999999999999e-01,  1.276957295889743e+00, -1.347283502139354e+01, -5.307106253307357e+03, -9.954378091119571e-01
Rh1Te2      ,  7.550000000000000e-01,  2.557606685887068e+00, -4.022924885199187e+00, -3.453597942199468e+03, -8.731775242317785e-01
Zr1         ,  9.966666670000000e-01,  2.776599968301859e+00, -1.499828587611035e+00, -2.568312949525720e+03, -8.836998907807299e-01
Be2Ta3      ,  1.000000000000000e+00,  2.661089398617780e+00, -3.973265789639978e+00, -6.358561975042088e+03, -1.051674557198781e+00
C1Si1       ,  1.075000000000000e+00,  8.991782335243674e-01, -2.328859698029732e+00,  3.219421601616186e+03, -1.485977540716105e+00
Nb3Sb1      ,  1.100000000000000e+00,  2.831029288131281e+00, -1.869862757629376e+00, -3.911458222945858e+03, -9.284709597724821e-01
Nb1O1       ,  1.380000000000000e+00,  1.943366623399262e+00, -9.963649255927665e+00, -7.855754268501875e+03, -1.098053591269778e+00
Sb1         ,  1.416666667000000e+00,  2.900223797491497e+00, -2.610026009976634e+00,  1.952337407016583e+02, -4.870240839570549e-01
Sb1Sn1      ,  1.430000000000000e+00,  2.903176377875288e+00, -2.931603407984305e+00, -2.958611661128036e+03, -7.153825624671735e-01
S2Ta1       ,  1.488116666500000e+00,  2.464301118169587e+00,  4.509688366770280e-02, -3.541216696703889e+03, -1.286564316724558e+00
B2C2Y1      ,  1.800000000000000e+00,  2.515285363557508e+00, -1.296610081907742e+00, -6.185987312651541e+03, -1.356403717004809e+00
Re2Y1       ,  1.830000000000000e+00,  2.868428932988796e+00, -2.176222924211770e+00, -4.953477507009021e+03, -9.644965594353117e-01
S1Y1        ,  1.900000000000000e+00,  3.356782461580564e+00, -1.371265726999738e+00, -7.152247300245758e+03, -9.150878848525237e-01
Ga2Pt1      ,  1.900000000000000e+00,  3.476716571573768e+00, -2.002956111810541e+00, -8.293203195145730e+03, -8.808679466465056e-01
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.589484383527062e+00, -1.977199080515025e+00, -3.037754696361447e+03, -9.953518747438134e-01
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.096292793037084e+00, -9.400595661163489e-01, -4.499139086230886e+03, -8.943386632066055e-01
Be2Nb1      ,  2.150000000000000e+00,  2.654082410573148e+00, -1.225391272869265e+00, -5.291598106689763e+03, -1.204658123751995e+00
In1Te1      ,  2.206000000000000e+00,  3.082982815195655e+00, -2.627203139377636e+00, -3.465111066280886e+03, -6.731097479129665e-01
C2Cl2Y2     ,  2.300000000000000e+00,  2.286889061615680e+00, -1.688529510062928e+00, -8.988024559071930e+03, -1.691248132426643e+00
Be2Nb3      ,  2.300000000000000e+00,  1.734874840424853e+00, -8.772010119372487e+00, -4.586645796103804e+03, -1.060488178863441e+00
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.369171295097045e+00, -1.111422660050072e+00, -6.923077233218964e+03, -9.110998050849080e-01
As1Pt1Sr1   ,  2.425000000000000e+00,  3.607334720376394e+00, -1.388813953763658e-01, -6.206679538247226e+03, -7.906012682882473e-01
Bi1Nb3      ,  2.516666667000000e+00,  3.016525251835525e+00, -2.374080138885845e+00, -5.804619421199633e+03, -9.266369402334061e-01
Re1         ,  2.581333333000000e+00,  2.440895502223018e+00, -2.927051826866523e+00, -1.836380132979903e+03, -9.063543891626962e-01
Hf1In1Pd2   ,  2.630000000000000e+00,  2.998222430441841e+00, -2.059054862470133e+00, -5.599799901428457e+03, -9.481191630629829e-01
