# c0 + a0 * ((((PE_std-4.375172e-01) / (at_rad_wtd_mean-1.426107e+00))+3.618655e+01) * (((PE_mean-1.756874e+00) * (V_molar-3.491126e+01))+2.090682e+01)) + a1 * ((((EA_wtd_mean+1.841952e-01) * (PE_wtd_range-2.687168e-01))-3.128051e-01) * (((ThermalCond_range-9.831335e+01) / (at_mass_wtd_mean-5.233866e+01))+8.364489e+00)) + a2 * ((((PE_range+8.971509e-01) / (lambda4w_low-4.907428e-02))-7.917994e+01) * (((at_mass_std-5.869571e+00) / (L_avg-2.890266e+00))+3.231081e+01)) + a3 * ((((lambda4w_low-5.099943e-03) * (EA_wtd_range-7.328535e-01))+2.177097e-02) * (((at_mass_wtd_mean-4.614756e+01) / (density-2.711940e+00))-4.894491e+01))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.12819288261512; Max AE: 3.53354049219368
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all , -3.264514715431784e-03,  2.143125148416810e-01, -1.265598529933380e-04,  1.659058374992051e+00,  6.559200224772476e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; AA^-1 * cm^3 * mol^-1;                            29|14|div|25|6|mult|mult:3.6186554019855e+01,2.0906817259230e+01,-1.7568744920848e+00,-3.4911264256503e+01,-4.3751723304252e-01,-1.4261071897013e+00; ((((PE_std-4.375172e-01) / (at_rad_wtd_mean-1.426107e+00))+3.618655e+01) * (((PE_mean-1.756874e+00) * (V_molar-3.491126e+01))+2.090682e+01)); $\left(\left(\left(\frac{ PE_{std} -4.375e-01 }{ at_{rad, wtd, mean}-1.426e+00 } \right)+3.619e+01\right) * \left(\left(\left(PE_{mean}-1.757e+00\right) * \left(V_{molar}-3.491e+01\right)\right)+2.091e+01\right)\right)$; ((((PE_std-4.375172e-01) ./ (at_rad_wtd_mean-1.426107e+00))+3.618655e+01) .* (((PE_mean-1.756874e+00) .* (V_molar-3.491126e+01))+2.090682e+01)); ((((newdata$PE_std-4.375172e-01) / (newdata$at_rad_wtd_mean-1.426107e+00))+3.618655e+01) * (((newdata$PE_mean-1.756874e+00) * (newdata$V_molar-3.491126e+01))+2.090682e+01)); PE_std,at_rad_wtd_mean,PE_mean,V_molar
# 1;  2; W * eV * g^-1 * mK^-1 * mol;                      32|28|mult|39|8|div|mult:-3.1280511979164e-01,8.3644889936627e+00,-9.8313349003870e+01,-5.2338663556878e+01,1.8419520281240e-01,-2.6871684272938e-01; ((((EA_wtd_mean+1.841952e-01) * (PE_wtd_range-2.687168e-01))-3.128051e-01) * (((ThermalCond_range-9.831335e+01) / (at_mass_wtd_mean-5.233866e+01))+8.364489e+00)); $\left(\left(\left(\left(EA_{wtd, mean}+1.842e-01\right) * \left(PE_{wtd, range}-2.687e-01\right)\right)-3.128e-01\right) * \left(\left(\frac{ ThermalCond_{range} -9.831e+01 }{ at_{mass, wtd, mean}-5.234e+01 } \right)+8.364e+00\right)\right)$; ((((EA_wtd_mean+1.841952e-01) .* (PE_wtd_range-2.687168e-01))-3.128051e-01) .* (((ThermalCond_range-9.831335e+01) ./ (at_mass_wtd_mean-5.233866e+01))+8.364489e+00)); ((((newdata$EA_wtd_mean+1.841952e-01) * (newdata$PE_wtd_range-2.687168e-01))-3.128051e-01) * (((newdata$ThermalCond_range-9.831335e+01) / (newdata$at_mass_wtd_mean-5.233866e+01))+8.364489e+00)); EA_wtd_mean,PE_wtd_range,ThermalCond_range,at_mass_wtd_mean
# 2;  2; AA^-1 * eV^-1 * g * mol^-1;                       27|2|div|11|4|div|mult:-7.9179942815354e+01,3.2310805056207e+01,-5.8695711640761e+00,-2.8902662811595e+00,8.9715088311760e-01,-4.9074277971675e-02; ((((PE_range+8.971509e-01) / (lambda4w_low-4.907428e-02))-7.917994e+01) * (((at_mass_std-5.869571e+00) / (L_avg-2.890266e+00))+3.231081e+01)); $\left(\left(\left(\frac{ PE_{range} +8.972e-01 }{ lambda4w_{low}-4.907e-02 } \right)-7.918e+01\right) * \left(\left(\frac{ at_{mass, std} -5.870e+00 }{ L_{avg}-2.890e+00 } \right)+3.231e+01\right)\right)$; ((((PE_range+8.971509e-01) ./ (lambda4w_low-4.907428e-02))-7.917994e+01) .* (((at_mass_std-5.869571e+00) ./ (L_avg-2.890266e+00))+3.231081e+01)); ((((newdata$PE_range+8.971509e-01) / (newdata$lambda4w_low-4.907428e-02))-7.917994e+01) * (((newdata$at_mass_std-5.869571e+00) / (newdata$L_avg-2.890266e+00))+3.231081e+01)); PE_range,lambda4w_low,at_mass_std,L_avg
# 3;  2; cm^3 * eV^2 * mol^-1;                             2|34|mult|8|5|div|mult:2.1770971274055e-02,-4.8944913925282e+01,-4.6147561150767e+01,-2.7119395106189e+00,-5.0999426473711e-03,-7.3285352759819e-01; ((((lambda4w_low-5.099943e-03) * (EA_wtd_range-7.328535e-01))+2.177097e-02) * (((at_mass_wtd_mean-4.614756e+01) / (density-2.711940e+00))-4.894491e+01)); $\left(\left(\left(\left(lambda4w_{low}-5.100e-03\right) * \left(EA_{wtd, range}-7.329e-01\right)\right)+2.177e-02\right) * \left(\left(\frac{ at_{mass, wtd, mean} -4.615e+01 }{ density-2.712e+00 } \right)-4.894e+01\right)\right)$; ((((lambda4w_low-5.099943e-03) .* (EA_wtd_range-7.328535e-01))+2.177097e-02) .* (((at_mass_wtd_mean-4.614756e+01) ./ (density-2.711940e+00))-4.894491e+01)); ((((newdata$lambda4w_low-5.099943e-03) * (newdata$EA_wtd_range-7.328535e-01))+2.177097e-02) * (((newdata$at_mass_wtd_mean-4.614756e+01) / (newdata$density-2.711940e+00))-4.894491e+01)); lambda4w_low,EA_wtd_range,at_mass_wtd_mean,density
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
C8Cs1       ,  6.750000000000000e-02,  5.409606109521502e-01,  6.131794909173162e+02, -1.674992971104922e+00, -7.426335992057706e+03, -2.771096091176495e+00
Se2Ta1      ,  1.250000000000000e-01,  2.696100399085434e-01,  7.606225608235850e+02,  8.954952896077271e-02, -3.462451897696379e+03, -2.570087764458433e+00
Ti1         ,  1.620000000000000e-01, -4.638448580333657e-01,  8.865158587593633e+02, -1.164027078833568e+01, -2.617441494693806e+03, -1.184773453877058e+00
B1Mo1       ,  2.500000000000000e-01,  1.863373038488349e+00,  4.959454203780456e+02, -9.847883196516342e+00, -6.542442254210445e+03, -1.081512264217538e+00
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.327331121361218e+00,  8.279512985508856e+02, -4.314618321332867e+00, -8.381629401157221e+03, -1.003648221520400e+00
Pt1Te1      ,  5.900000000000000e-01,  2.180942331580963e+00,  7.221566530002685e+02, -5.764076983328927e+00, -4.925749124461008e+03, -8.491896035107857e-01
Sb1V3       ,  6.500000000000000e-01,  2.960747634748857e+00,  6.872233946653951e+02, -1.117422889672766e+00, -5.044633330642791e+03, -1.057209363390768e+00
Al1Ni2Zr1   ,  6.899999999999999e-01,  8.866615369871589e-01,  8.282403847392731e+02, -9.280432916416570e+00, -5.307106253307357e+03, -9.954378091119571e-01
Rh1Te2      ,  7.550000000000000e-01,  6.925363249618935e-01,  1.089127413557734e+03, -6.064161935025471e+00, -3.453597942199468e+03, -8.731775242317785e-01
Zr1         ,  9.966666670000000e-01,  1.406052395307663e+00,  1.046330299959708e+03, -2.782491601287241e+00, -2.568312949525720e+03, -8.836998907807299e-01
Be2Ta3      ,  1.000000000000000e+00,  1.394261675970792e+00,  1.058411594199841e+03, -3.591425876575347e+00, -6.358561975042088e+03, -1.051674557198781e+00
C1Si1       ,  1.075000000000000e+00,  2.050810903347195e+00,  3.349513361307764e+02, -2.529776422408501e+00,  3.219421601616186e+03, -1.485977540716105e+00
Nb3Sb1      ,  1.100000000000000e+00,  2.444344260131268e+00,  7.468396920807951e+02, -2.946318166158123e+00, -3.911458222945858e+03, -9.284709597724821e-01
Nb1O1       ,  1.380000000000000e+00,  3.557618408710348e+00,  1.911164326352482e+02, -7.233210384824469e+00, -7.855754268501875e+03, -1.098053591269778e+00
Sb1         ,  1.416666667000000e+00,  2.276609619901651e+00,  7.603626670535474e+02, -4.515206921490699e+00,  1.952337407016583e+02, -4.870240839570549e-01
Sb1Sn1      ,  1.430000000000000e+00,  1.590654601820581e+00,  9.720428666912891e+02, -4.586187636527286e+00, -2.958611661128036e+03, -7.153825624671735e-01
S2Ta1       ,  1.488116666500000e+00,  2.545518087325789e+00,  7.317959004019104e+02,  2.873644044021495e-01, -3.541216696703889e+03, -1.286564316724558e+00
B2C2Y1      ,  1.800000000000000e+00,  2.394917487062928e+00,  7.190245778802582e+02, -1.631081232289243e+00, -6.185987312651541e+03, -1.356403717004809e+00
Re2Y1       ,  1.830000000000000e+00,  2.603061434309662e+00,  7.621736061750730e+02, -2.308624525575534e+00, -4.953477507009021e+03, -9.644965594353117e-01
S1Y1        ,  1.900000000000000e+00,  3.250885286002923e+00,  7.987693711609442e+02, -4.093261661178480e-01, -7.152247300245758e+03, -9.150878848525237e-01
Ga2Pt1      ,  1.900000000000000e+00,  3.120410358457083e+00,  7.427576805137105e+02, -2.810016586286961e+00, -8.293203195145730e+03, -8.808679466465056e-01
Mo0.5Rh0.5  ,  1.940000000000000e+00,  3.320523536114436e+00,  3.698985447945215e+02, -3.566046390093733e+00, -3.037754696361447e+03, -9.953518747438134e-01
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.019696264638688e+00,  7.484493338046695e+02, -8.484358852561650e-01, -4.499139086230886e+03, -8.943386632066055e-01
Be2Nb1      ,  2.150000000000000e+00,  1.780188083381843e+00,  8.877009825470874e+02, -2.576634176682908e+00, -5.291598106689763e+03, -1.204658123751995e+00
In1Te1      ,  2.206000000000000e+00,  1.891877940447096e+00,  9.798176282395689e+02, -3.688579743801303e+00, -3.465111066280886e+03, -6.731097479129665e-01
C2Cl2Y2     ,  2.300000000000000e+00,  2.739876764760222e+00,  7.442843723548656e+02,  1.300717961372782e+00, -8.988024559071930e+03, -1.691248132426643e+00
Be2Nb3      ,  2.300000000000000e+00,  1.120213146412670e+00,  8.576186438402044e+02, -6.814122914649028e+00, -4.586645796103804e+03, -1.060488178863441e+00
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.150135480871226e+00,  7.837541285606565e+02, -1.003691888508945e+00, -6.923077233218964e+03, -9.110998050849080e-01
As1Pt1Sr1   ,  2.425000000000000e+00,  3.427049720568875e+00,  8.161096500518339e+02,  2.715131374157321e-01, -6.206679538247226e+03, -7.906012682882473e-01
Bi1Nb3      ,  2.516666667000000e+00,  2.607023722182766e+00,  7.478145355636328e+02, -3.304575804682626e+00, -5.804619421199633e+03, -9.266369402334061e-01
Re1         ,  2.581333333000000e+00,  2.894212141156512e+00,  5.315797164511589e+02, -3.071941164710305e+00, -1.836380132979903e+03, -9.063543891626962e-01
Hf1In1Pd2   ,  2.630000000000000e+00,  2.830577658108852e+00,  7.334799866189157e+02, -2.192551244920935e+00, -5.599799901428457e+03, -9.481191630629829e-01
Nb3Rh1      ,  2.742333333000000e+00,  2.260144572096529e+00,  7.771786863558535e+02, -2.729404333995222e+00, -3.602557086703679e+03, -9.842558933528608e-01
Ga1Ni2Zr1   ,  2.870000000000000e+00,  2.587205173464334e+00,  8.224997687386627e+02, -2.470322404090044e+00, -4.682668954831770e+03, -8.138046019494037e-01
N1Ni3Zn1    ,  3.000000000000000e+00,  4.198413319575047e+00,  6.789692925524770e+02,  1.239304224150621e+00, -1.123911841027204e+03, -3.327924978201682e-01
