# c0 + a0 * ((IP_mean * lambda4w_low) * (w_log^3))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.85014769758595; Max AE: 8.99619627182209
# Coefficients
# Task   a0                      c0
# all ,  2.138093088855581e+06,  3.118097335042355e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^5;                                             19|2|mult|1|cb|mult; ((IP_mean * lambda4w_low) * (w_log^3)); $\left(\left(IP_{mean} lambda4w_{low}\right) \left(w_{log}^3\right)\right)$; ((IP_mean .* lambda4w_low) .* (w_log).^3); ((newdata$IP_mean * newdata$lambda4w_low) * (newdata$w_log)^3); IP_mean,lambda4w_low,w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
C8Cs1       ,  6.750000000000000e-02,  3.423323754903168e+00,  1.427563755066371e-07
Se2Ta1      ,  1.250000000000000e-01,  6.975247494622253e+00,  1.804014137496906e-06
Ti1         ,  1.620000000000000e-01,  3.264900041112180e+00,  6.866057742527999e-08
B1Mo1       ,  2.500000000000000e-01,  4.468174010757146e+00,  6.314396144638500e-07
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.143618659399531e+00,  1.193648886954496e-08
Pt1Te1      ,  5.900000000000000e-01,  3.147193241958855e+00,  1.360834430837309e-08
Sb1V3       ,  6.500000000000000e-01,  3.326361194892506e+00,  9.740635753218047e-08
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.167719734547824e+00,  2.320871797589927e-08
Rh1Te2      ,  7.550000000000000e-01,  3.122142033025636e+00,  1.891731470609565e-09
Zr1         ,  9.966666670000000e-01,  3.202766469267385e+00,  3.960030302999999e-08
Be2Ta3      ,  1.000000000000000e+00,  3.139830392467807e+00,  1.016469186432105e-08
C1Si1       ,  1.075000000000000e+00,  1.007119627182209e+01,  3.252009453199905e-06
Nb3Sb1      ,  1.100000000000000e+00,  3.471575509976494e+00,  1.653240341950398e-07
Nb1O1       ,  1.380000000000000e+00,  3.708359407991198e+00,  2.760693984866589e-07
Sb1         ,  1.416666667000000e+00,  3.317750791399382e+00,  9.337921599283200e-08
