# c0 + a0 * ((((at_mass_wtd_mean-1.853124e+02) * (PE_std-1.041881e+00))+8.496262e+01) * ((sin(4.632650e+01*PE_std+7.647313e-01))-4.390054e+00)) + a1 * ((((L_avg-4.031364e+00) * (at_mass_std+6.230215e+01))+1.191416e+02) * (((IP_mean+2.225122e+01) / (L_avg-2.056955e+00))-4.168240e+00)) + a2 * ((((at_mass_std-8.155298e+01) / (IP_mean-9.297655e+00))+3.189152e+01) * (((ThermalCond_mean+5.692226e+00) * (PE_range+1.852781e+00))-2.216434e+02)) + a3 * (((sqrt(1.0*lambda4w_low-3.599114e-05))-5.185980e-02) * (((EA_wtd_range-1.776802e+00) / (w_log-6.455871e-02))-1.791967e+01))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.08880524824704; Max AE: 2.63290952188381
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  4.943004319259046e-03, -2.988472693237105e-03,  1.033111105787511e-04,  2.165588853051394e+00,  9.854789191746139e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; g * mol^-1;                                       8|29|mult|29|sin|mult:8.4962619089618e+01,-4.3900542340288e+00,4.6326500698147e+01,7.6473134867338e-01,-1.8531236389401e+02,-1.0418812438149e+00; ((((at_mass_wtd_mean-1.853124e+02) * (PE_std-1.041881e+00))+8.496262e+01) * ((sin(4.632650e+01*PE_std+7.647313e-01))-4.390054e+00)); $\left(\left(\left(\left(at_{mass, wtd, mean}-1.853e+02\right) * \left(PE_{std}-1.042e+00\right)\right)+8.496e+01\right) * \left(\left(\sin{ \left(4.633e+01PE_{std}+7.647e-01 \right)}\right)-4.390e+00\right)\right)$; ((((at_mass_wtd_mean-1.853124e+02) .* (PE_std-1.041881e+00))+8.496262e+01) .* (sin(4.632650e+01.*PE_std+7.647313e-01)-4.390054e+00)); ((((newdata$at_mass_wtd_mean-1.853124e+02) * (newdata$PE_std-1.041881e+00))+8.496262e+01) * (sin(4.632650e+01*newdata$PE_std+7.647313e-01)-4.390054e+00)); at_mass_wtd_mean,PE_std,PE_std
# 1;  2; eV * g * mol^-1;                                  4|11|mult|19|4|div|mult:1.1914155052090e+02,-4.1682404434712e+00,2.2251218919776e+01,-2.0569554818571e+00,-4.0313639530632e+00,6.2302146441339e+01; ((((L_avg-4.031364e+00) * (at_mass_std+6.230215e+01))+1.191416e+02) * (((IP_mean+2.225122e+01) / (L_avg-2.056955e+00))-4.168240e+00)); $\left(\left(\left(\left(L_{avg}-4.031e+00\right) * \left(at_{mass, std}+6.230e+01\right)\right)+1.191e+02\right) * \left(\left(\frac{ IP_{mean} +2.225e+01 }{ L_{avg}-2.057e+00 } \right)-4.168e+00\right)\right)$; ((((L_avg-4.031364e+00) .* (at_mass_std+6.230215e+01))+1.191416e+02) .* (((IP_mean+2.225122e+01) ./ (L_avg-2.056955e+00))-4.168240e+00)); ((((newdata$L_avg-4.031364e+00) * (newdata$at_mass_std+6.230215e+01))+1.191416e+02) * (((newdata$IP_mean+2.225122e+01) / (newdata$L_avg-2.056955e+00))-4.168240e+00)); L_avg,at_mass_std,IP_mean,L_avg
# 2;  2; W * eV^-1 * g * mK^-1 * mol^-1;                   11|19|div|37|27|mult|mult:3.1891520167124e+01,-2.2164343585518e+02,5.6922263475608e+00,1.8527806286831e+00,-8.1552983384334e+01,-9.2976554199522e+00; ((((at_mass_std-8.155298e+01) / (IP_mean-9.297655e+00))+3.189152e+01) * (((ThermalCond_mean+5.692226e+00) * (PE_range+1.852781e+00))-2.216434e+02)); $\left(\left(\left(\frac{ at_{mass, std} -8.155e+01 }{ IP_{mean}-9.298e+00 } \right)+3.189e+01\right) * \left(\left(\left(ThermalCond_{mean}+5.692e+00\right) * \left(PE_{range}+1.853e+00\right)\right)-2.216e+02\right)\right)$; ((((at_mass_std-8.155298e+01) ./ (IP_mean-9.297655e+00))+3.189152e+01) .* (((ThermalCond_mean+5.692226e+00) .* (PE_range+1.852781e+00))-2.216434e+02)); ((((newdata$at_mass_std-8.155298e+01) / (newdata$IP_mean-9.297655e+00))+3.189152e+01) * (((newdata$ThermalCond_mean+5.692226e+00) * (newdata$PE_range+1.852781e+00))-2.216434e+02)); at_mass_std,IP_mean,ThermalCond_mean,PE_range
# 3;  2; eV^0.5;                                           2|sqrt|34|1|div|mult:-5.1859800286087e-02,-1.7919667534996e+01,-1.7768021673541e+00,-6.4558712819863e-02,1.0000000000000e+00,-3.5991140006607e-05; (((sqrt(1.0*lambda4w_low-3.599114e-05))-5.185980e-02) * (((EA_wtd_range-1.776802e+00) / (w_log-6.455871e-02))-1.791967e+01)); $\left(\left(\left(\sqrt{ 1.0lambda4w_{low}-3.599e-05 }\right)-5.186e-02\right) * \left(\left(\frac{ EA_{wtd, range} -1.777e+00 }{ w_{log}-6.456e-02 } \right)-1.792e+01\right)\right)$; ((sqrt(1.0.*lambda4w_low-3.599114e-05)-5.185980e-02) .* (((EA_wtd_range-1.776802e+00) ./ (w_log-6.455871e-02))-1.791967e+01)); ((sqrt(1.0*newdata$lambda4w_low-3.599114e-05)-5.185980e-02) * (((newdata$EA_wtd_range-1.776802e+00) / (newdata$w_log-6.455871e-02))-1.791967e+01)); lambda4w_low,EA_wtd_range,w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
C8Cs1       ,  6.750000000000000e-02,  2.435758722684346e+00, -5.572745306767160e+02,  1.386605835374875e+03,  5.159632315586477e+03, -4.865345168494621e-01
Se2Ta1      ,  1.250000000000000e-01,  1.241907619091518e-01, -5.428598985591290e+02,  1.075284854409995e+03, -1.167884152873692e+04, -1.213169383164340e+00
Ti1         ,  1.620000000000000e-01, -1.169564819440103e-01, -8.436858990213714e+02,  1.278688478751425e+03, -1.106912596018317e+04, -3.862752302048206e-01
B1Mo1       ,  2.500000000000000e-01,  9.046919342420222e-01, -1.025754993329268e+03,  1.310105738662216e+03, -2.623768625500249e+03,  1.415290720764033e-01
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.082885815378384e+00, -7.812679804731383e+02,  1.338419770676594e+03,  3.034186994209992e+03, -1.033098528350694e-01
Pt1Te1      ,  5.900000000000000e-01,  3.984500012904190e-01, -5.782991181572220e+02,  1.404833230993231e+03, -2.469642598378419e+04,  7.015033961366522e-02
Sb1V3       ,  6.500000000000000e-01, -2.504195562806026e-01, -9.585902356222733e+02,  1.302146860678228e+03, -8.887652904382165e+03, -2.573292914994431e-01
Al1Ni2Zr1   ,  6.899999999999999e-01,  2.138066207821903e+00, -9.577753794172463e+02,  1.253237549115953e+03,  4.021353550173820e+03,  1.604092786587227e-01
Rh1Te2      ,  7.550000000000000e-01,  2.096923550837011e+00, -7.926740910327554e+02,  8.305886644707766e+02, -5.292016009273765e+03, -3.743825102467145e-01
Zr1         ,  9.966666670000000e-01,  1.606894952035834e+00, -6.766574752437762e+02,  1.292855176474876e+03, -1.056635973235347e+04,  2.406335483977550e-02
Be2Ta3      ,  1.000000000000000e+00,  9.655937764685759e-01, -5.875430203524355e+02,  1.630331558971901e+03,  6.826095184274803e+02, -5.464045166227360e-01
C1Si1       ,  1.075000000000000e+00,  1.307056919630336e+00, -9.160169756061766e+02,  1.305353257338209e+03, -2.303694289517763e+04,  1.044117082084875e+00
Nb3Sb1      ,  1.100000000000000e+00,  1.827880155115752e+00, -8.302005776248222e+02,  1.111600992034952e+03, -8.773193260741245e+03,  1.409009625956677e-01
Nb1O1       ,  1.380000000000000e+00,  2.637680281583263e+00, -4.997533608861814e+02,  1.492053746965991e+03,  1.663225999870894e+03, -2.122719340888181e-01
Sb1         ,  1.416666667000000e+00,  1.743249257508148e+00, -5.590075154854966e+02,  1.560815250013550e+03, -2.597718394586262e+04,  9.234541928383010e-01
Sb1Sn1      ,  1.430000000000000e+00,  2.192539986588365e+00, -6.146351328916511e+02,  1.269076484124387e+03, -1.142229526900707e+04,  1.609471433312566e-01
S2Ta1       ,  1.488116666500000e+00,  2.419862911203533e+00, -5.185877376579519e+02,  1.419809019876805e+03, -8.847864783812445e+03,  1.318802360812233e-01
B2C2Y1      ,  1.800000000000000e+00,  2.022361987739463e+00, -5.779209028480587e+02,  1.387789432396874e+03, -7.751956402060580e+02, -3.455432174014344e-01
Re2Y1       ,  1.830000000000000e+00,  3.029754984092309e+00, -5.475781158662667e+02,  9.580227861958809e+02, -5.799109302565813e+03, -3.030195950674346e-01
S1Y1        ,  1.900000000000000e+00,  2.027151518152539e+00, -4.734608935582572e+02,  1.322721270711814e+03, -1.482845562339428e+04, -1.134940653528012e-03
Ga2Pt1      ,  1.900000000000000e+00,  1.701425866282981e+00, -7.489444091887141e+02,  1.355523863388270e+03, -3.851522012790872e+03, -1.143711387275173e-03
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.435445802960380e+00, -8.095472247842506e+02,  1.298888301926899e+03,  5.263132681157307e+03, -3.684716997902426e-02
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.987696191755918e+00, -6.003238013850116e+02,  1.151016610518581e+03, -2.004990115518769e+03, -1.167213208098883e-01
Be2Nb1      ,  2.150000000000000e+00,  1.301804851398833e+00, -8.058755001940689e+02,  1.382112015020051e+03,  1.190367184096300e+03, -2.595656147814480e-01
In1Te1      ,  2.206000000000000e+00,  2.850091880337775e+00, -4.869894893852998e+02,  1.235832092246004e+03, -8.355705544707707e+03, -1.894102903661877e-02
C2Cl2Y2     ,  2.300000000000000e+00,  1.537141666261822e+00, -4.500388923375445e+02,  1.284625422364993e+03,  3.402214749035871e+01, -1.042464826003258e+00
Be2Nb3      ,  2.300000000000000e+00,  1.928319193651812e+00, -7.278533604044350e+02,  1.278812092106960e+03,  1.190367184096300e+03, -2.909004780306138e-01
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.717831823848417e+00, -3.433553048182907e+02,  1.276842881830438e+03, -2.911183688346175e+03, -1.492355794308801e-01
As1Pt1Sr1   ,  2.425000000000000e+00,  3.050894441661680e+00, -5.552801947556193e+02,  1.286506286488529e+03, -2.074174528042741e+03, -7.765469105467884e-05
Bi1Nb3      ,  2.516666667000000e+00,  1.763276082468111e+00, -7.251684648276566e+02,  1.319758019552446e+03, -5.838898291243043e+03,  1.860076747099543e-02
Re1         ,  2.581333333000000e+00,  3.462185064670871e+00, -3.107205629495797e+02,  1.474216486333908e+03, -1.092363972499194e+04,  3.128377861718447e-01
Hf1In1Pd2   ,  2.630000000000000e+00,  2.435932904806903e+00, -6.550567812871068e+02,  1.266838922633926e+03, -2.318306491978260e+03, -7.179915157415441e-02
Nb3Rh1      ,  2.742333333000000e+00,  3.159615173274022e+00, -7.570333501179042e+02,  1.045968695488457e+03,  3.418159757495576e+03, -8.332140008769240e-02
