# FEAT_ID     Score                   Feature Expression
0             0.163097840635063884    (PE_mean - (5.585470e+06*w_log))
1             0.164013384052049738    (at_rad_wtd_mean / at_mass_wtd_mean)
2             0.165691112534441465    (ThermalCond_wtd_std / at_mass_mean)
3             0.166157890154685156    ((PE_wtd_mean-2.561810e+00) * (w_log-2.710892e-02))
4             0.168751034230892799    (ThermalCond_std / at_mass_mean)
5             0.170562399774463136    (ThermalCond_wtd_range / at_mass_mean)
6             0.170988203428480867    (w_log / IP_mean)
7             0.172441334017077674    (w_log / at_rad_mean)
8             0.174439967529871842    (w_log / IP_wtd_mean)
9             0.17601962930014009     ((w_log-9.120080e-03) * (EA_range-1.159572e+00))
10            0.177417834082857551    (w_log / PE_wtd_mean)
11            0.177831401095556535    ((at_rad_mean-1.323469e+00) * (w_log-1.018815e-02))
12            0.17834707127145133     (w_log / at_rad_wtd_mean)
13            0.181461137674389483    ((IP_wtd_range-1.937634e+00) * (w_log-1.277797e-02))
14            0.182081315566773372    (at_rad_wtd_mean / at_mass_mean)
15            0.192798612453785462    (w_log / L_avg)
16            0.19338466296749085     (w_log / PE_mean)
17            0.197325682824309456    (1.0 / at_mass_mean)
18            0.199428284097998038    (at_rad_mean / at_mass_mean)
19            0.222394925646214853    ((w_log-1.215409e-02) * (IP_wtd_std-2.436960e+00))
20            0.222402628998775026    ((IP_wtd_std-2.436784e+00) * (w_log-1.215641e-02))
21            0.225849676960197088    ((IP_range-4.879074e+00) * (w_log-1.198842e-02))
22            0.240397779580371285    ((IP_std-2.652006e+00) * (w_log-1.331176e-02))
23            0.319890977159877465    (w_log * lambda)
24            0.319912793454670941    (lambda4w_low / lambda3)
25            0.324144226926289969    (w_log / density)
26            0.350759444105862683    (w_log / at_mass_wtd_mean)
27            0.350965801859838555    (w_log^2)
28            0.360669163441669105    (w_log / at_mass_mean)
29            0.492516384616132397    (w_log^3)
#-----------------------------------------------------------------------
30            0.166324907693968904    (IP_wtd_mean / lambda3)
31            0.166597814955615153    (IP_wtd_range / lambda3)
32            0.172577190106027734    (IP_std / lambda3)
33            0.174237745515113285    (IP_wtd_std / lambda3)
34            0.177129994317496098    (|PE_mean - lambda|)
35            0.180158702431947176    (IP_range / lambda3)
36            0.182732344787015305    cbrt(lambda)
37            0.205243618790080989    (lambda / lambda3)
38            0.205337741578597494    (w_log / lambda3)
39            0.210248316775706268    ln(lambda3)
40            0.215191681179458499    ((w_log+2.209752e-03) * (lambda-4.396239e-01))
41            0.218620823102347095    ((lambda3-4.151795e+00) * (lambda4w_low-1.886366e+00))
42            0.218628255121599807    ((lambda4w_low-1.885705e+00) * (lambda3-4.182418e+00))
43            0.225800476094228625    cos(lambda)
44            0.233500128648586436    (exp(-1.0 * lambda))
45            0.234900683753301948    ((EA_range-1.669254e+00) * (lambda3-4.329507e-01))
46            0.237209434243851464    (1.0 / lambda)
47            0.243493932928356305    (PE_wtd_mean / lambda)
48            0.245011968121288115    (exp(-1.0 * lambda3))
49            0.248523263216939266    (PE_mean / lambda)
50            0.2565012794334533      (IP_mean / lambda)
51            0.259299335549885546    (IP_wtd_mean / lambda)
52            0.264282505200718609    (lambda4w_low - (4.617138e-01*lambda))
53            0.265021966186206326    ((PE_range-1.024162e+00) * (lambda3-2.111067e+00))
54            0.278928673745993227    ((lambda-2.118914e-01) * (lambda4w_low-1.987652e+00))
55            0.278935821111740034    ((lambda4w_low-1.987677e+00) * (lambda-2.126033e-01))
56            0.280967248470083308    ((PE_std-5.134359e-01) * (lambda3-2.149001e+00))
57            0.287861669037480949    ((lambda-1.039972e+00) * (EA_range-1.827564e+00))
58            0.290208563459469437    ((lambda-9.140623e+00) * (lambda3+9.999375e+01))
59            0.290221659049229808    ((lambda3+1.005950e+02) * (lambda-9.168317e+00))
#-----------------------------------------------------------------------
60            0.0806422114212002189   ((lambda4w_low+1.040155e+02) * (at_mass_wtd_mean-9.091748e+03))
61            0.0825896522607011407   (at_rad_wtd_std + 3.939113e-03*at_mass_wtd_mean)
62            0.0836461088792214841   (at_rad_wtd_std + 7.622431e-01*at_rad_wtd_mean)
63            0.0837445158294434083   (EA_wtd_mean / at_mass_mean)
64            0.0838982951404102367   ((at_rad_mean-2.408823e+00) * (at_mass_wtd_range-2.621548e+02))
65            0.0844689778900091087   (at_mass_wtd_mean - (1.797354e+00*lambda3))
66            0.0849032027464067252   ((lambda3-7.814736e+00) * (PE_wtd_mean-2.084192e+00))
67            0.0849307288857353015   ((at_mass_wtd_mean+4.634224e+02) * (at_rad_wtd_std+1.981486e+00))
68            0.0853925373215039946   ((at_rad_wtd_range+4.995864e-01) * (at_rad_wtd_mean-3.663512e-01))
69            0.085489389936819149    ((at_rad_wtd_std+1.800214e+00) * (at_mass_wtd_mean+4.107053e+02))
70            0.0856709074531812054   ((at_rad_wtd_mean-3.255814e-01) * (at_rad_wtd_range+5.281358e-01))
71            0.0877919092707425269   ((at_rad_wtd_mean-6.437269e+00) * (at_mass_wtd_std-5.904688e+02))
72            0.0905842294382802893   ((lambda4w_low-1.193042e-01) * (at_mass_mean-1.204016e+02))
73            0.0912413768193160307   (at_rad_wtd_range + 3.728526e-03*at_mass_wtd_mean)
74            0.0922664439100883416   ((at_rad_wtd_range+1.934824e+00) * (at_mass_wtd_mean+4.903636e+02))
75            0.0924607766479452059   ((at_mass_wtd_mean+4.178347e+02) * (at_rad_wtd_range+1.672523e+00))
76            0.0943410627494843113   (at_rad_wtd_std + at_rad_wtd_mean)
