# c0 + a0 * (at_mass_wtd_mean * w_log) + a1 * ((IP_mean-4.546401e+00) * (at_rad_std-3.453872e-01)) + a2 * (w_log / lambda) + a3 * ((EA_std-8.338538e-01) * (lambda3-5.646690e-01)) + a4 * (w_log^3)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.19799582110726; Max AE: 6.01919855817531
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all ,  2.670963826846534e+00,  2.162806028398664e+00, -1.791070145852813e+02, -1.139773649359108e+00,  2.197579497238576e+05,  3.567619400488751e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; eV * g * mol^-1;                                  8|1|mult; (at_mass_wtd_mean * w_log); $\left(at_{mass, wtd, mean} w_{log}\right)$; (at_mass_wtd_mean .* w_log); (newdata$at_mass_wtd_mean * newdata$w_log); at_mass_wtd_mean,w_log
# 1;  1; AA * eV;                                          19|17|mult:-4.5464006174955e+00,-3.4538724121680e-01; ((IP_mean-4.546401e+00) * (at_rad_std-3.453872e-01)); $\left(\left(IP_{mean}-4.546e+00\right) * \left(at_{rad, std}-3.454e-01\right)\right)$; ((IP_mean-4.546401e+00) .* (at_rad_std-3.453872e-01)); ((newdata$IP_mean-4.546401e+00) * (newdata$at_rad_std-3.453872e-01)); IP_mean,at_rad_std
# 2;  1; eV;                                               1|0|div; (w_log / lambda); $\left(\frac{ w_{log} }{ lambda } \right)$; (w_log ./ lambda); (newdata$w_log / newdata$lambda); w_log,lambda
# 3;  1; eV;                                               35|3|mult:-8.3385382204151e-01,-5.6466895614449e-01; ((EA_std-8.338538e-01) * (lambda3-5.646690e-01)); $\left(\left(EA_{std}-8.339e-01\right) * \left(lambda3-5.647e-01\right)\right)$; ((EA_std-8.338538e-01) .* (lambda3-5.646690e-01)); ((newdata$EA_std-8.338538e-01) * (newdata$lambda3-5.646690e-01)); EA_std,lambda3
# 4;  1; eV^3;                                             1|cb; (w_log^3); $\left(w_{log}^3\right)$; (w_log).^3; (newdata$w_log)^3; w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
C8Cs1       ,  6.750000000000000e-02,  1.914715662373551e+00,  6.661108299999999e-01,  1.544432112084792e+00,  5.850279329608938e-02,  2.082439091209897e-01,  1.794357303199999e-05
Se2Ta1      ,  1.250000000000000e-01,  2.192473372228217e+00,  5.218904460000000e-01, -4.077422424041545e-01,  1.003693243536824e-03,  1.517083002463751e+00,  9.861112800000000e-08
Ti1         ,  1.620000000000000e-01, -1.454713338376693e+00,  9.669133999999999e-01, -7.880353162852018e-01,  4.070939137444579e-02,  3.689794458304654e-01,  8.242407999999999e-06
B1Mo1       ,  2.500000000000000e-01,  3.953704384463405e+00,  1.553372550000000e+00,  1.452372945641856e-02,  5.001718803712616e-02,  2.204057488787582e-01,  2.464217100000000e-05
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.266320407001036e+00,  8.846210560000000e-01, -2.215815296471927e-01,  1.857942024071876e-02,  1.285044704071933e-01,  1.316532736000000e-06
Pt1Te1      ,  5.900000000000000e-01,  2.043927248052412e+00,  1.235879720000000e+00, -1.488448369420069e+00,  9.401080019636722e-03,  1.792375771679895e-02,  4.494550960000001e-07
Sb1V3       ,  6.500000000000000e-01, -5.207025443174977e-02,  1.416855504000000e+00, -8.665333231624180e-01,  4.013221854948473e-02,  2.406181163075954e-01,  8.792838143999999e-06
Al1Ni2Zr1   ,  6.899999999999999e-01,  2.953989747362557e+00,  5.047524320000000e-01, -2.153652223816824e-01,  9.591494124230554e-03, -7.332269553218865e-02,  6.294227929999998e-07
Rh1Te2      ,  7.550000000000000e-01, -1.783260792340511e+00,  1.443165165000000e+00, -1.200060483406544e+00,  3.766355140186916e-02,  2.215948881238897e-01,  1.767172329000000e-06
Zr1         ,  9.966666670000000e-01,  2.031245203334751e+00,  1.163080500000000e+00, -7.210301914891422e-01,  1.849970980847359e-02,  1.978726415475473e-01,  2.072671874999999e-06
Be2Ta3      ,  1.000000000000000e+00,  1.390000101506786e+00,  1.771221144000000e+00,  9.993024673739405e-02,  4.241203330647327e-02,  3.452204081126714e-01,  3.936827538999999e-06
C1Si1       ,  1.075000000000000e+00,  5.867629876844897e+00,  8.037283290000001e-01, -8.017359138312966e-01,  6.680553241126480e-02,  2.693851214630717e-01,  6.443297272900001e-05
