# c0 + a0 * ((std_at_rad * wtd_range_at_mass) * (range_ThermalCond - mean_ThermalCond)) + a1 * ((wtd_mean_EA * wtd_range_at_rad) * cos(lambda)) + a2 * ((|range_EA - std_IP|) / (|mean_EA - wtd_range_IP|)) + a3 * ((wtd_range_EA - wtd_std_IP) / (exp(1.181490e+00*range_IP))) + a4 * ((w_log / lambda) * (wtd_range_PE * lambda4w_low))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.85243863579956; Max AE: 6.27561131978775
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all , -2.486244584821741e-03, -4.469974566165508e+00,  2.682087803462159e+00,  5.138488412641468e+01,  1.583493558396229e-04,  3.560333406588711e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; AA * W * g * mK^-1 * mol^-1;                      18|11|mult|40|38|sub|mult; ((std_at_rad * wtd_range_at_mass) * (range_ThermalCond - mean_ThermalCond)); $\left(\left(std_{at, rad} wtd_{range, at, mass}\right) \left(range_{ThermalCond} - mean_{ThermalCond}\right)\right)$; ((std_at_rad .* wtd_range_at_mass) .* (range_ThermalCond - mean_ThermalCond)); ((newdata$std_at_rad * newdata$wtd_range_at_mass) * (newdata$range_ThermalCond - newdata$mean_ThermalCond)); std_at_rad,wtd_range_at_mass,range_ThermalCond,mean_ThermalCond
# 1;  2; AA * eV;                                          27|17|mult|5|cos|mult; ((wtd_mean_EA * wtd_range_at_rad) * cos(lambda)); $\left(\left(wtd_{mean, EA} wtd_{range, at, rad}\right) \left(\cos{ lambda }\right)\right)$; ((wtd_mean_EA .* wtd_range_at_rad) .* cos(lambda)); ((newdata$wtd_mean_EA * newdata$wtd_range_at_rad) * cos(newdata$lambda)); wtd_mean_EA,wtd_range_at_rad,lambda
# 2;  2; Unitless;                                         28|24|abd|26|23|abd|div; ((|range_EA - std_IP|) / (|mean_EA - wtd_range_IP|)); $\left(\frac{ \left(\left|range_{EA} - std_{IP}\right|\right) }{ \left(\left|mean_{EA} - wtd_{range, IP}\right|\right) } \right)$; (abs(range_EA - std_IP) ./ abs(mean_EA - wtd_range_IP)); (abs(newdata$range_EA - newdata$std_IP) / abs(newdata$mean_EA - newdata$wtd_range_IP)); range_EA,std_IP,mean_EA,wtd_range_IP
# 3;  2; eV;                                               29|25|sub|22|exp:1.1814903758315e+00,0.0000000000000e+00|div; ((wtd_range_EA - wtd_std_IP) / (exp(1.181490e+00*range_IP))); $\left(\frac{ \left(wtd_{range, EA} - wtd_{std, IP}\right) }{ \left(\exp{ \left(1.181e+00range_{IP} \right)}\right) } \right)$; ((wtd_range_EA - wtd_std_IP) ./ exp(1.181490e+00.*range_IP)); ((newdata$wtd_range_EA - newdata$wtd_std_IP) / exp(1.181490e+00*newdata$range_IP)); wtd_range_EA,wtd_std_IP,range_IP
# 4;  2; K^2;                                              4|5|div|35|6|mult|mult; ((w_log / lambda) * (wtd_range_PE * lambda4w_low)); $\left(\left(\frac{ w_{log} }{ lambda } \right) \left(wtd_{range, PE} lambda4w_{low}\right)\right)$; ((w_log ./ lambda) .* (wtd_range_PE .* lambda4w_low)); ((newdata$w_log / newdata$lambda) * (newdata$wtd_range_PE * newdata$lambda4w_low)); w_log,lambda,wtd_range_PE,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 51                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
Rh1V3       ,  1.900000000000000e-01, -1.182516878185467e+00,  1.956208650000000e+01,  4.793689552555858e-01,  1.080886707843303e-01, -7.420522055378190e-02,  6.136281601096117e+03
B1Mo1       ,  2.500000000000000e-01,  1.330441262979871e+00,  4.321058000000000e+02,  1.553791163277816e-01,  1.464480874316940e+00, -8.863823567183102e-02,  1.046852617041170e+03
Sb1V3       ,  6.500000000000000e-01,  2.993751946734554e-01, -1.114435350000000e+01,  3.604966033025368e-01,  1.912464319695527e-01, -6.640950547889152e-02,  7.718691764161491e+03
Nb3Os1      ,  6.633333330000000e-01,  5.826496609606310e-01, -8.295862500000000e+01,  6.866047364705958e-01,  4.023079355042682e-01, -3.758840878649984e-02,  4.658164539168528e+03
Ti1O1       ,  7.200000000000000e-01,  3.848440771685358e+00,  8.207893944860001e+01,  3.591167981463169e-01,  7.668571428571428e-01, -8.870692613842916e-04,  5.445074198227235e+02
Ga1Mo3      ,  7.600000000000000e-01,  2.531096196771162e+00,  2.268522880000000e+02,  4.949909388137494e-01,  3.048872978794405e-02,  1.443194552642454e-02,  5.835279000384521e+03
B2Ru1       ,  8.000000000000000e-01,  4.978432048626305e-03,  1.601078700000000e+02,  3.649706940146844e-02,  1.260973993705483e-01, -7.863319473507080e-02,  4.472431362256661e+03
Al1Nb1Ni2   ,  1.075000000000000e+00,  1.817560355681742e+00,  2.406886298048400e+02,  2.168659711237887e-01,  2.631402745229327e-02, -2.058608761104351e-02,  5.129546103150478e+03
Nb1O1       ,  1.380000000000000e+00,  4.835842188740396e+00,  5.079880006214999e+02,  5.163186512176987e-01,  1.270366259711432e+00, -9.511206587588733e-04,  9.397334158258989e+03
Cr1         ,  1.550000000000000e+00,  3.560333406588711e+00, -0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00
Hg2Na1      ,  1.620000000000000e+00,  1.329557346602159e+00,  1.233353992450000e+03,  4.872752877949908e-02,  4.226924392059054e-01, -4.006153730133554e-03,  7.932583493418224e+02
Ga2Y1       ,  1.680000000000000e+00,  4.042347622244768e+00, -6.300665799999999e+01,  2.133488047946738e-02,  6.282722513089005e-02,  3.014432693770152e-03,  6.146297032280161e+02
Be2Nb1      ,  2.150000000000000e+00,  2.318884797020310e+00,  1.184649760000000e+02,  2.481753578083257e-02,  1.106433813072416e-01, -3.895355897868722e-02,  5.487151466604079e+03
Ge1Mo3      ,  2.179200000000000e+00,  4.851389854348006e-01, -1.875104250000000e+02,  6.902504629143746e-01,  8.710801393728222e-02, -3.749403999868162e-02,  7.811881305375829e+03
B1Hf1       ,  3.100000000000000e+00,  2.431898211402207e+00, -8.010912000000001e+02,  5.801839200180223e-02,  7.683946488294313e-01, -1.049260095020434e-01,  2.967525855915212e+03
B1Zr1       ,  3.100000000000000e+00,  3.036632825304287e+00, -3.841874400000000e+02,  1.448147928898040e-01,  1.421436004162331e+00, -1.060619706439610e-01,  5.090010090667350e+03
C1In1Ti2    ,  3.100000000000000e+00,  3.695374648705172e+00,  3.533973212700000e+02,  2.567728905099575e-01,  8.374172651739192e-01, -2.785551780675351e-03,  3.697541433679354e+02
Pt0.25V0.75 ,  3.102500000000000e+00,  2.098125060673198e+00, -3.253989200000000e+01,  4.003836302941642e-01,  3.209710047201618e-01, -5.248815026672903e-02,  1.315331697643906e+04
