# c0 + a0 * (sin(lambda) * (L_avg^6)) + a1 * ((PE_wtd_std * at_mass_wtd_mean) / (L_avg^6)) + a2 * ((density * lambda4w_low) / (|PE_wtd_mean - lambda3|)) + a3 * ((ThermalCond_wtd_mean - ThermalCond_mean) / (at_mass_mean^3))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.7534272550645; Max AE: 5.02649862104805
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  3.962997105618298e-05,  1.027615586454996e+02,  2.944042787188974e+00, -8.552158418123925e+03,  2.203049255508400e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; AA^6;                                             0|sin|4|sp|mult; (sin(lambda) * (L_avg^6)); $\left(\left(\sin{ lambda }\right) \left(L_{avg}^6\right)\right)$; (sin(lambda) .* (L_avg).^6); (sin(newdata$lambda) * (newdata$L_avg)^6); lambda,L_avg
# 1;  2; AA^-6 * g * mol^-1;                               30|8|mult|4|sp|div; ((PE_wtd_std * at_mass_wtd_mean) / (L_avg^6)); $\left(\frac{ \left(PE_{wtd, std} at_{mass, wtd, mean}\right) }{ \left(L_{avg}^6\right) } \right)$; ((PE_wtd_std .* at_mass_wtd_mean) ./ (L_avg).^6); ((newdata$PE_wtd_std * newdata$at_mass_wtd_mean) / (newdata$L_avg)^6); PE_wtd_std,at_mass_wtd_mean,L_avg
# 2;  2; cm^-3 * eV * g;                                   5|2|mult|26|3|abd|div; ((density * lambda4w_low) / (|PE_wtd_mean - lambda3|)); $\left(\frac{ \left(density lambda4w_{low}\right) }{ \left(\left|PE_{wtd, mean} - lambda3\right|\right) } \right)$; ((density .* lambda4w_low) ./ abs(PE_wtd_mean - lambda3)); ((newdata$density * newdata$lambda4w_low) / abs(newdata$PE_wtd_mean - newdata$lambda3)); density,lambda4w_low,PE_wtd_mean,lambda3
# 3;  2; W * g^-3 * mK^-1 * mol^3;                         38|37|sub|7|cb|div; ((ThermalCond_wtd_mean - ThermalCond_mean) / (at_mass_mean^3)); $\left(\frac{ \left(ThermalCond_{wtd, mean} - ThermalCond_{mean}\right) }{ \left(at_{mass, mean}^3\right) } \right)$; ((ThermalCond_wtd_mean - ThermalCond_mean) ./ (at_mass_mean).^3); ((newdata$ThermalCond_wtd_mean - newdata$ThermalCond_mean) / (newdata$at_mass_mean)^3); ThermalCond_wtd_mean,ThermalCond_mean,at_mass_mean
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
C8Cs1       ,  6.750000000000000e-02,  1.734045158200875e+00,  9.307715853385718e+03,  6.542404574669309e-04,  1.402726080563761e-03,  1.063157412972671e-04
Se2Ta1      ,  1.250000000000000e-01, -5.835586789507941e-01, -8.706537217670430e+04,  6.384009691483326e-04,  1.907275622240014e-01, -4.288632248378643e-06
Ti1         ,  1.620000000000000e-01,  2.286050316908025e+00,  1.785615612702200e+03,  0.000000000000000e+00,  4.156585768392543e-03,  0.000000000000000e+00
B1Mo1       ,  2.500000000000000e-01,  2.418130539997564e+00,  2.354076873626349e+03,  7.476590781405828e-04,  1.527106675004072e-02,  0.000000000000000e+00
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.790812331020466e+00,  3.320932356342104e+03,  3.413814336403387e-03,  8.835064952647862e-03, -9.276597449271520e-06
Pt1Te1      ,  5.900000000000000e-01,  2.721438255599713e+00,  7.582196063877503e+03,  1.393415726589607e-03,  2.537912083247426e-02,  0.000000000000000e+00
Sb1V3       ,  6.500000000000000e-01,  2.558277562329502e+00,  6.574694804289715e+03,  9.342698339045269e-04,  7.103953169853094e-03,  2.601451388777252e-06
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.009461545301642e+00,  4.798901997808538e+03,  2.306858395393796e-03,  3.941264897407543e-02, -3.076919771969048e-05
Rh1Te2      ,  7.550000000000000e-01,  3.256138942823760e+00,  2.271424875183359e+04,  1.407731858112454e-04,  5.418337314050363e-04, -1.600337673223591e-05
Zr1         ,  9.966666670000000e-01,  2.339310838482971e+00,  1.999058883611154e+03,  0.000000000000000e+00,  1.937435743993298e-02,  0.000000000000000e+00
Be2Ta3      ,  1.000000000000000e+00,  2.717391873178252e+00,  9.022374709666228e+03,  1.551234511495141e-04,  2.750149011108100e-03, -1.552226684715963e-05
C1Si1       ,  1.075000000000000e+00,  3.483945249373348e+00,  3.054400720148197e+02,  1.204668583994516e-02,  1.048055393774672e-02,  0.000000000000000e+00
Nb3Sb1      ,  1.100000000000000e+00,  2.819715934298321e+00,  1.268917060915546e+04,  9.479423388748623e-04,  2.318424000338152e-02,  6.065394190454105e-06
Nb1O1       ,  1.380000000000000e+00,  3.273031811027246e+00,  2.661065441206325e+03,  9.233011120698164e-03,  5.341632743752384e-03,  0.000000000000000e+00
Sb1         ,  1.416666667000000e+00,  2.634614336090578e+00,  7.358716895244935e+02,  0.000000000000000e+00,  1.366836475938178e-01,  0.000000000000000e+00
Sb1Sn1      ,  1.430000000000000e+00,  2.545733160640889e+00,  4.797518625337819e+03,  8.536533656731814e-04,  2.202265223570570e-02,  0.000000000000000e+00
