# c0 + a0 * (((w_log+5.265042e+01) / (lambda3-4.802172e-02)) - (1.842651e+02*((range_EA+5.602279e+02) / (wtd_mean_at_mass-9.862142e+01)))) + a1 * (((wtd_mean_IP-1.261573e-02) * (lambda+8.767224e+00)) - (7.933564e-01*((wtd_std_PE-6.869228e-01) / (mean_at_rad-1.123287e+00))))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.47909916193839; Max AE: 5.91608380313868
# Coefficients
# Task   a0                      a1                      c0
# all , -3.920889358949105e-05,  1.938750711125939e-01, -1.054946197209279e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; K;                                                4|7|div|28|9|div|sub:1.8426513834243e+02,0.0000000000000e+00,5.6022790093832e+02,-9.8621420890307e+01,5.2650422089481e+01,-4.8021717417895e-02; (((w_log+5.265042e+01) / (lambda3-4.802172e-02)) - (1.842651e+02*((range_EA+5.602279e+02) / (wtd_mean_at_mass-9.862142e+01)))); $\left(\left(\frac{ w_{log} +5.265e+01 }{ lambda3-4.802e-02 } \right) - \left(1.843e+02\left(\frac{ range_{EA} +5.602e+02 }{ wtd_{mean, at, mass}-9.862e+01 } \right)\right)\right)$; (((w_log+5.265042e+01) ./ (lambda3-4.802172e-02)) - (1.842651e+02.*((range_EA+5.602279e+02) ./ (wtd_mean_at_mass-9.862142e+01)))); (((newdata$w_log+5.265042e+01) / (newdata$lambda3-4.802172e-02)) - (1.842651e+02*((newdata$range_EA+5.602279e+02) / (newdata$wtd_mean_at_mass-9.862142e+01)))); w_log,lambda3,range_EA,wtd_mean_at_mass
# 1;  2; eV;                                               21|5|mult|37|14|div|sub:7.9335639052653e-01,0.0000000000000e+00,-6.8692281783022e-01,-1.1232873133410e+00,-1.2615732318587e-02,8.7672243742840e+00; (((wtd_mean_IP-1.261573e-02) * (lambda+8.767224e+00)) - (7.933564e-01*((wtd_std_PE-6.869228e-01) / (mean_at_rad-1.123287e+00)))); $\left(\left(\left(wtd_{mean, IP}-1.262e-02\right) * \left(lambda+8.767e+00\right)\right) - \left(7.934e-01\left(\frac{ wtd_{std, PE} -6.869e-01 }{ mean_{at, rad}-1.123e+00 } \right)\right)\right)$; (((wtd_mean_IP-1.261573e-02) .* (lambda+8.767224e+00)) - (7.933564e-01.*((wtd_std_PE-6.869228e-01) ./ (mean_at_rad-1.123287e+00)))); (((newdata$wtd_mean_IP-1.261573e-02) * (newdata$lambda+8.767224e+00)) - (7.933564e-01*((newdata$wtd_std_PE-6.869228e-01) / (newdata$mean_at_rad-1.123287e+00)))); wtd_mean_IP,lambda,wtd_std_PE,mean_at_rad
# Number of Samples Per Task
# Task, n_samples               
# all , 51                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
Rh1V3       ,  1.900000000000000e-01,  1.644878708236069e+00,  9.433755319110005e+03,  6.480579332186754e+01
B1Mo1       ,  2.500000000000000e-01,  4.466039922046275e+00,  6.688027984854758e+03,  7.880194180740313e+01
Cr3Ir1      ,  2.560000000000000e-01,  4.015100559979606e+00,  8.982624587723394e+03,  7.694006876739610e+01
Al1Os1      ,  3.900000000000000e-01,  3.315706498329463e+00, -8.376337446857346e+03,  6.982198107840910e+01
Al1Mo3      ,  5.800000000000000e-01,  3.060236508857458e+00, -3.348809505853013e+04,  6.342572696282455e+01
Sb1V3       ,  6.500000000000000e-01,  2.935542382770229e+00,  3.828215593516249e+03,  7.032933308268483e+01
Nb3Os1      ,  6.633333330000000e-01,  2.878173690809697e+00, -3.914461784469324e+03,  6.846756455669365e+01
Ti1O1       ,  7.200000000000000e-01,  1.473375617613932e+00, -1.148127216509815e+04,  5.969137519693037e+01
Ga1Mo3      ,  7.600000000000000e-01,  8.127071669988454e-01,  2.739434723169395e+04,  6.414579818480253e+01
B2Ru1       ,  8.000000000000000e-01,  2.895594554212200e+00,  1.082019571250370e+05,  9.123161347094030e+01
La1Se1      ,  1.020000000000000e+00,  3.643986994658131e-02,  7.535027403619973e+04,  6.984034946298029e+01
Al1Nb1Ni2   ,  1.075000000000000e+00,  2.546998854766995e+00,  3.260773370873778e+03,  6.821048248796119e+01
Co1Si2      ,  1.306666667000000e+00,  6.456493845360588e+00, -2.861751582418875e+04,  8.192850475078629e+01
Nb1O1       ,  1.380000000000000e+00,  5.930269184287244e+00,  9.836812055432796e+03,  8.699118239769278e+01
Hg2Na1      ,  1.620000000000000e+00,  5.368731489107264e+00, -1.819808249553951e+03,  8.173738223408247e+01
Ga2Y1       ,  1.680000000000000e+00,  1.092140611151901e+00,  4.635530995659020e+03,  6.098440896466671e+01
Ge1Mo3      ,  2.179200000000000e+00,  2.085334164058550e+00,  1.962987164264895e+04,  6.913968674589741e+01
B1Hf1       ,  3.100000000000000e+00,  1.139188925334336e+00,  5.134806662720382e+04,  7.067412895947709e+01
C1In1Ti2    ,  3.100000000000000e+00,  3.536153987828957e+00, -7.814885048070148e+03,  7.107258754095061e+01
Pt0.25V0.75 ,  3.102500000000000e+00,  2.721759060580677e+00,  9.411960245738986e+03,  7.035589208112020e+01
Sn1         ,  3.740729412000000e+00,  3.067708635330701e+00, -1.016360471075897e+04,  6.818136460750480e+01
B1Ta1       ,  4.000000000000000e+00,  2.993091544486857e+00,  2.522018462455936e+04,  7.495243699171679e+01
Sn1V3       ,  4.462500000000000e+00,  3.649532785447802e+00,  3.381556593741975e+03,  7.392173613629944e+01
B2Nb1       ,  4.597500000000000e+00,  4.251584956102690e+00,  3.084687955464942e+03,  7.696705947992696e+01
