# c0 + a0 * (((at_mass_std+1.414947e+02) / (lambda4w_low-5.089268e-02)) - (1.290742e-06*((EA_range-3.221396e+05) / (at_rad_wtd_mean-1.230009e+00)))) + a1 * (((IP_wtd_range-2.273626e+00) / (density-2.754725e+00)) - (2.451693e+01*((EA_range-1.658449e+00) * (lambda4w_low-7.378602e-03))))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.82996037962255; Max AE: 4.84831798491122
# Coefficients
# Task   a0                      a1                      c0
# all , -1.159326802645485e-04,  1.225131717919150e+00,  3.287771347103940e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^-1 * g * mol^-1;                               11|2|div|33|14|div|sub:1.2907424519774e-06,0.0000000000000e+00,-3.2213962994426e+05,-1.2300087243932e+00,1.4149470763644e+02,-5.0892682475270e-02; (((at_mass_std+1.414947e+02) / (lambda4w_low-5.089268e-02)) - (1.290742e-06*((EA_range-3.221396e+05) / (at_rad_wtd_mean-1.230009e+00)))); $\left(\left(\frac{ at_{mass, std} +1.415e+02 }{ lambda4w_{low}-5.089e-02 } \right) - \left(1.291e-06\left(\frac{ EA_{range} -3.221e+05 }{ at_{rad, wtd, mean}-1.230e+00 } \right)\right)\right)$; (((at_mass_std+1.414947e+02) ./ (lambda4w_low-5.089268e-02)) - (1.290742e-06.*((EA_range-3.221396e+05) ./ (at_rad_wtd_mean-1.230009e+00)))); (((newdata$at_mass_std+1.414947e+02) / (newdata$lambda4w_low-5.089268e-02)) - (1.290742e-06*((newdata$EA_range-3.221396e+05) / (newdata$at_rad_wtd_mean-1.230009e+00)))); at_mass_std,lambda4w_low,EA_range,at_rad_wtd_mean
# 1;  2; cm^3 * eV * g^-1;                                 22|5|div|33|2|mult|sub:2.4516925025337e+01,0.0000000000000e+00,-1.6584489808850e+00,-7.3786022465395e-03,-2.2736262463887e+00,-2.7547252906043e+00; (((IP_wtd_range-2.273626e+00) / (density-2.754725e+00)) - (2.451693e+01*((EA_range-1.658449e+00) * (lambda4w_low-7.378602e-03)))); $\left(\left(\frac{ IP_{wtd, range} -2.274e+00 }{ density-2.755e+00 } \right) - \left(2.452e+01\left(\left(EA_{range}-1.658e+00\right) * \left(lambda4w_{low}-7.379e-03\right)\right)\right)\right)$; (((IP_wtd_range-2.273626e+00) ./ (density-2.754725e+00)) - (2.451693e+01.*((EA_range-1.658449e+00) .* (lambda4w_low-7.378602e-03)))); (((newdata$IP_wtd_range-2.273626e+00) / (newdata$density-2.754725e+00)) - (2.451693e+01*((newdata$EA_range-1.658449e+00) * (newdata$lambda4w_low-7.378602e-03)))); IP_wtd_range,density,EA_range,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
C8Cs1       ,  6.750000000000000e-02, -1.097958094805846e-01, -4.052931121545174e+03, -3.156749815441545e+00
Se2Ta1      ,  1.250000000000000e-01,  4.646186454069108e-01,  9.818700385404463e+01, -2.295075360508005e+00
Ti1         ,  1.620000000000000e-01,  1.969255933136395e+00, -2.847417896749751e+03, -1.345670982521884e+00
B1Mo1       ,  2.500000000000000e-01,  3.250294427756837e+00, -3.880321772156267e+03, -3.977801044199405e-01
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.392207492715044e+00, -4.168032543514370e+03, -3.091708695875718e-01
Pt1Te1      ,  5.900000000000000e-01,  3.249156902360805e+00, -3.684462821986423e+03, -3.801747095587312e-01
Sb1V3       ,  6.500000000000000e-01,  3.130600859252823e+00, -3.575668749109724e+03, -4.666497008538970e-01
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.203064347400378e+00, -3.688450134168852e+03, -4.181745540390124e-01
Rh1Te2      ,  7.550000000000000e-01,  3.141653934973738e+00, -3.028065896533476e+03, -4.058087797917987e-01
Zr1         ,  9.966666670000000e-01,  2.707154729333993e+00, -2.946228123176106e+03, -7.527196686466002e-01
Be2Ta3      ,  1.000000000000000e+00,  3.344339592500619e+00, -4.493566889749518e+03, -3.790474128518637e-01
C1Si1       ,  1.075000000000000e+00,  2.885547395963265e+00, -3.273902621463709e+03, -6.381160862441126e-01
Nb3Sb1      ,  1.100000000000000e+00,  3.204214213903760e+00, -3.292269268629506e+03, -3.797458892462579e-01
Nb1O1       ,  1.380000000000000e+00,  3.834868859882959e+00, -3.665457067422513e+03,  9.970458585919723e-02
Sb1         ,  1.416666667000000e+00,  3.393793964754689e+00, -3.801770634316713e+03, -2.732170238030925e-01
Sb1Sn1      ,  1.430000000000000e+00,  3.040778306496529e+00, -3.064342581502417e+03, -4.915801954361901e-01
S2Ta1       ,  1.488116666500000e+00,  2.226952322032953e+00,  1.394583342530912e+03, -7.339139352675079e-01
B2C2Y1      ,  1.800000000000000e+00,  3.223601463378963e+00, -3.612822613652287e+03, -3.942548263026300e-01
Re2Y1       ,  1.830000000000000e+00,  3.280726614455576e+00, -3.816959047497048e+03, -3.669442386556366e-01
S1Y1        ,  1.900000000000000e+00,  3.602866769661647e+00, -3.581284596682826e+03, -8.169937816635718e-02
Ga2Pt1      ,  1.900000000000000e+00,  3.655114953683512e+00, -4.239423572858968e+03, -1.013312521281637e-01
Mo0.5Rh0.5  ,  1.940000000000000e+00,  3.159302806311235e+00, -2.993470491920878e+03, -3.881293670378292e-01
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.342212289695320e+00, -3.085306190875834e+03, -2.475218534613695e-01
Be2Nb1      ,  2.150000000000000e+00,  3.059533876516831e+00, -3.714546647625258e+03, -5.377991686747593e-01
