# FEAT_ID     Feature Postfix Expression (RPN)
0             14|1|add:6.3958682868985e+01,0.0000000000000e+00
1             42|7|div
2             1
3             41|7|div
4             1|19|div
5             22|1|mult:-1.9332681191389e+00,-1.2739619599078e-02
6             40|7|div
7             1|20|div
8             1|26|div
9             1|34|mult:-1.5876458266277e-02,-7.3347558699694e-01
10            1|13|div
11            1|6|mult:-1.6896780142964e-02,-3.7320918945539e+01
12            1|14|div
13            14|7|div
14            1|13|mult:-1.0233206994113e-02,-1.3310609186035e+00
15            1|25|div
16            1|4|div
17            4|1|mult:-4.2468723814149e+00,-1.3973809095717e-02
18            7|inv
19            13|7|div
20            21|1|mult:-4.8764284573456e+00,-1.1943680294575e-02
21            1|24|mult:-1.3915034336642e-02,-2.5470675839357e+00
22            5|1|mult:-1.1793733775829e+01,-2.0058949185281e-02
23            1|0|mult
24            2|3|div
25            1|5|div
26            1|8|div
27            1|sq
28            1|7|div
29            1|cb
#-----------------------------------------------------------------------
30            0|cbrt
31            0|1|mult:-4.2527196230351e-01,4.2057283181973e-03
32            0|3|div
33            1|3|div
34            3|log
35            2|30|mult:-1.1698340963164e-01,-4.5248547183909e-01
36            0|cos
37            0|nexp
38            26|0|div
39            0|inv
40            25|0|div
41            3|nexp
42            19|0|div
43            20|0|div
44            3|36|mult:-3.5847831794705e-01,-7.8614211808544e-01
45            36|3|mult:-7.8613625640954e-01,-3.6029308088848e-01
46            3|38|mult:1.2192590660045e-01,-2.1308597784405e+01
47            34|3|mult:-7.4122593738436e-01,-2.7261132785567e-01
48            33|3|mult:-1.6453511626821e+00,-1.9076307667844e+00
49            2|0|mult:-1.9394188611805e+00,-2.9869538301970e-01
50            0|2|mult:-3.0568760570725e-01,-1.9363074532397e+00
51            3|27|mult:-2.1450290206225e+00,-1.0236245099728e+00
52            0|33|mult:-1.0329982884359e+00,-1.8315237284381e+00
53            3|0|mult:9.4596537696442e+01,-8.9007876382836e+00
54            35|3|mult:-8.2442338372058e-01,-1.5445763112315e+00
55            29|3|mult:-5.0657883465598e-01,-3.1120013600767e+00
56            30|3|mult:-4.8403066901734e-01,-2.0126778440742e+00
57            29|2|mult:-5.1079345079750e-01,-4.2531336709508e-02
58            28|3|mult:-4.4826271930007e-01,-3.1708304919666e+00
59            2|28|mult:-4.3758845919970e-02,-4.5325352283306e-01
#-----------------------------------------------------------------------
60            20|3|div
61            30|8|add:3.0869791457125e-03,0.0000000000000e+00
62            31|8|div
63            21|8|div
64            13|0|div
65            24|8|div
66            22|8|div
67            18|0|div
68            8|28|mult:-3.9965352463624e+04,-9.3614356233802e+01
69            22|0|div
70            28|8|mult:-9.8087053678653e+01,-3.7680731728038e+04
71            1|0|div
72            29|0|div
73            18|3|div
74            27|0|div
75            24|0|div
76            17|0|div
77            28|3|div
78            15|0|div
79            17|3|div
80            23|0|div
81            22|3|div
82            15|3|div
83            30|3|div
84            21|0|div
85            29|3|div
86            24|3|div
87            23|3|div
88            27|3|div
89            21|3|div
#-----------------------------------------------------------------------
90            40|37|abd
91            37|sq
92            37|4|add:3.1328158304490e+01,0.0000000000000e+00
93            37|26|mult
94            26|5|mult
95            19|18|mult:-4.7493005561816e+00,-3.9151778098220e-01
96            38|5|mult
97            16|sp
98            42|37|sub
99            37|7|mult
100           37|25|mult
101           25|5|mult
102           39|1|div
103           41|37|sub
104           5|4|mult:-1.7196311299489e+01,-6.2051011371546e+00
105           32|7|div
106           16|19|mult:-3.5940333934149e-01,-4.4926616796722e+00
107           5|1|mult
108           31|1|mult
109           37|4|mult
110           42|37|abd
111           40|8|mult:-9.3022303381912e+01,-1.4148551903244e+02
112           41|37|abd
113           37|32|mult:2.4650950109747e+02,-4.9215079328333e+00
114           32|37|mult:-4.5907808796295e+00,2.1954070032848e+02
115           8|1|mult
116           8|40|mult:-1.0837634310539e+02,-6.2560625550683e+01
117           37|5|mult
118           9|4|mult:-6.1301139100127e+01,-5.0114544933844e+00
119           31|7|div
#-----------------------------------------------------------------------
120           1|37|mult:2.6537764461370e-03,-1.0118761903703e+02
121           37|23|mult:8.7355107251215e+01,1.1552034819415e+01
122           37|21|add:3.1152586798582e+00,0.0000000000000e+00
123           39|37|add:1.0411379889026e+01,0.0000000000000e+00
124           37|7|add:7.2493892010765e-02,0.0000000000000e+00
125           41|37|add:3.5469887514842e+00,0.0000000000000e+00
126           42|37|add:3.2226115433808e+00,0.0000000000000e+00
127           38|4|mult
128           32|4|div
129           39|38|abd
130           37|13|add:6.0755243206986e+00,0.0000000000000e+00
131           37|33|mult:1.4253302433248e+02,-2.7274944083699e+01
132           33|37|mult:-3.5243261883485e+01,1.7718953836412e+02
133           37
134           37|34|mult:1.7864623771853e+02,-6.7158516571416e+01
135           5|37|mult:-2.7354469199917e+01,-5.8992988861250e+01
136           37|36|mult:1.8883884375242e+03,-8.5744528273669e+01
137           36|37|mult:-1.0032691932867e+02,2.2258180662179e+03
138           34|37|mult:-1.0038302684941e+01,1.6801645640321e+02
139           37|14|div
140           37|19|mult
141           38|37|mult:3.7148853598252e+02,-1.3845267960891e+02
142           37|38|mult:-1.3953369436019e+02,3.7498290465401e+02
143           39|37|mult:2.0628213052374e+02,-9.6247291464670e+01
144           37|39|mult:-9.6538015202281e+01,2.0548689654563e+02
145           14|37|mult:-2.2141646368520e+00,-6.8282213798550e+01
146           37|14|mult:-6.8259461183986e+01,-2.2142074601656e+00
147           37|20|mult
148           12|10|abd
149           37|cb
#-----------------------------------------------------------------------
