# c0 + a0 * ((((lambda-3.318896e+00) * (IP_wtd_range+2.284308e+00))+8.643745e+00) * ((sin(5.108139e+01*PE_mean+1.248713e+00))+5.194170e-01)) + a1 * ((((lambda-4.097687e+00) * (at_mass_wtd_mean-3.676087e+02))-8.548847e+02) * (((IP_mean-1.538610e+02) * (density+6.729362e+02))+9.884435e+04)) + a2 * ((((IP_wtd_range-2.454990e+01) * (L_avg-8.869396e-01))+8.460896e+01) * (((at_mass_std+2.672114e+00) / (V_molar+5.702585e+00))-1.321012e+00)) + a3 * ((((ThermalCond_wtd_mean+2.328967e+01)^3)-1.736934e+06) * (((at_rad_wtd_std-4.990270e-01) / (IP_mean-9.305116e+00))+9.055574e-02)) + a4 * ((((at_rad_wtd_mean+2.400810e+01) * (lambda-2.759969e+00))+5.464510e+01) * (((EA_wtd_range-5.633469e+00) / (w_log-6.231808e-02))-8.671792e+01))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.04817614759467; Max AE: 2.48442862882005
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all , -3.499977580189877e-01,  3.745309548070003e-06,  4.637657715980260e-02,  1.491869300642881e-06,  1.109406780683815e-02,  2.629285375213913e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; eV;                                               0|22|mult|25|sin|mult:8.6437449779712e+00,5.1941699413896e-01,5.1081390266346e+01,1.2487128678040e+00,-3.3188960409415e+00,2.2843080493720e+00; ((((lambda-3.318896e+00) * (IP_wtd_range+2.284308e+00))+8.643745e+00) * ((sin(5.108139e+01*PE_mean+1.248713e+00))+5.194170e-01)); $\left(\left(\left(\left(lambda-3.319e+00\right) * \left(IP_{wtd, range}+2.284e+00\right)\right)+8.644e+00\right) * \left(\left(\sin{ \left(5.108e+01PE_{mean}+1.249e+00 \right)}\right)+5.194e-01\right)\right)$; ((((lambda-3.318896e+00) .* (IP_wtd_range+2.284308e+00))+8.643745e+00) .* (sin(5.108139e+01.*PE_mean+1.248713e+00)+5.194170e-01)); ((((newdata$lambda-3.318896e+00) * (newdata$IP_wtd_range+2.284308e+00))+8.643745e+00) * (sin(5.108139e+01*newdata$PE_mean+1.248713e+00)+5.194170e-01)); lambda,IP_wtd_range,PE_mean
# 1;  2; cm^-3 * eV * g^2 * mol^-1;                        0|8|mult|19|5|mult|mult:-8.5488472981851e+02,9.8844346209589e+04,-1.5386097365642e+02,6.7293619254340e+02,-4.0976866486435e+00,-3.6760874433009e+02; ((((lambda-4.097687e+00) * (at_mass_wtd_mean-3.676087e+02))-8.548847e+02) * (((IP_mean-1.538610e+02) * (density+6.729362e+02))+9.884435e+04)); $\left(\left(\left(\left(lambda-4.098e+00\right) * \left(at_{mass, wtd, mean}-3.676e+02\right)\right)-8.549e+02\right) * \left(\left(\left(IP_{mean}-1.539e+02\right) * \left(density+6.729e+02\right)\right)+9.884e+04\right)\right)$; ((((lambda-4.097687e+00) .* (at_mass_wtd_mean-3.676087e+02))-8.548847e+02) .* (((IP_mean-1.538610e+02) .* (density+6.729362e+02))+9.884435e+04)); ((((newdata$lambda-4.097687e+00) * (newdata$at_mass_wtd_mean-3.676087e+02))-8.548847e+02) * (((newdata$IP_mean-1.538610e+02) * (newdata$density+6.729362e+02))+9.884435e+04)); lambda,at_mass_wtd_mean,IP_mean,density
# 2;  2; AA * cm^-3 * eV * g;                              22|4|mult|11|6|div|mult:8.4608957806676e+01,-1.3210116856611e+00,2.6721135521319e+00,5.7025853879951e+00,-2.4549904135046e+01,-8.8693960747906e-01; ((((IP_wtd_range-2.454990e+01) * (L_avg-8.869396e-01))+8.460896e+01) * (((at_mass_std+2.672114e+00) / (V_molar+5.702585e+00))-1.321012e+00)); $\left(\left(\left(\left(IP_{wtd, range}-2.455e+01\right) * \left(L_{avg}-8.869e-01\right)\right)+8.461e+01\right) * \left(\left(\frac{ at_{mass, std} +2.672e+00 }{ V_{molar}+5.703e+00 } \right)-1.321e+00\right)\right)$; ((((IP_wtd_range-2.454990e+01) .* (L_avg-8.869396e-01))+8.460896e+01) .* (((at_mass_std+2.672114e+00) ./ (V_molar+5.702585e+00))-1.321012e+00)); ((((newdata$IP_wtd_range-2.454990e+01) * (newdata$L_avg-8.869396e-01))+8.460896e+01) * (((newdata$at_mass_std+2.672114e+00) / (newdata$V_molar+5.702585e+00))-1.321012e+00)); IP_wtd_range,L_avg,at_mass_std,V_molar
# 3;  2; AA * W^3 * eV^-1 * mK^-3;                         38|cb|18|19|div|mult:-1.7369342131822e+06,9.0555737354623e-02,-4.9902699935714e-01,-9.3051156963799e+00,1.0000000000000e+00,2.3289672370533e+01; ((((ThermalCond_wtd_mean+2.328967e+01)^3)-1.736934e+06) * (((at_rad_wtd_std-4.990270e-01) / (IP_mean-9.305116e+00))+9.055574e-02)); $\left(\left(\left(\left(ThermalCond_{wtd, mean}+2.329e+01\right)^3\right)-1.737e+06\right) * \left(\left(\frac{ at_{rad, wtd, std} -4.990e-01 }{ IP_{mean}-9.305e+00 } \right)+9.056e-02\right)\right)$; (((ThermalCond_wtd_mean+2.328967e+01).^3-1.736934e+06) .* (((at_rad_wtd_std-4.990270e-01) ./ (IP_mean-9.305116e+00))+9.055574e-02)); (((newdata$ThermalCond_wtd_mean+2.328967e+01)^3-1.736934e+06) * (((newdata$at_rad_wtd_std-4.990270e-01) / (newdata$IP_mean-9.305116e+00))+9.055574e-02)); ThermalCond_wtd_mean,at_rad_wtd_std,IP_mean
# 4;  2; AA;                                               14|0|mult|34|1|div|mult:5.4645104340802e+01,-8.6717916021052e+01,-5.6334694123601e+00,-6.2318077900055e-02,2.4008103803329e+01,-2.7599687679685e+00; ((((at_rad_wtd_mean+2.400810e+01) * (lambda-2.759969e+00))+5.464510e+01) * (((EA_wtd_range-5.633469e+00) / (w_log-6.231808e-02))-8.671792e+01)); $\left(\left(\left(\left(at_{rad, wtd, mean}+2.401e+01\right) * \left(lambda-2.760e+00\right)\right)+5.465e+01\right) * \left(\left(\frac{ EA_{wtd, range} -5.633e+00 }{ w_{log}-6.232e-02 } \right)-8.672e+01\right)\right)$; ((((at_rad_wtd_mean+2.400810e+01) .* (lambda-2.759969e+00))+5.464510e+01) .* (((EA_wtd_range-5.633469e+00) ./ (w_log-6.231808e-02))-8.671792e+01)); ((((newdata$at_rad_wtd_mean+2.400810e+01) * (newdata$lambda-2.759969e+00))+5.464510e+01) * (((newdata$EA_wtd_range-5.633469e+00) / (newdata$w_log-6.231808e-02))-8.671792e+01)); at_rad_wtd_mean,lambda,EA_wtd_range,w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
C8Cs1       ,  6.750000000000000e-02,  6.735921767577154e-01,  9.789825551371208e-01, -1.498728141975819e+04,  9.109874201250548e+00,  1.200561009841911e+05, -1.945645477946870e+02
Se2Ta1      ,  1.250000000000000e-01,  4.624062751542735e-01, -4.178391419449978e+00,  2.931881880568703e+04,  5.838538190245711e+00, -1.052889599602352e+06, -2.198573660932579e+02
Ti1         ,  1.620000000000000e-01, -8.804807908023716e-01, -1.013000186199719e+00, -2.402124792131073e+05, -1.105568921707663e+01, -4.802558415913414e+05, -1.564295376373860e+02
B1Mo1       ,  2.500000000000000e-01,  1.668362785786378e+00,  1.119034512658959e+00, -1.978411807084655e+05,  1.122443697888720e+01, -9.817156496427454e+04, -1.824203555686426e+01
Al1Hf1Ni2   ,  3.700000000000000e-01,  1.570630980491447e+00,  1.100259994371975e+00, -2.347706057666411e+05,  1.710164186317278e+00,  1.265303608950627e+05, -5.620624960770414e+00
Pt1Te1      ,  5.900000000000000e-01, -3.173270990055985e-01,  1.541385676275477e+00,  7.954526317339196e+04,  1.418339950103490e+00, -2.442889808636363e+06,  7.874857054119427e+01
Sb1V3       ,  6.500000000000000e-01,  2.234877750286015e-02,  3.322836604264331e-01, -1.450786913022836e+05,  3.955439279901429e+00, -5.777584573926958e+05, -1.143650016445530e+02
Al1Ni2Zr1   ,  6.899999999999999e-01,  2.335092022413016e+00,  2.021115803419826e+00, -1.593749756500896e+05, -2.058334569791656e+00,  1.240084404765527e+05,  8.297726386530138e+01
Rh1Te2      ,  7.550000000000000e-01,  2.246340893035589e+00, -1.459837257011661e-01, -3.668781275714574e+04,  4.789319963444665e+01, -7.061909834377510e+05, -1.319812794236304e+02
Zr1         ,  9.966666670000000e-01,  7.151273857801029e-01,  1.559029541679861e+00, -1.066198452640677e+05, -1.468202021645701e+01, -4.548085698681870e+05,  3.517555261075432e+01
Be2Ta3      ,  1.000000000000000e+00, -1.019153830213889e-01,  4.328533268866527e-02, -8.400016968419288e+04, -1.291228002931780e+01,  1.835378918953286e+05, -1.871659325298430e+02
C1Si1       ,  1.075000000000000e+00,  2.487086152976067e+00, -2.672588927740835e+00,  4.522141576151787e+05, -2.498686320339153e+01, -2.060833429414126e+06,  1.317837590799484e+02
Nb3Sb1      ,  1.100000000000000e+00,  2.851176169888554e+00,  5.245833784549271e-01, -5.514583421428735e+04,  1.852462189018679e+01, -4.664722727019646e+05,  4.045757922707592e+01
Nb1O1       ,  1.380000000000000e+00,  1.786180499478541e+00,  2.961931045331924e+00,  2.956019824239088e+05,  1.015965635375680e+01, -1.293144340147757e+05, -1.074273612694950e+02
Sb1         ,  1.416666667000000e+00,  1.794802781842814e+00, -8.274986724030072e-01, -1.154232077634588e+04, -3.760323303857590e+01, -1.371563981606819e+06,  2.442050809859902e+02
Sb1Sn1      ,  1.430000000000000e+00,  2.367042161712161e+00,  7.505405576534248e-01,  1.881056327954292e+04, -3.626767952745084e+00, -6.655303369801703e+05,  9.834754013669486e+01
S2Ta1       ,  1.488116666500000e+00,  1.459813387346120e+00, -2.129258549345623e+00, -1.166567744989794e+05, -2.504192918157535e+01, -1.926288001563187e+06,  2.305139074477938e+02
B2C2Y1      ,  1.800000000000000e+00, -2.919319328919862e-01, -5.053716943212246e-01,  1.674022232101174e+05,  6.169257671607096e-01, -1.480109962459141e+05, -3.184465174126436e+02
Re2Y1       ,  1.830000000000000e+00,  2.024891406277550e+00, -3.465299345329274e-02,  1.865571989235299e+05, -6.563263430693399e-01, -3.476014603323005e+05, -6.906599038912576e+01
S1Y1        ,  1.900000000000000e+00,  2.124165366609518e+00,  7.510292476552464e-01,  3.081861348792952e+04, -5.173486960203523e+00, -2.784183846334359e+05,  2.682566575876563e+01
Ga2Pt1      ,  1.900000000000000e+00,  2.139282603301242e+00,  1.914123652635791e-01,  4.992601393738104e+03,  3.620097603325552e+00, -4.722487111028573e+05,  8.557538074030642e+00
Mo0.5Rh0.5  ,  1.940000000000000e+00,  1.985671806880985e+00,  2.982501434375436e+00, -1.198767689748221e+05, -1.026390551451793e+01,  9.165819302135141e+05, -3.802463034208122e+00
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.469653323300722e+00,  1.987035720342128e-01, -1.278556883497242e+04,  5.673488426974738e-01, -1.305788047313480e+05,  1.138396490418834e+01
Be2Nb1      ,  2.150000000000000e+00,  2.302422562617519e+00, -1.090390898645322e+00, -2.507527856643577e+04, -7.134532796261996e-01,  6.953430499069031e+05, -1.459208613951639e+02
In1Te1      ,  2.206000000000000e+00,  1.709276298475225e+00, -2.473131181673978e-01,  5.093668307255473e+04, -5.703469087601531e+00, -4.962593605741690e+05, -1.734983804128246e+01
C2Cl2Y2     ,  2.300000000000000e+00,  1.371298983823242e+00, -2.608102761706451e-01,  1.284693607304941e+04,  1.132442886585977e+01, -1.156576625205131e+05, -1.577444197310242e+02
Be2Nb3      ,  2.300000000000000e+00,  1.848916772773020e+00, -1.479454329838874e+00, -8.631576659176916e+04,  7.948884176487137e+00,  1.212996774265193e+05, -1.374158124891644e+02
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.536909152320710e+00,  1.280555922879111e-01,  1.994932962708359e+05,  8.099921240693537e-01, -1.499089865627551e+05,  3.527639811897853e+01
As1Pt1Sr1   ,  2.425000000000000e+00,  2.347659154285063e+00,  3.733581711426714e-01,  9.679833869990289e+03,  3.581451130360417e+00, -3.149358502365635e+05,  1.050489429755289e+01
Bi1Nb3      ,  2.516666667000000e+00,  2.581497247303477e+00,  7.790792619681085e-03,  1.906227605902344e+04,  2.821198298721794e+00, -4.050709844504466e+05,  3.218115838329496e+01
Re1         ,  2.581333333000000e+00,  4.305689450014786e+00, -7.683701890750072e-01,  6.265653706242405e+05, -2.843661202813047e+01, -6.058268809324072e+05,  1.156836469368968e+02
Hf1In1Pd2   ,  2.630000000000000e+00,  2.936082702799232e+00,  4.022692634618671e-02,  7.509197994610689e+04,  1.583486088626388e+00, -2.666275882086901e+05,  3.280769572192812e+01
Nb3Rh1      ,  2.742333333000000e+00,  2.378235201248723e+00,  5.790423451800571e-01, -1.267076653174908e+05,  2.055763747730935e+01, -1.914554876649031e+05, -2.177682010206836e+01
Ga1Ni2Zr1   ,  2.870000000000000e+00,  3.395324898927723e+00, -4.089092062606259e-01,  3.895070973479126e+04, -3.529134523824009e+00, -2.365426694749846e+05,  8.956134908751042e+01
B1Hf1       ,  3.100000000000000e+00,  1.923525979382610e+00,  1.256572643458036e-02, -1.807439460020780e+05,  6.442610189229336e+01, -1.881071439801712e+05, -2.462262041996693e+02
Pt0.25V0.75 ,  3.102500000000000e+00,  4.963498530975455e+00,  1.521268215302882e+00, -1.419594244077572e+04, -4.515804242930979e+00, -5.639524130828392e+05,  3.579023244112145e+02
