# c0 + a0 * (w_log / lambda) + a1 * ((lambda4w_low-4.292665e-02) * (PE_wtd_range-4.532682e-01)) + a2 * (w_log^3)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.50822046775568; Max AE: 8.5732677006156
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -1.131327539204024e+02, -1.041576542534046e+02,  1.879301563109773e+05,  5.601295273807284e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; eV;                                               1|0|div; (w_log / lambda); $\left(\frac{ w_{log} }{ lambda } \right)$; (w_log ./ lambda); (newdata$w_log / newdata$lambda); w_log,lambda
# 1;  1; eV;                                               2|28|mult:-4.2926652806049e-02,-4.5326818406669e-01; ((lambda4w_low-4.292665e-02) * (PE_wtd_range-4.532682e-01)); $\left(\left(lambda4w_{low}-4.293e-02\right) * \left(PE_{wtd, range}-4.533e-01\right)\right)$; ((lambda4w_low-4.292665e-02) .* (PE_wtd_range-4.532682e-01)); ((newdata$lambda4w_low-4.292665e-02) * (newdata$PE_wtd_range-4.532682e-01)); lambda4w_low,PE_wtd_range
# 2;  1; eV^3;                                             1|cb; (w_log^3); $\left(w_{log}^3\right)$; (w_log).^3; (newdata$w_log)^3; w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
C8Cs1       ,  6.750000000000000e-02,  1.894387088372006e+00,  5.850279329608938e-02,  4.420842191525971e-03,  1.794357303199999e-05
Se2Ta1      ,  1.250000000000000e-01,  2.664835325103734e+00,  1.003693243536824e-03,  2.728019743759822e-02,  9.861112800000000e-08
Ti1         ,  1.620000000000000e-01,  5.756993246877931e-01,  4.070939137444579e-02,  1.890429878089780e-02,  8.242407999999999e-06
B1Mo1       ,  2.500000000000000e-01,  2.951766297902669e+00,  5.001718803712616e-02,  1.557210374415415e-02,  2.464217100000000e-05
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.768605056053231e+00,  1.857942024071876e-02,  9.391200767274364e-03,  1.316532736000000e-06
Pt1Te1      ,  5.900000000000000e-01,  3.125479890677627e+00,  9.401080019636722e-03,  1.436967343261002e-02,  4.494550960000001e-07
Sb1V3       ,  6.500000000000000e-01,  1.435406905198665e+00,  4.013221854948473e-02,  1.227043196345045e-02,  8.792838143999999e-06
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.724155871445515e+00,  9.591494124230554e-03,  8.739778063124287e-03,  6.294227929999998e-07
Rh1Te2      ,  7.550000000000000e-01,  8.539081906723962e-03,  3.766355140186916e-02,  1.597462887704660e-02,  1.767172329000000e-06
Zr1         ,  9.966666670000000e-01,  2.007233131900835e+00,  1.849970980847359e-02,  1.815187359534709e-02,  2.072671874999999e-06
