# c0 + a0 * (((wtd_std_PE-5.886568e+01) * (bulk_mod+1.286928e+03)) + 6.947910e+00*((mean_ThermalCond-6.381147e+01) / (mean_PE-2.016785e+00))) + a1 * (((L_avg+1.951053e+00)^6) - (9.333779e+02*((std_ThermalCond-1.037274e+01) / (wtd_mean_at_rad-1.129620e+00)))) + a2 * (((mean_IP+6.847818e+01) / (lambda3-4.781981e-02)) - (5.713813e+00*((bulk_mod-1.328682e+02) / (mean_IP-7.049704e+00)))) + a3 * (((wtd_mean_IP+1.343292e+00) * (lambda+9.441798e+00)) - (1.937782e+00*((wtd_mean_at_rad-1.415355e+00) / (wtd_mean_EA-1.811332e-01))))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.22929834820192; Max AE: 2.84345645891189
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  1.511126978513388e-04,  3.847029842941161e-06, -1.260011955864924e-04,  1.530029798796316e-01,  2.330722008928185e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; GPa;                                              37|1|mult|38|32|div|add:6.9479100506052e+00,0.0000000000000e+00,-6.3811470441827e+01,-2.0167854018465e+00,-5.8865675719414e+01,1.2869280654462e+03; (((wtd_std_PE-5.886568e+01) * (bulk_mod+1.286928e+03)) + 6.947910e+00*((mean_ThermalCond-6.381147e+01) / (mean_PE-2.016785e+00))); $\left(\left(\left(wtd_{std, PE}-5.887e+01\right) * \left(bulk_{mod}+1.287e+03\right)\right) + 6.95\left(\frac{ mean_{ThermalCond} -6.381e+01 }{ mean_{PE}-2.017e+00 } \right)\right)$; (((wtd_std_PE-5.886568e+01) .* (bulk_mod+1.286928e+03)) + (6.947910e+00.*((mean_ThermalCond-6.381147e+01) ./ (mean_PE-2.016785e+00)))); (((newdata$wtd_std_PE-5.886568e+01) * (newdata$bulk_mod+1.286928e+03)) + (6.947910e+00*((newdata$mean_ThermalCond-6.381147e+01) / (newdata$mean_PE-2.016785e+00)))); wtd_std_PE,bulk_mod,mean_ThermalCond,mean_PE
# 1;  2; AA^6;                                             0|sp|42|15|div|sub:9.3337790559908e+02,0.0000000000000e+00,-1.0372741935004e+01,-1.1296201368310e+00,1.0000000000000e+00,1.9510530177022e+00; (((L_avg+1.951053e+00)^6) - (9.333779e+02*((std_ThermalCond-1.037274e+01) / (wtd_mean_at_rad-1.129620e+00)))); $\left(\left(\left(L_{avg}+1.951e+00\right)^6\right) - \left(9.334e+02\left(\frac{ std_{ThermalCond} -1.037e+01 }{ wtd_{mean, at, rad}-1.130e+00 } \right)\right)\right)$; ((L_avg+1.951053e+00).^6 - (9.333779e+02.*((std_ThermalCond-1.037274e+01) ./ (wtd_mean_at_rad-1.129620e+00)))); ((newdata$L_avg+1.951053e+00)^6 - (9.333779e+02*((newdata$std_ThermalCond-1.037274e+01) / (newdata$wtd_mean_at_rad-1.129620e+00)))); L_avg,std_ThermalCond,wtd_mean_at_rad
# 2;  2; eV;                                               20|7|div|1|20|div|sub:5.7138131598946e+00,0.0000000000000e+00,-1.3286821357999e+02,-7.0497036998326e+00,6.8478182329822e+01,-4.7819809110386e-02; (((mean_IP+6.847818e+01) / (lambda3-4.781981e-02)) - (5.713813e+00*((bulk_mod-1.328682e+02) / (mean_IP-7.049704e+00)))); $\left(\left(\frac{ mean_{IP} +6.848e+01 }{ lambda3-4.782e-02 } \right) - \left(5.714e+00\left(\frac{ bulk_{mod} -1.329e+02 }{ mean_{IP}-7.050e+00 } \right)\right)\right)$; (((mean_IP+6.847818e+01) ./ (lambda3-4.781981e-02)) - (5.713813e+00.*((bulk_mod-1.328682e+02) ./ (mean_IP-7.049704e+00)))); (((newdata$mean_IP+6.847818e+01) / (newdata$lambda3-4.781981e-02)) - (5.713813e+00*((newdata$bulk_mod-1.328682e+02) / (newdata$mean_IP-7.049704e+00)))); mean_IP,lambda3,bulk_mod,mean_IP
# 3;  2; eV;                                               21|5|mult|15|27|div|sub:1.9377817334674e+00,0.0000000000000e+00,-1.4153554700825e+00,-1.8113320755597e-01,1.3432917029369e+00,9.4417984739946e+00; (((wtd_mean_IP+1.343292e+00) * (lambda+9.441798e+00)) - (1.937782e+00*((wtd_mean_at_rad-1.415355e+00) / (wtd_mean_EA-1.811332e-01)))); $\left(\left(\left(wtd_{mean, IP}+1.343e+00\right) * \left(lambda+9.442e+00\right)\right) - \left(1.938e+00\left(\frac{ wtd_{mean, at, rad} -1.415e+00 }{ wtd_{mean, EA}-1.811e-01 } \right)\right)\right)$; (((wtd_mean_IP+1.343292e+00) .* (lambda+9.441798e+00)) - (1.937782e+00.*((wtd_mean_at_rad-1.415355e+00) ./ (wtd_mean_EA-1.811332e-01)))); (((newdata$wtd_mean_IP+1.343292e+00) * (newdata$lambda+9.441798e+00)) - (1.937782e+00*((newdata$wtd_mean_at_rad-1.415355e+00) / (newdata$wtd_mean_EA-1.811332e-01)))); wtd_mean_IP,lambda,wtd_mean_at_rad,wtd_mean_EA
# Number of Samples Per Task
# Task, n_samples               
# all , 52                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
Rh1V3       ,  1.900000000000000e-01,  1.900096478660007e+00, -9.124420392387510e+04, -3.242966232485058e+04, -7.919330302427463e+03,  8.159609107089223e+01
B1Mo1       ,  2.500000000000000e-01,  1.765445647462052e-01, -9.204874023271016e+04, -6.007373261911379e+05, -7.032897317599310e+02,  9.135766579041162e+01
Cr3Ir1      ,  2.560000000000000e-01,  2.536971421195083e+00, -9.652293031170801e+04,  1.777279118779635e+04, -9.254121293576176e+02,  9.546947605122629e+01
Al1Os1      ,  3.900000000000000e-01,  3.332733011793492e-01, -9.510486933742894e+04, -2.892337271221353e+05, -1.311724012019789e+03,  8.706704061018415e+01
Al1Mo3      ,  5.800000000000000e-01,  1.094343965558756e+00, -9.507691315072739e+04,  9.032385735179996e+02, -7.491870093884102e+03,  7.962911206725219e+01
Sb1V3       ,  6.500000000000000e-01,  3.493456458911888e+00, -8.422736239616973e+04,  1.218711952916062e+05, -1.994877161393733e+02,  8.755764501508658e+01
Ti1O1       ,  7.200000000000000e-01,  3.604274307318741e-01, -8.950827596187031e+04, -1.496891192972406e+06, -1.919851278949304e+03,  1.115809903203170e+02
Ga1Mo3      ,  7.600000000000000e-01, -2.069270924356844e-01, -9.352166735971377e+04, -1.806238732948156e+04,  4.822953838101750e+03,  8.020658724113002e+01
B2Ru1       ,  8.000000000000000e-01,  2.339744374509765e+00, -9.172390336902071e+04,  4.448895695526235e+05,  1.714588362675669e+04,  9.358358417509469e+01
La1Se1      ,  1.020000000000000e+00,  1.034075260750050e+00, -7.491305294063668e+04,  2.799756330191071e+05,  3.581483140697981e+04,  8.796759225236939e+01
Al1Nb1Ni2   ,  1.075000000000000e+00,  1.666646423438039e+00, -8.774073127660563e+04, -6.635387743011996e+04,  1.351229933984980e+03,  8.509759073498458e+01
Co1Si2      ,  1.306666667000000e+00,  2.606596759995814e+00, -8.918432487647347e+04, -3.028476224814606e+05, -6.194460172432337e+03,  9.239893990387827e+01
Nb1O1       ,  1.380000000000000e+00,  3.486647869619405e+00, -8.945225655068269e+04, -7.040449732680277e+05,  1.358045377216794e+03,  1.147225698145800e+02
Cr1         ,  1.550000000000000e+00,  3.985896067755121e-01, -9.178600340726391e+04,  5.138489667089651e+04,  4.359178457376675e+03,  8.032183865839946e+01
Hg2Na1      ,  1.620000000000000e+00,  2.199382477931162e+00, -7.683592003796776e+04, -9.890575300166954e+04,  1.235193622793545e+03,  7.853228024690515e+01
Ga2Y1       ,  1.680000000000000e+00,  2.552603382324176e+00, -7.956295417616113e+04,  6.510853747368816e+04, -2.714776472065220e+02,  7.816954311983156e+01
Be2Nb1      ,  2.150000000000000e+00,  2.477024708421329e+00, -8.583309922682555e+04, -5.648990433037546e+05,  1.307840671436707e+03,  1.010094500566910e+02
B1Hf1       ,  3.100000000000000e+00,  2.132493499072196e+00, -8.468213420424693e+04,  1.453439834088839e+05,  4.240014317957978e+03,  8.217762484854296e+01
B1Zr1       ,  3.100000000000000e+00,  3.552290779685182e+00, -8.384623344545496e+04,  1.515689300595237e+05,  1.727072666784932e+03,  8.840561370564218e+01
C1In1Ti2    ,  3.100000000000000e+00,  2.719468888963545e+00, -8.487772103497898e+04, -1.523224632188025e+05, -2.543841662880469e+03,  8.810488707185166e+01
Pt0.25V0.75 ,  3.102500000000000e+00,  3.006415554921551e+00, -8.699164473492029e+04,  7.720654300803518e+04, -4.580986718422325e+02,  8.801461793512537e+01
Sn1         ,  3.740729412000000e+00,  5.074405346400161e+00, -7.829461606604411e+04,  4.199720745811362e+05, -5.118556049830347e+02,  8.427845317967066e+01
B1Ta1       ,  4.000000000000000e+00,  3.526327250545969e+00, -9.158025029602156e+04,  8.628418508187607e+04, -2.978129149393244e+03,  9.364104069478600e+01
B2Nb1       ,  4.597500000000000e+00,  4.015649426289191e+00, -8.924095685149700e+04,  1.458149250213003e+05, -1.116456131100392e+03,  9.456508626150024e+01
Al1Si1Sr1   ,  4.750000000000000e+00,  2.030243336461680e+00, -7.956569734908213e+04, -1.601871790935615e+05, -6.313763991913743e+02,  8.012653869413131e+01
Fe1Li1P1    ,  4.965000000000000e+00,  3.478795096362175e+00, -7.976801371836000e+04, -2.164498434743658e+05, -1.547106849338809e+03,  9.045434636746883e+01
Ga1Si1Sr1   ,  5.000000000000000e+00,  5.703807458078435e+00, -7.840834217543768e+04, -7.874075519193012e+04, -1.049689975516836e+03,  1.006008995681621e+02
Os0.5V0.5   ,  5.150000000000000e+00,  3.732104039778170e+00, -8.618515320197919e+04, -3.120659966809792e+04, -4.110133961727287e+02,  9.472572101689822e+01
Ir1Ti3      ,  5.185000000000000e+00,  4.506002732086933e+00, -8.663656838550976e+04, -5.567190210333341e+03, -2.452192291191124e+02,  9.972149266183659e+01
Ir1Mo1      ,  5.325000000000000e+00,  3.097518145317891e+00, -9.027501560371862e+04,  5.803655094550790e+04,  7.152019803342851e+02,  9.330109299314981e+01
La1         ,  5.343000000000000e+00,  5.113883165938446e+00, -7.699197327981598e+04,  3.869269882412560e+05, -4.065817167511840e+02,  8.416748817006595e+01
