# c0 + a0 * ((((PE_wtd_range-2.709194e-01) / (L_avg-3.502026e+00))-2.366552e-01) * (((IP_wtd_std+1.580306e+00) * (ThermalCond_range-1.964174e+02))+3.903992e+02)) + a1 * ((((at_mass_std+1.111303e+02) / (lambda4w_low-5.308903e-02))+9.307088e+02) * (((at_mass_wtd_range-4.258757e+01) / (V_molar-1.229509e+01))+8.627869e+00)) + a2 * ((((at_mass_wtd_mean-3.539105e+01) / (density-2.716625e+00))-2.608900e+01) * (((lambda4w_low-9.811693e-03) * (EA_wtd_range-7.278042e-01))+1.315097e-02))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.3801844993429; Max AE: 3.69504565788507
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  4.436084357874703e-03, -2.557980216117198e-05,  4.285922365662188e+00,  3.710995180691037e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; AA^-1 * W * eV * mK^-1;                           28|4|div|24|39|mult|mult:-2.3665518915308e-01,3.9039924784343e+02,1.5803061835092e+00,-1.9641738626206e+02,-2.7091938066334e-01,-3.5020260226073e+00; ((((PE_wtd_range-2.709194e-01) / (L_avg-3.502026e+00))-2.366552e-01) * (((IP_wtd_std+1.580306e+00) * (ThermalCond_range-1.964174e+02))+3.903992e+02)); $\left(\left(\left(\frac{ PE_{wtd, range} -2.709e-01 }{ L_{avg}-3.502e+00 } \right)-2.367e-01\right) * \left(\left(\left(IP_{wtd, std}+1.580e+00\right) * \left(ThermalCond_{range}-1.964e+02\right)\right)+3.904e+02\right)\right)$; ((((PE_wtd_range-2.709194e-01) ./ (L_avg-3.502026e+00))-2.366552e-01) .* (((IP_wtd_std+1.580306e+00) .* (ThermalCond_range-1.964174e+02))+3.903992e+02)); ((((newdata$PE_wtd_range-2.709194e-01) / (newdata$L_avg-3.502026e+00))-2.366552e-01) * (((newdata$IP_wtd_std+1.580306e+00) * (newdata$ThermalCond_range-1.964174e+02))+3.903992e+02)); PE_wtd_range,L_avg,IP_wtd_std,ThermalCond_range
# 1;  2; cm^-3 * eV^-1 * g^2 * mol^-1;                     11|2|div|10|6|div|mult:9.3070875152414e+02,8.6278687963176e+00,-4.2587569108509e+01,-1.2295092308330e+01,1.1113033403489e+02,-5.3089031217713e-02; ((((at_mass_std+1.111303e+02) / (lambda4w_low-5.308903e-02))+9.307088e+02) * (((at_mass_wtd_range-4.258757e+01) / (V_molar-1.229509e+01))+8.627869e+00)); $\left(\left(\left(\frac{ at_{mass, std} +1.111e+02 }{ lambda4w_{low}-5.309e-02 } \right)+9.307e+02\right) * \left(\left(\frac{ at_{mass, wtd, range} -4.259e+01 }{ V_{molar}-1.230e+01 } \right)+8.628e+00\right)\right)$; ((((at_mass_std+1.111303e+02) ./ (lambda4w_low-5.308903e-02))+9.307088e+02) .* (((at_mass_wtd_range-4.258757e+01) ./ (V_molar-1.229509e+01))+8.627869e+00)); ((((newdata$at_mass_std+1.111303e+02) / (newdata$lambda4w_low-5.308903e-02))+9.307088e+02) * (((newdata$at_mass_wtd_range-4.258757e+01) / (newdata$V_molar-1.229509e+01))+8.627869e+00)); at_mass_std,lambda4w_low,at_mass_wtd_range,V_molar
# 2;  2; cm^3 * eV^2 * mol^-1;                             8|5|div|2|34|mult|mult:-2.6088995939317e+01,1.3150968323087e-02,-9.8116926094271e-03,-7.2780419145811e-01,-3.5391053445118e+01,-2.7166254255913e+00; ((((at_mass_wtd_mean-3.539105e+01) / (density-2.716625e+00))-2.608900e+01) * (((lambda4w_low-9.811693e-03) * (EA_wtd_range-7.278042e-01))+1.315097e-02)); $\left(\left(\left(\frac{ at_{mass, wtd, mean} -3.539e+01 }{ density-2.717e+00 } \right)-2.609e+01\right) * \left(\left(\left(lambda4w_{low}-9.812e-03\right) * \left(EA_{wtd, range}-7.278e-01\right)\right)+1.315e-02\right)\right)$; ((((at_mass_wtd_mean-3.539105e+01) ./ (density-2.716625e+00))-2.608900e+01) .* (((lambda4w_low-9.811693e-03) .* (EA_wtd_range-7.278042e-01))+1.315097e-02)); ((((newdata$at_mass_wtd_mean-3.539105e+01) / (newdata$density-2.716625e+00))-2.608900e+01) * (((newdata$lambda4w_low-9.811693e-03) * (newdata$EA_wtd_range-7.278042e-01))+1.315097e-02)); at_mass_wtd_mean,density,lambda4w_low,EA_wtd_range
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
C8Cs1       ,  6.750000000000000e-02, -3.468975658701193e-01, -5.879569325552471e+00, -1.971855259463522e+04, -1.058396948965642e+00
Se2Ta1      ,  1.250000000000000e-01, -5.022720766406641e-01, -8.111129487118596e+00,  8.827089233610654e+03, -9.219696647080796e-01
Ti1         ,  1.620000000000000e-01,  2.550220481136328e+00, -6.822670077899629e+01, -3.208581769285593e+04, -3.917159539922985e-01
B1Mo1       ,  2.500000000000000e-01,  2.003461077163705e+00, -1.311029504797381e+02, -1.924747321561860e+04, -3.775842804704869e-01
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.425086558872203e+00, -1.251541362730307e+02, -2.212723088114948e+04, -3.025543612917859e-01
Pt1Te1      ,  5.900000000000000e-01,  2.819830116875218e+00, -7.265429168205951e+01, -1.582850530684206e+04, -2.271983596833540e-01
Sb1V3       ,  6.500000000000000e-01,  2.711926327968148e+00,  2.076571854458631e+01, -1.509165949545880e+04, -3.446700313452665e-01
Al1Ni2Zr1   ,  6.899999999999999e-01,  2.201954345154491e+00, -1.288533160390382e+02, -1.440820471609970e+04, -3.047175311420273e-01
Rh1Te2      ,  7.550000000000000e-01,  2.725753884548634e+00, -8.324553728147912e+01, -1.051051603629228e+04, -2.064465745470017e-01
Zr1         ,  9.966666670000000e-01,  1.524701033226360e+00, -8.554322588152925e+01,  3.335079645594511e+04, -2.225216241875488e-01
Be2Ta3      ,  1.000000000000000e+00,  2.519534014199268e+00, -8.884925055368144e+01, -2.802511186900750e+04, -3.532950632020301e-01
C1Si1       ,  1.075000000000000e+00,  2.290404409668202e+00,  6.207601514580831e+01, -3.593650000016888e+04, -6.101869208206170e-01
Nb3Sb1      ,  1.100000000000000e+00,  2.831893241506299e+00,  2.405462908519362e+00, -1.218883894106678e+04, -2.803505900807192e-01
Nb1O1       ,  1.380000000000000e+00,  1.477202714638163e+00, -2.276140414775389e+02, -1.381080478181623e+04, -3.680316385720255e-01
Sb1         ,  1.416666667000000e+00,  3.579456046253689e+00,  3.032260372459853e+01, -1.889963859825329e+02, -6.320395694587660e-02
Sb1Sn1      ,  1.430000000000000e+00,  3.354680295441608e+00, -2.473351339919414e+01, -9.259897116648175e+03, -1.128021528093990e-01
S2Ta1       ,  1.488116666500000e+00,  1.578650613624900e+00, -1.139151733638359e+00,  2.077683702876116e+04, -3.723408118481205e-01
B2C2Y1      ,  1.800000000000000e+00,  1.979296804236210e+00, -1.968406138531274e+01, -1.475843344323588e+04, -4.717528351725998e-01
S1Y1        ,  1.900000000000000e+00,  2.231111648943428e+00, -2.406310352281598e+02, -1.404634537270129e+04, -1.800608201065096e-01
Ga2Pt1      ,  1.900000000000000e+00,  3.517035354723713e+00,  2.166459928899456e+01, -2.358481051527996e+04, -2.084406871528618e-01
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.153843693029696e+00, -4.425074967835630e+01, -7.376861188001948e+02, -3.219193388146537e-01
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.003997881393965e+00,  2.360985495718029e+00, -1.074440540179849e+04, -2.315278976099498e-01
Be2Nb1      ,  2.150000000000000e+00,  1.914726492219345e+00, -1.055223594451627e+02, -1.619392176176711e+04, -4.065402418788956e-01
In1Te1      ,  2.206000000000000e+00,  3.643328360322204e+00, -5.722178139298780e+00, -1.023092266001161e+04, -7.092702738550391e-02
C2Cl2Y2     ,  2.300000000000000e+00,  3.066933739249284e+00, -5.342942513125228e+00, -3.954322755083337e+04, -3.807506287031518e-01
Be2Nb3      ,  2.300000000000000e+00,  2.385146609124656e+00, -8.126106245108072e+01, -1.706621848570300e+04, -3.270983504643769e-01
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.074245283040030e+00, -7.382184365787256e-02, -1.708576580722651e+04, -2.504648556974510e-01
As1Pt1Sr1   ,  2.425000000000000e+00,  3.661578083085379e+00,  1.538340504883665e+01, -2.074852995786275e+04, -1.512865647697639e-01
Bi1Nb3      ,  2.516666667000000e+00,  2.896055887702223e+00, -3.539888561948425e+01, -2.108647957896944e+04, -2.793552295076790e-01
Re1         ,  2.581333333000000e+00,  3.580435960033820e+00,  9.627476433049671e+01, -2.845623020786876e+04, -2.999463886773495e-01
Hf1In1Pd2   ,  2.630000000000000e+00,  2.857060017839281e+00, -4.534443460942936e+00, -1.510130332647538e+04, -2.846781244535160e-01
Nb3Rh1      ,  2.742333333000000e+00,  2.411385703347471e+00, -4.963167867090404e+01, -9.787402382976195e+03, -3.102713645069403e-01
Ga1Ni2Zr1   ,  2.870000000000000e+00,  3.049265559307351e+00, -3.178706359189662e+01, -1.716843115007468e+04, -2.239621990654542e-01
N1Ni3Zn1    ,  3.000000000000000e+00,  2.963363235550201e+00,  1.457730550474481e+01,  3.354893220014306e+04,  1.070410110444176e-02
B1Hf1       ,  3.100000000000000e+00,  3.786642304143089e+00,  6.065956360271351e+01, -5.166189429126678e+04, -3.534699707070809e-01
Pt0.25V0.75 ,  3.102500000000000e+00,  3.876817556705147e+00,  8.702595946951017e-01, -4.486389796669700e+04, -2.299733217346872e-01
C2Y1        ,  3.150000000000000e+00,  2.659908483122702e+00,  4.002872145057652e+01, -1.607992697605870e+04, -3.826431497251944e-01
