# c0 + a0 * ((ThermalCond_mean-5.760617e+01) * (lambda3+1.610279e+01)) + a1 * ((PE_std-5.118365e-01) * (lambda3-2.322668e+00)) + a2 * (w_log^3) + a3 * (lambda4w_low / lambda3) + a4 * (w_log / at_rad_wtd_mean)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.27497796468208; Max AE: 6.87106227648894
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all ,  1.398279692916976e-03, -1.842275521849210e+00,  2.005513851851461e+05,  3.108719951371102e+02, -4.036467768609572e+02,  3.864041103881113e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; W * mK^-1;                                        37|3|mult:-5.7606169615480e+01,1.6102791558746e+01; ((ThermalCond_mean-5.760617e+01) * (lambda3+1.610279e+01)); $\left(\left(ThermalCond_{mean}-5.761e+01\right) * \left(lambda3+1.610e+01\right)\right)$; ((ThermalCond_mean-5.760617e+01) .* (lambda3+1.610279e+01)); ((newdata$ThermalCond_mean-5.760617e+01) * (newdata$lambda3+1.610279e+01)); ThermalCond_mean,lambda3
# 1;  1; Unitless;                                         29|3|mult:-5.1183647922551e-01,-2.3226678293166e+00; ((PE_std-5.118365e-01) * (lambda3-2.322668e+00)); $\left(\left(PE_{std}-5.118e-01\right) * \left(lambda3-2.323e+00\right)\right)$; ((PE_std-5.118365e-01) .* (lambda3-2.322668e+00)); ((newdata$PE_std-5.118365e-01) * (newdata$lambda3-2.322668e+00)); PE_std,lambda3
# 2;  1; eV^3;                                             1|cb; (w_log^3); $\left(w_{log}^3\right)$; (w_log).^3; (newdata$w_log)^3; w_log
# 3;  1; eV;                                               2|3|div; (lambda4w_low / lambda3); $\left(\frac{ lambda4w_{low} }{ lambda3 } \right)$; (lambda4w_low ./ lambda3); (newdata$lambda4w_low / newdata$lambda3); lambda4w_low,lambda3
# 4;  1; AA^-1 * eV;                                       1|14|div; (w_log / at_rad_wtd_mean); $\left(\frac{ w_{log} }{ at_{rad, wtd, mean} } \right)$; (w_log ./ at_rad_wtd_mean); (newdata$w_log / newdata$at_rad_wtd_mean); w_log,at_rad_wtd_mean
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
C8Cs1       ,  6.750000000000000e-02,  1.821643773152844e+00,  4.921491064945731e+02, -8.221304325342494e-01,  1.794357303199999e-05,  1.171744224974891e-02,  2.845652173913043e-02
Se2Ta1      ,  1.250000000000000e-01,  2.238126129778215e+00, -3.277771548360592e+03,  1.253218412401373e+00,  9.861112800000000e-08,  2.126538657776917e-02,  3.380405355966928e-03
Ti1         ,  1.620000000000000e-01,  6.404081281531369e-01, -5.793312294212360e+02,  1.126295061500784e+00,  8.242407999999999e-06,  9.986084963575345e-03,  1.262500000000000e-02
B1Mo1       ,  2.500000000000000e-01,  3.001367345341829e+00,  4.139123645777083e+02,  9.604858965548887e-01,  2.464217100000000e-05,  1.690956177321891e-02,  2.445378151260504e-02
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.203267255731427e+00,  9.577256574792724e+02,  5.565293905773088e-01,  1.316532736000000e-06,  6.479271203780387e-03,  8.058823529411764e-03
Pt1Te1      ,  5.900000000000000e-01,  1.781420921766462e+00, -3.346416897546686e+02,  7.515977944570238e-01,  4.494550960000001e-07,  6.229896106777092e-03,  5.591240875912409e-03
Sb1V3       ,  6.500000000000000e-01,  1.442637394069345e+00, -4.913245394369393e+02,  6.600070637422308e-01,  8.792838143999999e-06,  1.058590016908035e-02,  1.380602006688963e-02
Al1Ni2Zr1   ,  6.899999999999999e-01,  4.389318327111709e+00,  9.858803649152534e+02,  4.426293608244526e-01,  6.294227929999998e-07,  7.654348679414568e-03,  6.301470588235293e-03
Rh1Te2      ,  7.550000000000000e-01,  5.845584384471580e-01,  3.048684203373540e+02,  9.658316687964899e-01,  1.767172329000000e-06,  3.929866989117291e-03,  8.677241082322543e-03
Zr1         ,  9.966666670000000e-01,  1.390337187315803e+00, -5.735140061793354e+02,  1.021266215963710e+00,  2.072671874999999e-06,  8.797385221614688e-03,  7.285714285714285e-03
Be2Ta3      ,  1.000000000000000e+00,  1.414765574430171e+00,  1.064474737337150e+03,  1.082927987813647e+00,  3.936827538999999e-06,  5.813953488372093e-03,  1.124643874643875e-02
C1Si1       ,  1.075000000000000e+00,  7.946062276488944e+00,  1.426171314886753e+03,  3.935818481144420e-01,  6.443297272900001e-05,  2.406182036925640e-02,  4.357608695652174e-02
