# c0 + a0 * (((ThermalCond_mean-2.821274e+02) / (PE_wtd_mean+9.825240e-01)) - (6.715738e+00*|ThermalCond_std - (1.076354e+00*ThermalCond_wtd_range+8.712998e+00)|)) + a1 * (((IP_std+1.009250e+02) / (PE_mean-2.186555e+00)) - (2.199465e+00*((at_mass_wtd_mean-7.536759e+01)^2))) + a2 * ((|PE_range - lambda3|) / (|PE_wtd_mean - lambda3|)) + a3 * (((IP_wtd_mean+2.357734e+02) / (at_mass_mean-7.618570e+01)) - (2.686201e+00*((at_mass_wtd_range-5.470975e+00) / (L_avg-2.896676e+00)))) + a4 * (((at_mass_wtd_mean-3.878562e+01) / (density-2.713655e+00)) - (1.415919e+03*((EA_wtd_std-7.780205e-01) * (lambda4w_low-1.299071e-02))))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 0.981072784844161; Max AE: 2.76747040155576
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all ,  2.481754055052429e-02, -8.701596095580639e-05,  5.391701609752113e-01, -8.061956677924632e-03,  4.412330594477042e-02,  4.824428712001515e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; W * mK^-1;                                        37|26|div|41|40|abd|sub:6.7157377197029e+00,0.0000000000000e+00,1.0763543095761e+00,8.7129983684498e+00,-2.8212742090118e+02,9.8252401566099e-01; (((ThermalCond_mean-2.821274e+02) / (PE_wtd_mean+9.825240e-01)) - (6.715738e+00*|ThermalCond_std - (1.076354e+00*ThermalCond_wtd_range+8.712998e+00)|)); $\left(\left(\frac{ ThermalCond_{mean} -2.821e+02 }{ PE_{wtd, mean}+9.825e-01 } \right) - \left(6.716e+00\left(\left|ThermalCond_{std} - \left(1.076e+00ThermalCond_{wtd, range}+8.713e+00\right)\right|\right)\right)\right)$; (((ThermalCond_mean-2.821274e+02) ./ (PE_wtd_mean+9.825240e-01)) - (6.715738e+00.*abs(ThermalCond_std - (1.076354e+00.*ThermalCond_wtd_range+8.712998e+00)))); (((newdata$ThermalCond_mean-2.821274e+02) / (newdata$PE_wtd_mean+9.825240e-01)) - (6.715738e+00*abs(newdata$ThermalCond_std - (1.076354e+00*newdata$ThermalCond_wtd_range+8.712998e+00)))); ThermalCond_mean,PE_wtd_mean,ThermalCond_std,ThermalCond_wtd_range
# 1;  2; eV;                                               23|25|div|8|sq|sub:2.1994645823551e+00,0.0000000000000e+00,1.0000000000000e+00,-7.5367589705569e+01,1.0092499151152e+02,-2.1865549850483e+00; (((IP_std+1.009250e+02) / (PE_mean-2.186555e+00)) - (2.199465e+00*((at_mass_wtd_mean-7.536759e+01)^2))); $\left(\left(\frac{ IP_{std} +1.009e+02 }{ PE_{mean}-2.187e+00 } \right) - \left(2.199e+00\left(\left(at_{mass, wtd, mean}-7.537e+01\right)^2\right)\right)\right)$; (((IP_std+1.009250e+02) ./ (PE_mean-2.186555e+00)) - (2.199465e+00.*(at_mass_wtd_mean-7.536759e+01).^2)); (((newdata$IP_std+1.009250e+02) / (newdata$PE_mean-2.186555e+00)) - (2.199465e+00*(newdata$at_mass_wtd_mean-7.536759e+01)^2)); IP_std,PE_mean,at_mass_wtd_mean
# 2;  2; Unitless;                                         27|3|abd|26|3|abd|div; ((|PE_range - lambda3|) / (|PE_wtd_mean - lambda3|)); $\left(\frac{ \left(\left|PE_{range} - lambda3\right|\right) }{ \left(\left|PE_{wtd, mean} - lambda3\right|\right) } \right)$; (abs(PE_range - lambda3) ./ abs(PE_wtd_mean - lambda3)); (abs(newdata$PE_range - newdata$lambda3) / abs(newdata$PE_wtd_mean - newdata$lambda3)); PE_range,lambda3,PE_wtd_mean,lambda3
# 3;  2; eV * g^-1 * mol;                                  20|7|div|10|4|div|sub:2.6862007521902e+00,0.0000000000000e+00,-5.4709747664916e+00,-2.8966759690072e+00,2.3577338033457e+02,-7.6185702246455e+01; (((IP_wtd_mean+2.357734e+02) / (at_mass_mean-7.618570e+01)) - (2.686201e+00*((at_mass_wtd_range-5.470975e+00) / (L_avg-2.896676e+00)))); $\left(\left(\frac{ IP_{wtd, mean} +2.358e+02 }{ at_{mass, mean}-7.619e+01 } \right) - \left(2.686e+00\left(\frac{ at_{mass, wtd, range} -5.471e+00 }{ L_{avg}-2.897e+00 } \right)\right)\right)$; (((IP_wtd_mean+2.357734e+02) ./ (at_mass_mean-7.618570e+01)) - (2.686201e+00.*((at_mass_wtd_range-5.470975e+00) ./ (L_avg-2.896676e+00)))); (((newdata$IP_wtd_mean+2.357734e+02) / (newdata$at_mass_mean-7.618570e+01)) - (2.686201e+00*((newdata$at_mass_wtd_range-5.470975e+00) / (newdata$L_avg-2.896676e+00)))); IP_wtd_mean,at_mass_mean,at_mass_wtd_range,L_avg
# 4;  2; cm^3 * mol^-1;                                    8|5|div|36|2|mult|sub:1.4159191402992e+03,0.0000000000000e+00,-7.7802045740431e-01,-1.2990711229790e-02,-3.8785624517159e+01,-2.7136551375844e+00; (((at_mass_wtd_mean-3.878562e+01) / (density-2.713655e+00)) - (1.415919e+03*((EA_wtd_std-7.780205e-01) * (lambda4w_low-1.299071e-02)))); $\left(\left(\frac{ at_{mass, wtd, mean} -3.879e+01 }{ density-2.714e+00 } \right) - \left(1.416e+03\left(\left(EA_{wtd, std}-7.780e-01\right) * \left(lambda4w_{low}-1.299e-02\right)\right)\right)\right)$; (((at_mass_wtd_mean-3.878562e+01) ./ (density-2.713655e+00)) - (1.415919e+03.*((EA_wtd_std-7.780205e-01) .* (lambda4w_low-1.299071e-02)))); (((newdata$at_mass_wtd_mean-3.878562e+01) / (newdata$density-2.713655e+00)) - (1.415919e+03*((newdata$EA_wtd_std-7.780205e-01) * (newdata$lambda4w_low-1.299071e-02)))); at_mass_wtd_mean,density,EA_wtd_std,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
C8Cs1       ,  6.750000000000000e-02, -8.381770716468423e-01, -2.003829157925906e+02, -5.684488784299335e+03,  7.375474105766980e-01, -8.685663094343337e+01, -5.172173305060734e+01
Se2Ta1      ,  1.250000000000000e-01,  2.582133518474382e-01, -1.299254637820485e+02, -3.739278172532182e+03,  1.012063794182859e+00, -2.386049714046148e+01, -5.451084453551337e+01
Ti1         ,  1.620000000000000e-01,  5.896553476066737e-01, -1.616757354454506e+02, -1.819512961104326e+03,  8.616688883716667e-02,  5.496139660984021e+00, -8.676931159355700e+00
B1Mo1       ,  2.500000000000000e-01,  1.846812948114433e+00, -1.518284629681001e+02, -2.236280190008037e+03,  4.042415675723961e-02, -9.860679976002265e+01, -5.007739999111116e+00
Al1Hf1Ni2   ,  3.700000000000000e-01,  1.960741429384997e+00, -1.454718748198869e+02, -2.380770403040954e+02,  2.739790012388050e-01, -6.513439677278284e+01,  1.201595820651407e+00
Pt1Te1      ,  5.900000000000000e-01,  4.605016966954242e-01, -1.533131055347955e+02,  1.304582198935992e+04,  2.188762082641020e-01, -3.986348354390491e+01,  3.098877891395430e+00
Sb1V3       ,  6.500000000000000e-01,  1.185101582702393e+00, -1.479316421204257e+02, -3.933245576441597e+02,  1.775955771527921e-01, -4.776929112529274e+00, -3.094028091918145e+00
Al1Ni2Zr1   ,  6.899999999999999e-01,  1.637161374119604e+00, -1.457734915730367e+02, -7.749286064083326e+02,  1.365032559282467e-01, -3.483801211080341e+01,  1.944554249998349e-01
Rh1Te2      ,  7.550000000000000e-01,  3.690097544249392e-01, -1.026039555479354e+02,  2.526271991854450e+04,  6.907641096044985e-02,  2.091153133887791e+00,  6.092779327091210e+00
Zr1         ,  9.966666670000000e-01,  6.477475847767026e-01, -1.706978774104033e+02, -6.706891678198537e+02,  3.265112753458404e-01,  3.191148484155549e+01,  1.869387946394520e+00
Be2Ta3      ,  1.000000000000000e+00,  2.083843270117959e+00, -1.365709229121602e+02, -3.135574278468093e+03,  1.246274722297481e-02, -6.968233806422123e+01, -4.364395674145615e+00
C1Si1       ,  1.075000000000000e+00,  4.702418633011654e-01, -1.038298880349180e+02, -4.065303610538422e+03,  2.159849469109807e-01,  1.586969745546065e+02, -2.194248994657450e+01
Nb3Sb1      ,  1.100000000000000e+00,  1.802303914419138e+00, -1.293123723654739e+02, -1.629292914696976e+03,  1.105897934454871e-01,  1.657014280408621e+00, -2.157999585594617e-02
Nb1O1       ,  1.380000000000000e+00,  2.106909641497908e+00, -1.451895532964363e+02, -6.491405160379251e+02,  7.149217502127606e-01, -7.972090749363194e+01, -4.508456546514687e+00
Sb1         ,  1.416666667000000e+00,  2.882986841842346e+00, -1.436338743491080e+02, -5.472889767284779e+03,  1.904135205201944e+00,  9.425588942764715e+01,  1.994870651402799e+01
Sb1Sn1      ,  1.430000000000000e+00,  2.107459458353272e+00, -1.487084699288516e+02, -4.987169392978204e+03,  3.957217302576438e-01,  1.307697579713697e+01,  9.784184252395532e+00
S2Ta1       ,  1.488116666500000e+00,  2.455564012384857e+00, -1.294317234328772e+02, -7.850869152745489e+02,  1.151264852815318e+00, -4.149383141552619e+01, -4.085185155429365e+00
B2C2Y1      ,  1.800000000000000e+00,  1.451549902507856e+00, -1.597797496847858e+02, -5.576904873939650e+03,  6.218652630305230e-01, -3.474862533735009e+01, -1.151888382978913e+01
Re2Y1       ,  1.830000000000000e+00,  2.648427649363884e+00, -1.479970482687499e+02, -1.368351676217836e+04,  3.476847504153724e-01, -2.430840228412065e+01, -1.749578901832960e+00
S1Y1        ,  1.900000000000000e+00,  2.470417191500041e+00, -1.577275990676395e+02, -8.465338545656484e+02,  6.525878984784638e-01, -7.959112930452986e+01,  1.117825238217415e+01
Ga2Pt1      ,  1.900000000000000e+00,  3.156520515427337e+00, -1.308091191171637e+02, -3.596531371957492e+03,  2.525841558424222e-03, -1.005910264602476e+02,  1.027063640047531e+01
Mo0.5Rh0.5  ,  1.940000000000000e+00,  1.906893260679223e+00, -1.043091496858854e+02,  1.749869684701938e+03,  5.474635861376193e-02,  1.549817566363831e+01, -1.839034666654197e+00
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.792253608205619e+00, -1.192929735836108e+02, -3.843333917269958e+03,  7.466136848746827e-01, -1.081638344007637e+00,  4.140210380441804e+00
Be2Nb1      ,  2.150000000000000e+00,  2.837851313825187e+00, -1.012553563154295e+02, -3.411574654562160e+03,  5.685180892119295e-02, -6.043991869231577e+01, -6.537287555994315e+00
In1Te1      ,  2.206000000000000e+00,  2.340358461200902e+00, -1.607621558416226e+02, -5.037910430590637e+03,  3.700367880248636e-01,  3.699579090934400e+00,  2.034266213815677e+01
C2Cl2Y2     ,  2.300000000000000e+00,  2.480180026293101e+00, -1.317788534651841e+02, -1.127028141461545e+03,  1.676120166654484e+00, -2.974257926184895e+01, -7.147887985785976e+00
Be2Nb3      ,  2.300000000000000e+00,  1.858986095981204e+00, -1.360150788898179e+02, -7.342978833844165e+02,  4.066474297317516e-02, -4.682596795915126e+01, -1.205998873022748e+00
Pb1Pd2Sc1   ,  2.400000000000000e+00,  2.528164939953706e+00, -1.546574148105858e+02, -8.942208963682593e+03,  7.388191553104212e-01, -4.095092614685646e+01,  8.010313197700469e-01
As1Pt1Sr1   ,  2.425000000000000e+00,  3.216372981271951e+00, -1.337292851061342e+02, -4.495394879000791e+03,  6.606243994779941e-01, -3.620470408081530e+01,  1.521951689444422e+01
Bi1Nb3      ,  2.516666667000000e+00,  2.565282706234528e+00, -1.221860238355396e+02, -5.036248022103957e+03,  8.683262388163643e-02, -3.919658396407541e+01, -6.310063767282852e-01
Re1         ,  2.581333333000000e+00,  3.565308267812906e+00, -1.397372717342415e+02, -2.737344805411194e+04,  3.149789949407913e-01,  3.743821190647572e+01, -9.317968280837228e-01
