# c0 + a0 * (w_log / density)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 4.00979974841406; Max AE: 15.7230725457879
# Coefficients
# Task   a0                      c0
# all ,  8.887245814811448e+02,  2.534622455958188e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; cm^3 * eV * g^-1;                                 1|5|div; (w_log / density); $\left(\frac{ w_{log} }{ density } \right)$; (w_log ./ density); (newdata$w_log / newdata$density); w_log,density
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
C8Cs1       ,  6.750000000000000e-02,  1.022460445727243e+01,  8.652829190904283e-03
Se2Ta1      ,  1.250000000000000e-01,  3.002980492875909e+00,  5.270002053247553e-04
Ti1         ,  1.620000000000000e-01,  6.250979957287035e+00,  4.181675154225148e-03
B1Mo1       ,  2.500000000000000e-01,  5.497954221922612e+00,  3.334364580110688e-03
Pt1Te1      ,  5.900000000000000e-01,  3.082789386535419e+00,  6.168018101442156e-04
Sb1V3       ,  6.500000000000000e-01,  4.860029438764256e+00,  2.616566517076139e-03
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.614943254711881e+00,  1.215585594530574e-03
Rh1Te2      ,  7.550000000000000e-01,  3.746669990629424e+00,  1.363805570282801e-03
Zr1         ,  9.966666670000000e-01,  4.214593754848400e+00,  1.890317128497087e-03
Be2Ta3      ,  1.000000000000000e+00,  3.571459045802384e+00,  1.166656815226386e-03
C1Si1       ,  1.075000000000000e+00,  1.133428865457487e+01,  9.901454716095730e-03
Nb3Sb1      ,  1.100000000000000e+00,  4.281336356758212e+00,  1.965416437439996e-03
Nb1O1       ,  1.380000000000000e+00,  5.553751991417556e+00,  3.397148676171079e-03
Sb1         ,  1.416666667000000e+00,  3.700642836625240e+00,  1.312015448839917e-03
Sb1Sn1      ,  1.430000000000000e+00,  3.515690194996305e+00,  1.103905258705766e-03
S2Ta1       ,  1.488116666500000e+00,  3.751331645572120e+00,  1.369050901670987e-03
B2C2Y1      ,  1.800000000000000e+00,  9.644339957041957e+00,  7.999910938926368e-03
Re2Y1       ,  1.830000000000000e+00,  3.397259676291861e+00,  9.706462927986141e-04
S1Y1        ,  1.900000000000000e+00,  5.109541223142810e+00,  2.897319170460293e-03
Ga2Pt1      ,  1.900000000000000e+00,  3.190513867720818e+00,  7.380142570936029e-04
Mo0.5Rh0.5  ,  1.940000000000000e+00,  3.894950353906558e+00,  1.530651819803670e-03
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.287054834476276e+00,  8.466429242500381e-04
Be2Nb1      ,  2.150000000000000e+00,  6.654005798997359e+00,  4.635163051497713e-03
In1Te1      ,  2.206000000000000e+00,  3.242273208709111e+00,  7.962542811312302e-04
C2Cl2Y2     ,  2.300000000000000e+00,  4.196451735255716e+00,  1.869903583096497e-03
Be2Nb3      ,  2.300000000000000e+00,  4.956814699915125e+00,  2.725470066238205e-03
Pb1Pd2Sc1   ,  2.400000000000000e+00,  2.768758938752563e+00,  2.634522411928378e-04
As1Pt1Sr1   ,  2.425000000000000e+00,  3.390871833764708e+00,  9.634586413481413e-04
Bi1Nb3      ,  2.516666667000000e+00,  3.703802854016263e+00,  1.315571125656864e-03
Re1         ,  2.581333333000000e+00,  3.123569321152236e+00,  6.626877184071038e-04
Hf1In1Pd2   ,  2.630000000000000e+00,  3.059368242537667e+00,  5.904481517827936e-04
Nb3Rh1      ,  2.742333333000000e+00,  4.146229089112860e+00,  1.813392660377161e-03
Ga1Ni2Zr1   ,  2.870000000000000e+00,  3.080098229854110e+00,  6.137736991440410e-04
N1Ni3Zn1    ,  3.000000000000000e+00,  3.672422613218546e+00,  1.280261827982866e-03
B1Hf1       ,  3.100000000000000e+00,  4.544956687574981e+00,  2.262044140003844e-03
Pt0.25V0.75 ,  3.102500000000000e+00,  4.303519073674430e+00,  1.990376607754234e-03
C2Y1        ,  3.150000000000000e+00,  6.855913980885341e+00,  4.862351751006263e-03
Pb1Pd2Y1    ,  3.215000000000000e+00,  3.061975380139035e+00,  5.933817238429057e-04
In1Sb1      ,  3.320000000000000e+00,  3.299907546251726e+00,  8.611048982330574e-04
Bi2K1       ,  3.575000000000000e+00,  3.154142829404092e+00,  6.970892741746985e-04
Al1Hf1Pd2   ,  3.621666666500000e+00,  2.871226430513550e+00,  3.787494816384832e-04
Hg0.5In0.5  ,  3.810000000000000e+00,  2.731848661127935e+00,  2.219205018961562e-04
C1W2        ,  3.835000000000000e+00,  3.524682605707826e+00,  1.114023591087811e-03
C1Ga1Mo2    ,  3.900000000000000e+00,  4.342097884909586e+00,  2.033785794401081e-03
Ba1Ge3      ,  4.000000000000000e+00,  3.986297036031877e+00,  1.633435836391892e-03
Bi2Rb1      ,  4.250000000000000e+00,  3.222345009514385e+00,  7.738309121708331e-04
Ba1Sn3      ,  4.300000000000000e+00,  3.698338104922966e+00,  1.309422146313692e-03
Rh1Se2      ,  4.350000000000000e+00,  4.094502460092740e+00,  1.755189444107490e-03
Al1Au2Sc1   ,  4.400000000000000e+00,  2.924597074406659e+00,  4.388025565789357e-04
B2Nb1       ,  4.597500000000000e+00,  6.437584906250087e+00,  4.391644533773598e-03
Pb3Y1       ,  4.720000000000000e+00,  3.045082206202219e+00,  5.743733895525884e-04
Bi2Cs1      ,  4.750000000000000e+00,  3.175990061318373e+00,  7.216719540842274e-04
Al1Si1Sr1   ,  4.750000000000000e+00,  5.663743574147197e+00,  3.520912083892208e-03
Pd2Sn1Y1    ,  4.814444444333330e+00,  2.997286637415889e+00,  5.205934336671844e-04
Br2C2Y2     ,  5.050000000000000e+00,  5.335337738370119e+00,  3.151387213510253e-03
Ir1Mo1      ,  5.325000000000000e+00,  3.550578572525211e+00,  1.143161939859741e-03
N1Ti1       ,  5.387500000000000e+00,  7.929728357833870e+00,  6.070616267735298e-03
Ga1         ,  5.527454545000000e+00,  3.388307520250610e+00,  9.605732552931910e-04
B6Y1        ,  5.692857143000000e+00,  3.744540175151165e+00,  1.361409084889418e-03
Bi3Sr1      ,  5.700000000000000e+00,  3.047408805949917e+00,  5.769912981782517e-04
Ba1Bi3      ,  5.745000000000000e+00,  2.896029532883171e+00,  4.066581306017926e-04
Nb1S2       ,  5.821818182000000e+00,  5.080052408194229e+00,  2.864138120264252e-03
