# c0 + a0 * ((((at_mass_std-2.446906e+02) * (L_avg+4.713867e+00))+1.855940e+03) * (((L_avg-8.145906e+00)^6)-4.123130e+03)) + a1 * ((((at_mass_wtd_range-7.804157e+01) / (IP_mean-9.273097e+00))+2.447962e+01) * (((PE_range+6.421914e+00) * (ThermalCond_wtd_mean+5.379012e+01))-1.082132e+03)) + a2 * ((((lambda+4.905661e-01) * (IP_wtd_std+8.594830e+01))-9.434734e+01) * (((EA_wtd_range-2.811168e+00) / (w_log-6.110222e-02))-3.795616e+01))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.43002095676362; Max AE: 3.89225813147209
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  7.091199210404183e-07,  3.629404129229668e-05,  4.080818250707188e-03,  2.707817843798177e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; AA^7 * g * mol^-1;                                11|4|mult|4|sp|mult:1.8559397711914e+03,-4.1231301044759e+03,1.0000000000000e+00,-8.1459056797238e+00,-2.4469062033593e+02,4.7138671989420e+00; ((((at_mass_std-2.446906e+02) * (L_avg+4.713867e+00))+1.855940e+03) * (((L_avg-8.145906e+00)^6)-4.123130e+03)); $\left(\left(\left(\left(at_{mass, std}-2.447e+02\right) * \left(L_{avg}+4.714e+00\right)\right)+1.856e+03\right) * \left(\left(\left(L_{avg}-8.146e+00\right)^6\right)-4.123e+03\right)\right)$; ((((at_mass_std-2.446906e+02) .* (L_avg+4.713867e+00))+1.855940e+03) .* ((L_avg-8.145906e+00).^6-4.123130e+03)); ((((newdata$at_mass_std-2.446906e+02) * (newdata$L_avg+4.713867e+00))+1.855940e+03) * ((newdata$L_avg-8.145906e+00)^6-4.123130e+03)); at_mass_std,L_avg,L_avg
# 1;  2; W * eV^-1 * g * mK^-1 * mol^-1;                   10|19|div|27|38|mult|mult:2.4479616474896e+01,-1.0821315336687e+03,6.4219144725525e+00,5.3790122128072e+01,-7.8041571115789e+01,-9.2730973579195e+00; ((((at_mass_wtd_range-7.804157e+01) / (IP_mean-9.273097e+00))+2.447962e+01) * (((PE_range+6.421914e+00) * (ThermalCond_wtd_mean+5.379012e+01))-1.082132e+03)); $\left(\left(\left(\frac{ at_{mass, wtd, range} -7.804e+01 }{ IP_{mean}-9.273e+00 } \right)+2.448e+01\right) * \left(\left(\left(PE_{range}+6.422e+00\right) * \left(ThermalCond_{wtd, mean}+5.379e+01\right)\right)-1.082e+03\right)\right)$; ((((at_mass_wtd_range-7.804157e+01) ./ (IP_mean-9.273097e+00))+2.447962e+01) .* (((PE_range+6.421914e+00) .* (ThermalCond_wtd_mean+5.379012e+01))-1.082132e+03)); ((((newdata$at_mass_wtd_range-7.804157e+01) / (newdata$IP_mean-9.273097e+00))+2.447962e+01) * (((newdata$PE_range+6.421914e+00) * (newdata$ThermalCond_wtd_mean+5.379012e+01))-1.082132e+03)); at_mass_wtd_range,IP_mean,PE_range,ThermalCond_wtd_mean
# 2;  2; eV;                                               0|24|mult|34|1|div|mult:-9.4347335381281e+01,-3.7956160606102e+01,-2.8111676181748e+00,-6.1102218339008e-02,4.9056612434358e-01,8.5948297971612e+01; ((((lambda+4.905661e-01) * (IP_wtd_std+8.594830e+01))-9.434734e+01) * (((EA_wtd_range-2.811168e+00) / (w_log-6.110222e-02))-3.795616e+01)); $\left(\left(\left(\left(lambda+4.906e-01\right) * \left(IP_{wtd, std}+8.595e+01\right)\right)-9.435e+01\right) * \left(\left(\frac{ EA_{wtd, range} -2.811e+00 }{ w_{log}-6.110e-02 } \right)-3.796e+01\right)\right)$; ((((lambda+4.905661e-01) .* (IP_wtd_std+8.594830e+01))-9.434734e+01) .* (((EA_wtd_range-2.811168e+00) ./ (w_log-6.110222e-02))-3.795616e+01)); ((((newdata$lambda+4.905661e-01) * (newdata$IP_wtd_std+8.594830e+01))-9.434734e+01) * (((newdata$EA_wtd_range-2.811168e+00) / (newdata$w_log-6.110222e-02))-3.795616e+01)); lambda,IP_wtd_std,EA_wtd_range,w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
C8Cs1       ,  6.750000000000000e-02,  1.710638970426815e+00, -5.633236297192908e+04,  2.306680485153259e+04, -4.397206467209352e+02
Se2Ta1      ,  1.250000000000000e-01, -3.666712717206649e-01,  1.431155913735920e+06, -5.187863225142678e+04, -5.406918238910191e+02
Ti1         ,  1.620000000000000e-01,  3.027966203195995e-02, -3.665231897437809e+05, -3.361588503150806e+04, -2.934639313518654e+02
B1Mo1       ,  2.500000000000000e-01,  2.168902589176374e+00,  6.545601465981897e+04, -8.793341485292693e+03, -6.522846724633899e+01
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.655297133622673e+00, -1.660583538041599e+05,  2.530942476800301e+03, -6.524072517711620e+00
Pt1Te1      ,  5.900000000000000e-01,  7.822037564458942e-01,  2.947237717807253e+05, -8.530519863540836e+04,  2.356051550270094e+02
Sb1V3       ,  6.500000000000000e-01,  1.174808829906203e+00,  4.338759355125699e+05, -2.941689739521161e+04, -1.894279398836151e+02
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.789519295676812e+00,  8.643651896944146e+04,  3.147568066353861e+03,  2.220558655961754e+02
Rh1Te2      ,  7.550000000000000e-01,  2.453153385723720e+00,  3.024741331492886e+06, -3.417109442064723e+04, -2.841002978075612e+02
Zr1         ,  9.966666670000000e-01,  1.737204274918222e+00, -5.530621613514087e+05, -3.193969413560787e+04,  1.423230267675919e+02
Be2Ta3      ,  1.000000000000000e+00,  3.882666223507567e-01, -9.258697982783945e+05, -3.109682905136645e+02, -4.047502500107191e+02
C1Si1       ,  1.075000000000000e+00,  2.328719730505102e+00,  1.156830558763437e+06, -4.442043235733368e+04,  1.011481700628697e+02
Nb3Sb1      ,  1.100000000000000e+00,  3.454769893436193e+00,  1.528789775968076e+06, -2.640519558215394e+04,  1.522263391902709e+02
Nb1O1       ,  1.380000000000000e+00,  2.372471040619480e+00, -5.805075251906477e+03,  7.779684767065281e+03, -1.503586955250992e+02
Sb1         ,  1.416666667000000e+00,  1.977425905701399e+00, -6.143113000514274e+05, -8.607418435787094e+04,  6.932944007699833e+02
Sb1Sn1      ,  1.430000000000000e+00,  2.833925643335304e+00,  3.016816217846075e+05, -3.678709473850003e+04,  3.056572507154599e+02
S2Ta1       ,  1.488116666500000e+00,  1.627996485929995e+00, -1.669933667962873e+03, -5.598785681157904e+04,  2.336267762437135e+02
B2C2Y1      ,  1.800000000000000e+00, -1.781792433094511e-03,  2.707820111908574e+05, -1.238193232046698e+04, -6.009153167465096e+02
Re2Y1       ,  1.830000000000000e+00,  2.608603651916154e+00,  1.393449666413778e+06, -1.733804322964632e+04, -1.122494128032700e+02
S1Y1        ,  1.900000000000000e+00,  1.230536866402034e+00,  3.823052743483896e+03, -4.461348825812949e+04,  3.411369882843569e+01
Ga2Pt1      ,  1.900000000000000e+00,  2.087887455225731e+00, -5.938042721237642e+04, -1.524045763134162e+04, -6.048969744381686e+00
Mo0.5Rh0.5  ,  1.940000000000000e+00,  3.033402088948178e+00, -2.986968338890882e+05,  1.329241128726834e+04,  1.346808235544975e+01
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.092708696070511e+00,  6.695112366188940e+05, -1.071764755007061e+04,  7.329751569116812e+01
Be2Nb1      ,  2.150000000000000e+00,  2.044374205240558e+00,  5.877254885502302e+04,  1.141337504350779e+04, -2.742974227486357e+02
In1Te1      ,  2.206000000000000e+00,  1.685218253772018e+00,  3.426160081718580e+05, -2.714229616912340e+04, -6.872440562861587e+01
C2Cl2Y2     ,  2.300000000000000e+00,  1.154507068686025e+00,  1.496824234067837e+06,  6.133980620674324e+03, -6.952933037943848e+02
Be2Nb3      ,  2.300000000000000e+00,  2.187759818242333e+00,  7.294941694682798e+05, -1.968085957609557e+03, -2.366993629841208e+02
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.188855181121588e+00,  8.593693080562972e+04, -1.075402843464287e+04,  1.985888245969023e+02
As1Pt1Sr1   ,  2.425000000000000e+00,  2.702932189954912e+00,  5.857238353573993e+05, -1.273123678255641e+04,  1.025136068176137e+01
Bi1Nb3      ,  2.516666667000000e+00,  2.615984407931971e+00,  5.099485737290650e+04, -1.685892457014459e+04,  1.185751409803018e+02
