# c0 + a0 * (((wtd_std_at_rad-1.017830e+02) / (density-7.609061e+00)) - (3.759517e+02*((w_log-1.704117e+02) / (lambda3-3.379186e+00)))) + a1 * (((wtd_range_ThermalCond-8.352673e+03) * (wtd_mean_EA+1.370554e+02)) - (1.870513e+02*((range_PE-3.893278e+00) / (wtd_mean_at_rad-1.141100e+00)))) + a2 * (((mean_IP-8.836836e+01) * (lambda-1.395873e+02)) - (4.672255e-01*((range_PE-2.342439e+00) / (lambda3-4.812750e-02)))) + a3 * (((wtd_std_IP-2.017940e+01) / (mean_at_mass-1.684459e+01)) - (1.377968e-07*((bulk_mod-5.124058e+07) / (wtd_mean_at_mass-1.000440e+02))))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.42821836210839; Max AE: 4.01128533506435
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all , -4.973781536869262e-05, -1.133521674390670e-04, -1.294497614253527e-02, -1.346317540227801e+00,  1.876193088199911e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; AA * cm^3 * g^-1;                                 19|2|div|4|7|div|sub:3.7595167291149e+02,0.0000000000000e+00,-1.7041167216333e+02,-3.3791864562467e+00,-1.0178304764716e+02,-7.6090614909149e+00; (((wtd_std_at_rad-1.017830e+02) / (density-7.609061e+00)) - (3.759517e+02*((w_log-1.704117e+02) / (lambda3-3.379186e+00)))); $\left(\left(\frac{ wtd_{std, at, rad} -1.018e+02 }{ density-7.609e+00 } \right) - \left(3.760e+02\left(\frac{ w_{log} -1.704e+02 }{ lambda3-3.379e+00 } \right)\right)\right)$; (((wtd_std_at_rad-1.017830e+02) ./ (density-7.609061e+00)) - (3.759517e+02.*((w_log-1.704117e+02) ./ (lambda3-3.379186e+00)))); (((newdata$wtd_std_at_rad-1.017830e+02) / (newdata$density-7.609061e+00)) - (3.759517e+02*((newdata$w_log-1.704117e+02) / (newdata$lambda3-3.379186e+00)))); wtd_std_at_rad,density,w_log,lambda3
# 1;  2; W * eV * mK^-1;                                   41|27|mult|34|15|div|sub:1.8705129173980e+02,0.0000000000000e+00,-3.8932782152260e+00,-1.1410997022236e+00,-8.3526730253840e+03,1.3705539316938e+02; (((wtd_range_ThermalCond-8.352673e+03) * (wtd_mean_EA+1.370554e+02)) - (1.870513e+02*((range_PE-3.893278e+00) / (wtd_mean_at_rad-1.141100e+00)))); $\left(\left(\left(wtd_{range, ThermalCond}-8.353e+03\right) * \left(wtd_{mean, EA}+1.371e+02\right)\right) - \left(1.871e+02\left(\frac{ range_{PE} -3.893e+00 }{ wtd_{mean, at, rad}-1.141e+00 } \right)\right)\right)$; (((wtd_range_ThermalCond-8.352673e+03) .* (wtd_mean_EA+1.370554e+02)) - (1.870513e+02.*((range_PE-3.893278e+00) ./ (wtd_mean_at_rad-1.141100e+00)))); (((newdata$wtd_range_ThermalCond-8.352673e+03) * (newdata$wtd_mean_EA+1.370554e+02)) - (1.870513e+02*((newdata$range_PE-3.893278e+00) / (newdata$wtd_mean_at_rad-1.141100e+00)))); wtd_range_ThermalCond,wtd_mean_EA,range_PE,wtd_mean_at_rad
# 2;  2; eV;                                               20|5|mult|34|7|div|sub:4.6722553021029e-01,0.0000000000000e+00,-2.3424386438694e+00,-4.8127501134669e-02,-8.8368364612832e+01,-1.3958732701320e+02; (((mean_IP-8.836836e+01) * (lambda-1.395873e+02)) - (4.672255e-01*((range_PE-2.342439e+00) / (lambda3-4.812750e-02)))); $\left(\left(\left(mean_{IP}-8.837e+01\right) * \left(lambda-1.396e+02\right)\right) - \left(4.672e-01\left(\frac{ range_{PE} -2.342e+00 }{ lambda3-4.813e-02 } \right)\right)\right)$; (((mean_IP-8.836836e+01) .* (lambda-1.395873e+02)) - (4.672255e-01.*((range_PE-2.342439e+00) ./ (lambda3-4.812750e-02)))); (((newdata$mean_IP-8.836836e+01) * (newdata$lambda-1.395873e+02)) - (4.672255e-01*((newdata$range_PE-2.342439e+00) / (newdata$lambda3-4.812750e-02)))); mean_IP,lambda,range_PE,lambda3
# 3;  2; eV * g^-1 * mol;                                  25|8|div|1|9|div|sub:1.3779677819567e-07,0.0000000000000e+00,-5.1240577720000e+07,-1.0004404500505e+02,-2.0179400639281e+01,-1.6844590468292e+01; (((wtd_std_IP-2.017940e+01) / (mean_at_mass-1.684459e+01)) - (1.377968e-07*((bulk_mod-5.124058e+07) / (wtd_mean_at_mass-1.000440e+02)))); $\left(\left(\frac{ wtd_{std, IP} -2.018e+01 }{ mean_{at, mass}-1.684e+01 } \right) - \left(1.378e-07\left(\frac{ bulk_{mod} -5.124e+07 }{ wtd_{mean, at, mass}-1.000e+02 } \right)\right)\right)$; (((wtd_std_IP-2.017940e+01) ./ (mean_at_mass-1.684459e+01)) - (1.377968e-07.*((bulk_mod-5.124058e+07) ./ (wtd_mean_at_mass-1.000440e+02)))); (((newdata$wtd_std_IP-2.017940e+01) / (newdata$mean_at_mass-1.684459e+01)) - (1.377968e-07*((newdata$bulk_mod-5.124058e+07) / (newdata$wtd_mean_at_mass-1.000440e+02)))); wtd_std_IP,mean_at_mass,bulk_mod,wtd_mean_at_mass
# Number of Samples Per Task
# Task, n_samples               
# all , 52                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
Rh1V3       ,  1.900000000000000e-01,  2.190741341778773e+00,  1.478651285509014e+04, -1.146800661439928e+06,  1.132000619746866e+04, -5.267173974459136e-01
B1Mo1       ,  2.500000000000000e-01,  1.002839827946699e+00,  2.102616501215567e+04, -1.126914152064655e+06,  1.123034771626958e+04, -6.871529463067998e-01
Cr3Ir1      ,  2.560000000000000e-01,  9.494908115579684e-01,  9.755813461968492e+04, -1.145196823344466e+06,  1.110458562771394e+04, -7.263831457538640e-01
Al1Os1      ,  3.900000000000000e-01,  9.231565693692995e-01,  6.837157027718239e+02, -1.137655626565648e+06,  1.127281892970377e+04,  6.195616774258169e-01
Al1Mo3      ,  5.800000000000000e-01,  2.251070670393328e+00,  1.406354783139751e+04, -1.142130511760836e+06,  1.130288213027089e+04, -7.733691455494778e-01
Sb1V3       ,  6.500000000000000e-01,  4.661285335064351e+00, -5.036686676581389e+03, -1.146091120626196e+06,  1.119679153099192e+04, -5.044332237871116e-01
Nb3Os1      ,  6.633333330000000e-01,  3.336187985678210e+00,  2.358779771420602e+03, -1.148710718402947e+06,  1.121469219878405e+04,  2.550283017350788e-01
B2Ru1       ,  8.000000000000000e-01,  5.903541111084859e-01,  2.469866364729121e+04, -1.153615500558398e+06,  1.147547181808690e+04, -6.252405589111076e-01
La1Se1      ,  1.020000000000000e+00,  6.848884359693531e-01, -6.033077198176252e+03, -1.153519013576660e+06,  1.145824303605397e+04,  5.974163863906446e-01
Al1Nb1Ni2   ,  1.075000000000000e+00,  2.520734479365238e+00, -1.185464249002358e+03, -1.142647486246933e+06,  1.133044328733228e+04, -6.317900673365282e-01
Co1Si2      ,  1.306666667000000e+00,  6.412678497420424e-01,  1.936835108253067e+04, -1.106785741178722e+06,  1.110708785605700e+04, -8.668839701242407e-01
Nb1O1       ,  1.380000000000000e+00,  3.398792545362203e+00,  1.756221447042926e+04, -1.107727242982242e+06,  1.088152191239150e+04, -6.002487875672038e-01
Cr1         ,  1.550000000000000e+00,  1.430178518186207e+00,  2.128864084803867e+04, -1.147415924651291e+06,  1.137937266670912e+04, -7.210214302158778e-01
Hg2Na1      ,  1.620000000000000e+00,  3.546709788786551e+00, -1.353144225854116e+04, -1.138852548706300e+06,  1.120153070510091e+04, -1.775025385085491e-02
Ga2Y1       ,  1.680000000000000e+00,  3.346382181606835e+00, -3.117997681382626e+04, -1.143404807470586e+06,  1.138696253667338e+04, -6.166246305020102e-01
Be2Nb1      ,  2.150000000000000e+00,  4.072947230457912e-01,  1.781031822353994e+04, -1.116492697372540e+06,  1.119570829656297e+04, -6.703617491888656e-01
Ge1Mo3      ,  2.179200000000000e+00,  2.518716696910997e+00,  1.203740963181449e+04, -1.137728385240587e+06,  1.127563241197218e+04, -1.005939812292887e+00
B1Hf1       ,  3.100000000000000e+00,  3.056016973073675e+00,  2.064156542905756e+04, -1.141828830772266e+06,  1.129438033473441e+04, -1.557926391091556e+00
B1Zr1       ,  3.100000000000000e+00,  1.963938955230228e+00,  2.769181735334865e+04, -1.143571061957116e+06,  1.127874720576541e+04, -7.102288622776143e-01
C1In1Ti2    ,  3.100000000000000e+00,  3.821044261292363e+00,  9.443573813232610e+03, -1.142327355069385e+06,  1.118268930159397e+04, -5.965759804090257e-01
Sn1         ,  3.740729412000000e+00,  3.730195186714423e+00, -6.898627812982806e+03, -1.151876252046846e+06,  1.125532854948918e+04,  1.801719178884088e-01
B1Ta1       ,  4.000000000000000e+00,  4.891856511155443e+00,  2.493501614601666e+04, -1.140354139795094e+06,  1.116363092354467e+04, -1.947134576785442e+00
Sn1V3       ,  4.462500000000000e+00,  3.491633276347044e+00,  1.995044266088990e+04, -1.147795256890435e+06,  1.120694410859871e+04, -5.129085665385967e-01
B2Nb1       ,  4.597500000000000e+00,  5.503714628141220e+00,  2.272685878409433e+04, -1.167584872220689e+06,  1.123063095860336e+04, -6.715666361741042e-01
Al1Si1Sr1   ,  4.750000000000000e+00,  1.886460426218841e+00, -2.571882512932836e+03, -1.138734648795382e+06,  1.136340086723812e+04, -7.557817838502698e-01
Fe1Li1P1    ,  4.965000000000000e+00,  3.761447204555189e+00,  1.922379636085949e+04, -1.139037608484591e+06,  1.120018882163954e+04, -1.358863175772447e+00
Ga1Si1Sr1   ,  5.000000000000000e+00,  4.605677324592250e+00,  1.853510675721842e+03, -1.141992357411144e+06,  1.114961121092158e+04, -6.091268979144998e-01
Os0.5V0.5   ,  5.150000000000000e+00,  3.688097660741303e+00,  1.862258102805522e+03, -1.145897562433610e+06,  1.117480754479625e+04,  1.586281581967679e-01
Ir1Ti3      ,  5.185000000000000e+00,  5.810327803799258e+00,  7.405738546119859e+03, -1.144184066986217e+06,  1.105613212657803e+04, -6.256806572313409e-01
Ir1Mo1      ,  5.325000000000000e+00,  4.070590734651963e+00,  6.545010326790629e+03, -1.151511628840969e+06,  1.119192390296490e+04,  9.623791715854507e-03
La1         ,  5.343000000000000e+00,  2.732653767884318e+00,  1.733019287590823e+03, -1.148171238293006e+06,  1.128381696486636e+04,  1.636877250702198e-02
N1Ti1       ,  5.387500000000000e+00,  5.460256094814721e+00,  2.578934223999587e+04, -1.111397059381558e+06,  1.079148703889458e+04, -1.260703659855164e+00
