# c0 + a0 * ((std_IP - (2.734662e-02*range_at_mass)) * (wtd_std_ThermalCond - (1.021187e+02*wtd_std_PE))) + a1 * ((((bulk_mod+1.209396e+02) / (L_avg-4.591247e+00))-1.720428e+02) * (((std_IP-1.602535e+01) / (lambda3-4.009749e-01))-7.236548e+01)) + a2 * ((1.0 / (wtd_mean_PE-2.402824e+00)) - (3.554895e-01*((mean_EA+1.303602e+00) / (lambda3-6.547461e-01)))) + a3 * ((((L_avg-5.185836e+00) / (wtd_mean_PE-1.690209e+00))+7.939274e+00) * (((mean_IP-3.969135e+00) / (lambda3-4.756306e-02))+1.059342e+02)) + a4 * ((((lambda-2.451834e+01) / (mean_IP+1.245504e+01))+1.102288e+00) * (((wtd_range_ThermalCond-9.491578e+01) / (density-2.603994e+00))+5.279022e+01))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.05684260499687; Max AE: 2.47132911961895
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all ,  1.380037110776476e-02,  3.623655434732420e-06, -2.475776358028585e-01, -1.717115693460962e-04,  6.008704479507808e-01,  5.316616297904257e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; W * eV * mK^-1;                                   24|10|sub:2.7346616700272e-02,0.0000000000000e+00|43|37|sub:1.0211868188574e+02,0.0000000000000e+00|mult; ((std_IP - (2.734662e-02*range_at_mass)) * (wtd_std_ThermalCond - (1.021187e+02*wtd_std_PE))); $\left(\left(std_{IP} - \left(2.735e-02range_{at, mass}\right)\right) \left(wtd_{std, ThermalCond} - \left(1.021e+02wtd_{std, PE}\right)\right)\right)$; ((std_IP - (2.734662e-02.*range_at_mass)) .* (wtd_std_ThermalCond - (1.021187e+02.*wtd_std_PE))); ((newdata$std_IP - (2.734662e-02*newdata$range_at_mass)) * (newdata$wtd_std_ThermalCond - (1.021187e+02*newdata$wtd_std_PE))); std_IP,range_at_mass,wtd_std_ThermalCond,wtd_std_PE
# 1;  2; AA^-1 * GPa * eV;                                 1|0|div|24|7|div|mult:-1.7204278140813e+02,-7.2365482955263e+01,-1.6025348511020e+01,-4.0097494918425e-01,1.2093958537385e+02,-4.5912474628679e+00; ((((bulk_mod+1.209396e+02) / (L_avg-4.591247e+00))-1.720428e+02) * (((std_IP-1.602535e+01) / (lambda3-4.009749e-01))-7.236548e+01)); $\left(\left(\left(\frac{ bulk_{mod} +1.209e+02 }{ L_{avg}-4.591e+00 } \right)-1.720e+02\right) * \left(\left(\frac{ std_{IP} -1.603e+01 }{ lambda3-4.010e-01 } \right)-7.237e+01\right)\right)$; ((((bulk_mod+1.209396e+02) ./ (L_avg-4.591247e+00))-1.720428e+02) .* (((std_IP-1.602535e+01) ./ (lambda3-4.009749e-01))-7.236548e+01)); ((((newdata$bulk_mod+1.209396e+02) / (newdata$L_avg-4.591247e+00))-1.720428e+02) * (((newdata$std_IP-1.602535e+01) / (newdata$lambda3-4.009749e-01))-7.236548e+01)); bulk_mod,L_avg,std_IP,lambda3
# 2;  2; Unitless;                                         33|inv|26|7|div|sub:3.5548949151571e-01,0.0000000000000e+00,1.3036018668345e+00,-6.5474614889828e-01,1.0000000000000e+00,-2.4028243944881e+00; ((1.0 / (wtd_mean_PE-2.402824e+00)) - (3.554895e-01*((mean_EA+1.303602e+00) / (lambda3-6.547461e-01)))); $\left(\left(\frac{1}{ wtd_{mean, PE}-2.403e+00 }\right) - \left(3.555e-01\left(\frac{ mean_{EA} +1.304e+00 }{ lambda3-6.547e-01 } \right)\right)\right)$; ((wtd_mean_PE-2.402824e+00).^(-1) - (3.554895e-01.*((mean_EA+1.303602e+00) ./ (lambda3-6.547461e-01)))); ((newdata$wtd_mean_PE-2.402824e+00)^(-1) - (3.554895e-01*((newdata$mean_EA+1.303602e+00) / (newdata$lambda3-6.547461e-01)))); wtd_mean_PE,mean_EA,lambda3
# 3;  2; AA * eV;                                          0|33|div|20|7|div|mult:7.9392740476191e+00,1.0593418825659e+02,-3.9691347854332e+00,-4.7563062159375e-02,-5.1858359017798e+00,-1.6902087208900e+00; ((((L_avg-5.185836e+00) / (wtd_mean_PE-1.690209e+00))+7.939274e+00) * (((mean_IP-3.969135e+00) / (lambda3-4.756306e-02))+1.059342e+02)); $\left(\left(\left(\frac{ L_{avg} -5.186e+00 }{ wtd_{mean, PE}-1.690e+00 } \right)+7.939e+00\right) * \left(\left(\frac{ mean_{IP} -3.969e+00 }{ lambda3-4.756e-02 } \right)+1.059e+02\right)\right)$; ((((L_avg-5.185836e+00) ./ (wtd_mean_PE-1.690209e+00))+7.939274e+00) .* (((mean_IP-3.969135e+00) ./ (lambda3-4.756306e-02))+1.059342e+02)); ((((newdata$L_avg-5.185836e+00) / (newdata$wtd_mean_PE-1.690209e+00))+7.939274e+00) * (((newdata$mean_IP-3.969135e+00) / (newdata$lambda3-4.756306e-02))+1.059342e+02)); L_avg,wtd_mean_PE,mean_IP,lambda3
# 4;  2; W * cm^3 * eV^-1 * g^-1 * mK^-1;                  5|20|div|41|2|div|mult:1.1022881209371e+00,5.2790217145652e+01,-9.4915778750174e+01,-2.6039941573477e+00,-2.4518344281511e+01,1.2455043392982e+01; ((((lambda-2.451834e+01) / (mean_IP+1.245504e+01))+1.102288e+00) * (((wtd_range_ThermalCond-9.491578e+01) / (density-2.603994e+00))+5.279022e+01)); $\left(\left(\left(\frac{ lambda -2.452e+01 }{ mean_{IP}+1.246e+01 } \right)+1.102e+00\right) * \left(\left(\frac{ wtd_{range, ThermalCond} -9.492e+01 }{ density-2.604e+00 } \right)+5.279e+01\right)\right)$; ((((lambda-2.451834e+01) ./ (mean_IP+1.245504e+01))+1.102288e+00) .* (((wtd_range_ThermalCond-9.491578e+01) ./ (density-2.603994e+00))+5.279022e+01)); ((((newdata$lambda-2.451834e+01) / (newdata$mean_IP+1.245504e+01))+1.102288e+00) * (((newdata$wtd_range_ThermalCond-9.491578e+01) / (newdata$density-2.603994e+00))+5.279022e+01)); lambda,mean_IP,wtd_range_ThermalCond,density
# Number of Samples Per Task
# Task, n_samples               
# all , 57                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
Rh1V3       ,  1.900000000000000e-01,  1.955173238188229e+00, -2.214733166773663e+01, -3.891690917270434e+04, -2.631510854544281e-01,  5.975988943977798e+02, -4.788579441109031e+00
B1Mo1       ,  2.500000000000000e-01,  1.930983549165081e+00, -8.605068215061199e+01, -1.530994375777792e+04, -2.048714063656701e+00,  1.063683357451011e+03, -4.106030666371121e+00
Cr3Ir1      ,  2.560000000000000e-01, -8.620505075937576e-01, -8.899642788253559e-01, -1.630337800847412e+06, -1.936601828070617e+00,  2.616472998716513e+02, -1.153549773765886e+00
Al1Os1      ,  3.900000000000000e-01,  3.127280919442729e-01, -1.363324964459149e+02,  4.133609554414019e+03, -5.062907254761617e-01, -3.018321732921576e+02, -5.516334321294835e+00
Al1Mo3      ,  5.800000000000000e-01,  9.917132290200898e-01, -2.099121735465575e+01, -2.334085294611137e+04, -1.534078179237236e+00, -1.403807186949508e+03, -7.608113646178023e+00
Sb1V3       ,  6.500000000000000e-01,  1.879823042648819e+00,  1.403783811313906e+01, -1.278034527521717e+05,  5.916478147111014e+00,  2.017673093748062e+02, -2.775925338043292e+00
Nb3Os1      ,  6.633333330000000e-01,  3.134662452618953e+00,  1.890193182409820e+01,  6.251701850200602e+02,  2.544728633433595e-01,  1.006099306801836e+03, -3.676852884366823e+00
Ti1O1       ,  7.200000000000000e-01, -3.372735233460736e-01, -2.170892227132654e+02,  1.538498492630535e+04,  1.260039507538630e+01, -1.557530209887287e+02,  6.309239537775487e-01
Ga1Mo3      ,  7.600000000000000e-01,  4.126784888776296e-02, -5.012038304377385e+00, -2.089192915939564e+04, -1.920651317849440e+00,  1.698778367418990e+03, -8.844312012559934e+00
B2Ru1       ,  8.000000000000000e-01,  2.200760158517563e+00, -6.596684225055618e+01,  2.002875150728161e+04, -2.070599690228770e+00,  4.521486673448527e+03, -3.352318524179725e+00
La1Se1      ,  1.020000000000000e+00, -8.639574999709019e-01, -3.040613277500797e+01,  2.197405399588748e+03, -2.233669721485416e-01,  2.388289798632731e+04, -2.867924859076713e+00
Al1Nb1Ni2   ,  1.075000000000000e+00,  4.834305867610165e-01, -6.150404573610414e+01,  3.130155372801253e+04,  1.201012377602447e+00,  2.225559718922681e+03, -5.688971649828419e+00
Co1Si2      ,  1.306666667000000e+00,  3.585462857021032e+00, -1.461334615039687e+01, -6.792484267330917e+03, -6.280640987326966e-01, -1.848903569535628e+03, -3.291629640445125e+00
Nb1O1       ,  1.380000000000000e+00,  2.358279577595568e+00, -8.881594614792660e+01,  3.859049376687883e+04,  1.011809536830899e+01,  1.561489750175837e+03,  1.498921494739070e+00
Cr1         ,  1.550000000000000e+00,  3.804152427229822e-01,  0.000000000000000e+00,  8.441222120523564e+03, -1.042131058085900e-01,  1.384747554302243e+04, -4.351717116216002e+00
Hg2Na1      ,  1.620000000000000e+00,  2.362400541104547e+00, -2.129852754047853e+01, -1.214501841772433e+04,  1.314594545343262e-02,  2.873405776690914e+03, -3.527594276848146e+00
Ga2Y1       ,  1.680000000000000e+00,  2.970144313105384e+00,  8.629172564689375e+00,  5.500115174916975e+04, -1.875490698290278e+00,  2.279290252662431e+03, -4.556409866897374e+00
Be2Nb1      ,  2.150000000000000e+00,  2.201862899103848e+00, -5.773537377018958e+01,  7.165032128228717e+02, -9.180984867488973e-02, -8.084422127346213e+02, -4.130888996630090e+00
Ge1Mo3      ,  2.179200000000000e+00,  2.197375738432978e+00, -5.883245694291558e+00, -1.859207809024155e+04, -2.081777286941043e+00,  1.365786052534774e+03, -5.411413632245671e+00
B1Hf1       ,  3.100000000000000e+00,  3.265487980737481e+00,  1.377315873858184e+02, -2.736585072460097e+04, -4.967790759240245e-01,  8.129242441802424e+03, -4.293466825175698e+00
B1Zr1       ,  3.100000000000000e+00,  2.408694174977020e+00,  4.682627911740656e+01, -1.732885013402584e+04, -3.622174480010125e-01,  1.229514298700653e+04, -2.446129639390900e+00
C1In1Ti2    ,  3.100000000000000e+00,  3.813217572615135e+00, -1.949944251738826e+00,  1.266056102492904e+04, -7.837686615635260e-01,  1.353016514498094e+02, -2.817873671197448e+00
Pt0.25V0.75 ,  3.102500000000000e+00,  1.579621539304355e+00,  2.933845009507457e+01, -2.989482551939614e+05,  5.567702998751626e+00,  4.643835030678642e+02, -2.663489323007369e+00
Sn1         ,  3.740729412000000e+00,  4.011788764979374e+00,  0.000000000000000e+00,  2.842625425017756e+03, -8.648702230173269e-01, -1.294338848261906e+01, -2.548757869284549e+00
B1Ta1       ,  4.000000000000000e+00,  3.989162163955402e+00,  5.593057676579674e+01, -2.312809129067768e+04, -6.935749990288128e-01, -6.181842683613792e+01, -3.657755546110363e+00
Sn1V3       ,  4.462500000000000e+00,  4.247205451209447e+00, -1.420456317756487e+00, -4.850990742940444e+04, -1.602407230257328e+00, -3.289308001796067e+02, -2.208839284349051e+00
B2Nb1       ,  4.597500000000000e+00,  3.545236719332646e+00,  1.138045102887972e+01, -8.305350680516977e+04,  1.909905985951212e-01, -2.227512986615979e+02, -2.693493605088459e+00
Al1Si1Sr1   ,  4.750000000000000e+00,  4.202718259194596e+00, -2.325260345514399e+01, -3.929678529432575e+04,  6.175835827408318e-01,  1.383226260546272e+03, -4.330211908578175e-01
Fe1Li1P1    ,  4.965000000000000e+00,  5.151767961817199e+00, -9.790553524274234e+00,  4.382770225749470e+04, -3.636922242849010e-01,  3.494256357089752e+02, -3.637942140362068e-01
Ga1Si1Sr1   ,  5.000000000000000e+00,  5.332387297292938e+00, -6.386796053527128e+00,  6.897989384291678e+04, -1.197659607709908e+00,  1.475740624481102e+03, -3.148103028452517e-01
Os0.5V0.5   ,  5.150000000000000e+00,  4.699092804469121e+00,  3.126106930622585e+00,  3.482066835506315e+04, -3.770319017342187e+00, -1.857163711179000e+02, -2.916068442666530e+00
Ir1Ti3      ,  5.185000000000000e+00,  4.787650963019565e+00, -6.734526695428434e+01, -4.061909704149871e+04, -1.523333182761202e+00, -4.919627974017699e+02,  1.431174083327496e-01
Ir1Mo1      ,  5.325000000000000e+00,  3.950992880863139e+00, -5.631009903407321e+00,  2.122411802309522e+04, -2.928871732173416e+00,  1.078941551797778e+03, -3.169865783397315e+00
