# c0 + a0 * (((at_mass_wtd_mean+2.361846e+02) * (density+8.403898e+01)) - (3.543959e+01*((ThermalCond_mean-8.238390e+01) / (IP_mean-9.284505e+00)))) + a1 * (((IP_mean-7.045236e+00) * (at_rad_wtd_std-2.043710e-01)) - (3.039122e+00*((PE_wtd_std-2.054550e-01) * (PE_wtd_mean-1.982726e+00)))) + a2 * (((w_log+2.405109e+02) / (at_mass_wtd_mean-1.693964e+01)) - (1.717197e-01*((ThermalCond_wtd_mean-3.928578e+01) / (IP_mean-7.780696e+00)))) + a3 * (((lambda4w_low-4.084873e-03) / (lambda3+1.336850e-01)) - (5.858059e-01*((EA_wtd_std-7.598783e-01) * (lambda4w_low+7.551637e-03))))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.27210046096762; Max AE: 3.3285656201919
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  1.098011212926369e-04,  5.278849802429398e+00, -2.474099772703343e-02,  9.606129453825164e+01, -4.055130435009070e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; cm^-3 * g^2 * mol^-1;                             8|5|mult|37|19|div|sub:3.5439589260575e+01,0.0000000000000e+00,-8.2383896569083e+01,-9.2845045394064e+00,2.3618463097134e+02,8.4038980198922e+01; (((at_mass_wtd_mean+2.361846e+02) * (density+8.403898e+01)) - (3.543959e+01*((ThermalCond_mean-8.238390e+01) / (IP_mean-9.284505e+00)))); $\left(\left(\left(at_{mass, wtd, mean}+2.362e+02\right) * \left(density+8.404e+01\right)\right) - \left(3.544e+01\left(\frac{ ThermalCond_{mean} -8.238e+01 }{ IP_{mean}-9.285e+00 } \right)\right)\right)$; (((at_mass_wtd_mean+2.361846e+02) .* (density+8.403898e+01)) - (3.543959e+01.*((ThermalCond_mean-8.238390e+01) ./ (IP_mean-9.284505e+00)))); (((newdata$at_mass_wtd_mean+2.361846e+02) * (newdata$density+8.403898e+01)) - (3.543959e+01*((newdata$ThermalCond_mean-8.238390e+01) / (newdata$IP_mean-9.284505e+00)))); at_mass_wtd_mean,density,ThermalCond_mean,IP_mean
# 1;  2; AA * eV;                                          19|18|mult|30|26|mult|sub:3.0391218264383e+00,0.0000000000000e+00,-2.0545502557668e-01,-1.9827261804081e+00,-7.0452359457611e+00,-2.0437098628938e-01; (((IP_mean-7.045236e+00) * (at_rad_wtd_std-2.043710e-01)) - (3.039122e+00*((PE_wtd_std-2.054550e-01) * (PE_wtd_mean-1.982726e+00)))); $\left(\left(\left(IP_{mean}-7.045e+00\right) * \left(at_{rad, wtd, std}-2.044e-01\right)\right) - \left(3.039e+00\left(\left(PE_{wtd, std}-2.055e-01\right) * \left(PE_{wtd, mean}-1.983e+00\right)\right)\right)\right)$; (((IP_mean-7.045236e+00) .* (at_rad_wtd_std-2.043710e-01)) - (3.039122e+00.*((PE_wtd_std-2.054550e-01) .* (PE_wtd_mean-1.982726e+00)))); (((newdata$IP_mean-7.045236e+00) * (newdata$at_rad_wtd_std-2.043710e-01)) - (3.039122e+00*((newdata$PE_wtd_std-2.054550e-01) * (newdata$PE_wtd_mean-1.982726e+00)))); IP_mean,at_rad_wtd_std,PE_wtd_std,PE_wtd_mean
# 2;  2; eV * g^-1 * mol;                                  1|8|div|38|19|div|sub:1.7171966913809e-01,0.0000000000000e+00,-3.9285782880766e+01,-7.7806963090631e+00,2.4051091149971e+02,-1.6939642518585e+01; (((w_log+2.405109e+02) / (at_mass_wtd_mean-1.693964e+01)) - (1.717197e-01*((ThermalCond_wtd_mean-3.928578e+01) / (IP_mean-7.780696e+00)))); $\left(\left(\frac{ w_{log} +2.405e+02 }{ at_{mass, wtd, mean}-1.694e+01 } \right) - \left(1.717e-01\left(\frac{ ThermalCond_{wtd, mean} -3.929e+01 }{ IP_{mean}-7.781e+00 } \right)\right)\right)$; (((w_log+2.405109e+02) ./ (at_mass_wtd_mean-1.693964e+01)) - (1.717197e-01.*((ThermalCond_wtd_mean-3.928578e+01) ./ (IP_mean-7.780696e+00)))); (((newdata$w_log+2.405109e+02) / (newdata$at_mass_wtd_mean-1.693964e+01)) - (1.717197e-01*((newdata$ThermalCond_wtd_mean-3.928578e+01) / (newdata$IP_mean-7.780696e+00)))); w_log,at_mass_wtd_mean,ThermalCond_wtd_mean,IP_mean
# 3;  2; eV;                                               2|3|div|36|2|mult|sub:5.8580588596271e-01,0.0000000000000e+00,-7.5987826892504e-01,7.5516374393398e-03,-4.0848727449643e-03,1.3368498961225e-01; (((lambda4w_low-4.084873e-03) / (lambda3+1.336850e-01)) - (5.858059e-01*((EA_wtd_std-7.598783e-01) * (lambda4w_low+7.551637e-03)))); $\left(\left(\frac{ lambda4w_{low} -4.085e-03 }{ lambda3+1.337e-01 } \right) - \left(5.858e-01\left(\left(EA_{wtd, std}-7.599e-01\right) * \left(lambda4w_{low}+7.552e-03\right)\right)\right)\right)$; (((lambda4w_low-4.084873e-03) ./ (lambda3+1.336850e-01)) - (5.858059e-01.*((EA_wtd_std-7.598783e-01) .* (lambda4w_low+7.551637e-03)))); (((newdata$lambda4w_low-4.084873e-03) / (newdata$lambda3+1.336850e-01)) - (5.858059e-01*((newdata$EA_wtd_std-7.598783e-01) * (newdata$lambda4w_low+7.551637e-03)))); lambda4w_low,lambda3,EA_wtd_std,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
C8Cs1       ,  6.750000000000000e-02, -2.647216506900846e+00,  2.289510671172149e+04, -2.155937001516061e-01,  1.034479699662510e+02, -1.101504103495736e-02
Se2Ta1      ,  1.250000000000000e-01, -9.258401698037623e-01,  2.830278945468076e+04, -1.355598665339192e-01,  5.796034774742246e+00, -2.882540048610279e-02
Ti1         ,  1.620000000000000e-01,  2.300999159027594e-01,  2.437095791479615e+04, -2.320427654666737e-01,  4.643575420137535e+00, -7.292634920548636e-03
B1Mo1       ,  2.500000000000000e-01,  1.090508717882896e+00,  2.687561671608932e+04,  1.464660403622253e-01,  9.419609789638139e+01,  1.065799984678882e-03
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.062354611767674e+00,  3.022915725582920e+04,  3.810256038727003e-02,  1.637194013548146e+01, -6.739522613745720e-03
Pt1Te1      ,  5.900000000000000e-01,  1.886479615192938e+00,  3.304420027719667e+04, -3.041886006060758e-01,  1.920372632117175e+00,  3.299771116970450e-03
Sb1V3       ,  6.500000000000000e-01,  1.656648937284116e+00,  2.679673589696071e+04, -1.108635500526288e-01, -1.543995077575678e+01, -7.046723955723228e-03
Al1Ni2Zr1   ,  6.899999999999999e-01,  2.747013513386492e+00,  2.735269710073754e+04,  2.563150172770131e-02,  1.753907596037666e+01,  4.661597968669328e-03
Rh1Te2      ,  7.550000000000000e-01,  3.194656606025245e-01,  3.283367312585697e+04, -1.556241452056805e-01, -2.462873945219188e+00, -2.206521265373890e-02
Zr1         ,  9.966666670000000e-01,  1.239066994379623e+00,  2.892521789297127e+04, -3.235193931686580e-01,  7.542164140701821e-01,  2.030256117539939e-03
Be2Ta3      ,  1.000000000000000e+00,  2.223435958051024e+00,  3.613964654916501e+04,  1.035033216392825e-02, -1.222043822102197e+01, -1.765756337104973e-02
C1Si1       ,  1.075000000000000e+00, -4.536661110486930e-02,  1.730619885439038e+04, -1.262587269400219e-01,  6.795721965011843e+01,  8.408554865043992e-03
Nb3Sb1      ,  1.100000000000000e+00,  2.413435505758983e+00,  3.041029089801242e+04, -7.152411072584894e-02,  1.814879888894773e+01,  3.190139599198904e-03
Nb1O1       ,  1.380000000000000e+00,  5.554675190831371e-01,  2.873613625567160e+04, -2.689306273290225e-01,  7.287273199797352e+00, -6.187097770731632e-03
Sb1         ,  1.416666667000000e+00,  2.724385707936246e+00,  2.939178753013332e+04, -2.839175378064428e-01,  5.349241046557265e+00,  1.596637990499744e-02
Sb1Sn1      ,  1.430000000000000e+00,  2.632371210064217e+00,  3.146441170626577e+04, -1.826294453646828e-01, -2.559103104785730e+00,  5.036526076522056e-03
S2Ta1       ,  1.488116666500000e+00,  2.434412653463063e+00,  1.707032508662840e+04, -6.763343781202247e-03,  6.288216379957809e+00,  1.204298037341638e-02
B2C2Y1      ,  1.800000000000000e+00,  2.259070544289211e+00,  2.221841751069995e+04,  2.947024323583509e-01,  1.757252428786017e+01, -9.326874740815420e-03
Re2Y1       ,  1.830000000000000e+00,  3.567444119642384e+00,  3.747454970944506e+04,  1.082133305258282e-01,  1.393689281856087e+00, -7.063730228329805e-03
S1Y1        ,  1.900000000000000e+00,  3.689610217072603e+00,  2.377646959416619e+04,  3.936078185760408e-01,  1.586553158625619e+01, -2.090615545237243e-03
Ga2Pt1      ,  1.900000000000000e+00,  2.455537978714787e+00,  3.232538443833270e+04, -5.922017361461820e-02,  4.846283930070625e+00, -2.662842876254770e-03
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.557006638138556e+00,  3.319435514470101e+04,  7.164475854077174e-02,  3.867894721091329e+01, -1.077477758040264e-03
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.208203551184484e+00,  3.243547348318939e+04,  9.448535733138316e-02,  4.799813553046379e+00, -3.411952739935446e-03
Be2Nb1      ,  2.150000000000000e+00,  2.317911084774308e+00,  2.556623875397352e+04, -1.184692336015546e-01, -5.751426845179238e+01, -9.174940365202403e-03
In1Te1      ,  2.206000000000000e+00,  2.536426936289734e+00,  3.175887160816821e+04, -7.094179474402577e-02,  3.748935077526732e+00, -8.117344321619171e-04
C2Cl2Y2     ,  2.300000000000000e+00,  3.391025613391058e+00,  2.595922424707408e+04,  3.083025554701458e-01,  7.482889967066608e+00, -5.165056291131141e-03
Be2Nb3      ,  2.300000000000000e+00,  1.874548579967851e+00,  2.806681831141145e+04, -1.006500004747314e-01, -3.992226592730896e+01, -1.309691858446665e-02
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.399061610997885e+00,  3.498020662962346e+04,  1.342557804464227e-02,  3.302650257243484e+00, -2.649558711981699e-04
As1Pt1Sr1   ,  2.425000000000000e+00,  4.707988272963211e+00,  3.196611139103190e+04,  3.525663301645321e-01, -3.613272747503707e+00, -3.611800512055340e-03
Bi1Nb3      ,  2.516666667000000e+00,  3.226314565503885e+00,  3.317399079372446e+04, -1.701311072372792e-02,  3.020450919047113e+00,  1.601319744305567e-03
Re1         ,  2.581333333000000e+00,  4.218995927218076e+00,  4.361060837031915e+04, -2.222560161137456e-01, -1.364797439871300e+01,  6.991441223083586e-03
Hf1In1Pd2   ,  2.630000000000000e+00,  3.425781903927474e+00,  3.455799110217633e+04,  6.002314826248678e-02,  7.136218032992532e+00, -1.077512601946753e-03
Nb3Rh1      ,  2.742333333000000e+00,  2.844480964395004e+00,  3.134586938369103e+04,  5.054818687228468e-02,  1.296267816734273e+01, -1.436002858366686e-03
